time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	39.4
0.04	0	38.19
0.05	0	36.04
0.06	0	34.94
0.07	0	34.78
0.08	0	33.87
0.09	0	32.69
0.1	0	31.16
0.11	0	29.01
0.12	0	27.4
0.13	0	29.77
0.14	0	33.14
0.15	0	30.62
0.16	0	28.93
0.17	0	31.16
0.18	0	33.82
0.19	0	41.37
0.2	0	48.52
0.21	0	51.66
0.22	0	52
0.23	0	50.51
0.24	0	50.45
0.25	0	51.38
0.26	0	51.86
0.27	0	52.27
0.28	0	54.01
0.29	0	57.51
0.3	0	59.03
0.31	0	61.71
0.32	0	71.76
0.33	232.3	78.15
0.34	230.53	81.61
0.35	227.15	84.24
0.36	225.16	85.56
0.37	223.21	85.56
0.38	220.48	85.09
0.39	218.91	84.86
0.4	218.55	84.91
0.41	218.53	84.94
0.42	218.8	84.97
0.43	219.2	84.88
0.44	219.38	84.21
0.45	218.89	82.1
0.46	216.94	77.46
0.47	211.28	69.98
0.48	203.6	62.48
0.49	0	57.01
0.5	0	53.87
0.51	0	53.31
0.52	0	54.05
0.53	217.28	59.85
0.54	221.18	71.3
0.55	224.14	79.04
0.56	223.76	82.91
0.57	222.5	84.62
0.58	221.34	85.07
0.59	220.59	84.96
0.6	220.68	84.96
0.61	221.55	85.16
0.62	223.12	84.73
0.63	225	82.98
0.64	227.13	80.63
0.65	228.99	79.13
0.66	230.38	78.64
0.67	232.37	78.43
0.68	233.62	77.55
0.69	230.99	75.18
0.7	223.93	71.27
0.71	0	67.47
0.72	0	67
0.73	0	67.84
0.74	0	68.68
0.75	0	69.57
0.76	0	68.93
0.77	0	68.08
0.78	0	67.36
0.79	0	66.79
0.8	0	65.94
0.81	0	65.12
0.82	0	64.23
0.83	0	61.79
0.84	286.88	60.7
0.85	278.75	67.01
0.86	272.72	71.02
0.87	272.4	72.32
0.88	272.69	72.23
0.89	272.29	71.57
0.9	271.69	70.82
0.91	271.95	69.89
0.92	272.66	68.36
0.93	272.43	65.68
0.94	271.72	63.34
0.95	271.7	63.13
0.96	271.22	63.31
0.97	269.39	63.49
0.98	266.11	63.68
0.99	261.25	63.96
1	257.55	64.69
1.01	254.84	65.1
1.02	249.85	65.27
1.03	244.58	66.13
1.04	241.95	68.08
1.05	242.21	71.08
1.06	242.85	73.85
1.07	243.48	75.55
1.08	244.9	76.32
1.09	247.57	76.23
1.1	250.88	74.92
1.11	252.76	72.8
1.12	252.48	70.48
1.13	249.7	66.91
1.14	0	60
1.15	0	48.48
1.16	0	35.96
1.17	0	33.22
1.18	0	49.06
1.19	0	57.67
1.2	0	59.95
1.21	0	59.19
1.22	0	56.56
1.23	0	56.97
1.24	278.99	64.29
1.25	276.26	68.54
1.26	271.92	69.07
1.27	268.06	66.78
1.28	262.53	63.18
1.29	260.27	62.8
1.3	260.71	63.53
1.31	260.4	63.24
1.32	256.6	61.66
1.33	0	58.39
1.34	0	53.43
1.35	0	50.23
1.36	0	51.46
1.37	0	52.77
1.38	0	54.58
1.39	0	55.94
1.4	0	55.84
1.41	0	55.34
1.42	0	55.76
1.43	0	56.68
1.44	0	57.23
1.45	0	56.48
1.46	0	60.92
1.47	230.66	69.7
1.48	228.92	73.64
1.49	224.39	74.21
1.5	218.92	73.51
1.51	214.56	72.81
1.52	211.41	72.37
1.53	208.71	72.29
1.54	205.6	72.47
1.55	202.54	72.67
1.56	199.58	72.24
1.57	196.66	70.14
1.58	194.13	65.28
1.59	0	56.71
1.6	0	53.86
1.61	0	55.92
1.62	194.87	58.57
1.63	196.19	61.07
1.64	198.73	62.53
1.65	195.71	64.33
1.66	190.4	65.8
1.67	187.33	65.83
1.68	185.89	64.51
1.69	186.18	63.99
1.7	186.47	63.65
1.71	188.47	62.45
1.72	191.71	60.83
1.73	194.23	59.22
1.74	198.45	58.31
1.75	0	57.36
1.76	0	55.04
1.77	0	51.74
1.78	0	49.41
1.79	0	48.77
1.8	0	47.84
1.81	0	45.23
1.82	0	40.3
1.83	0	44.71
1.84	0	55.24
1.85	0	59.13
1.86	0	57.18
1.87	0	50.94
1.88	0	45.38
1.89	0	44.59
1.9	0	44.72
1.91	0	44.19
1.92	0	43.4
1.93	0	42.57
1.94	0	41.73
1.95	0	40.27
1.96	0	39.1
1.97	0	37.84
1.98	0	36.44
1.99	0	35.31
2	0	34.46
2.01	0	33.99
2.02	0	33.72
2.03	0	0
2.04	0	0
?	?	?
