time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.36
0.04	0	27.48
0.05	0	27.35
0.06	0	28.32
0.07	0	27.6
0.08	0	29.9
0.09	0	35.87
0.1	0	39.83
0.11	0	41.65
0.12	0	42.25
0.13	0	45.14
0.14	0	55.76
0.15	0	67.83
0.16	0	73.8
0.17	0	76.64
0.18	0	78.64
0.19	0	80.68
0.2	201.82	82.68
0.21	190.75	83.57
0.22	0	81.44
0.23	0	76.09
0.24	0	74.02
0.25	0	73.59
0.26	0	68.55
0.27	0	56.22
0.28	0	41.67
0.29	0	43.51
0.3	0	55.21
0.31	0	59.16
0.32	0	58.58
0.33	0	68.97
0.34	0	75.66
0.35	224.97	77.85
0.36	226.71	77.76
0.37	226.96	76.56
0.38	224.85	74.97
0.39	222.34	72.87
0.4	225.07	72.61
0.41	233.15	79.37
0.42	240.68	83.86
0.43	249.02	84.23
0.44	255.23	82.29
0.45	257.08	80.36
0.46	258.26	79.09
0.47	259.32	78.24
0.48	260.46	77.52
0.49	261.58	76.77
0.5	262.37	76.17
0.51	263.36	75.87
0.52	264.55	75.64
0.53	265.25	75.08
0.54	264.52	74.05
0.55	262.27	72.96
0.56	260.58	72.15
0.57	260.18	70.14
0.58	259.65	67.16
0.59	0	67.91
0.6	0	69.24
0.61	0	69.28
0.62	0	68.94
0.63	0	69.58
0.64	0	70.61
0.65	0	69.31
0.66	0	65.74
0.67	0	59.91
0.68	0	51.66
0.69	0	40.41
0.7	0	31.16
0.71	0	41.22
0.72	0	54.48
0.73	0	63.18
0.74	0	67.5
0.75	0	68.67
0.76	0	66.3
0.77	0	59.72
0.78	0	52.24
0.79	0	48.44
0.8	0	44.21
0.81	0	37.62
0.82	0	34.01
0.83	0	30.72
0.84	0	29.45
0.85	0	28.56
0.86	0	27.64
0.87	0	27.52
0.88	0	27.88
0.89	0	30.13
0.9	0	37.71
0.91	0	49.87
0.92	0	61.27
0.93	230.81	70.51
0.94	212.48	75.58
0.95	205.2	77.11
0.96	204.03	76.68
0.97	203.69	75.45
0.98	204.22	74.09
0.99	204.23	72.71
1	203.41	71.08
1.01	202.26	68.87
1.02	201.39	67.38
1.03	201.48	67.74
1.04	202.52	69.06
1.05	203.91	71.05
1.06	206.21	73.79
1.07	209.25	76.45
1.08	211.28	77.85
1.09	211.93	78.12
1.1	212.41	77.97
1.11	213.82	77.91
1.12	215.55	78.09
1.13	216.46	78.2
1.14	217.15	78.3
1.15	217.93	78.61
1.16	219.29	79.18
1.17	221.01	79.9
1.18	221.87	80.51
1.19	221.94	80.73
1.2	222.75	80.31
1.21	224.08	79.39
1.22	224.95	78.08
1.23	224.23	75.61
1.24	224.54	71.83
1.25	226.53	67.52
1.26	226.63	62.89
1.27	226.73	58.39
1.28	0	54.6
1.29	0	54.21
1.3	0	55.64
1.31	0	57.64
1.32	0	59.19
1.33	0	60.41
1.34	0	59.7
1.35	0	54.44
1.36	0	43.46
1.37	0	31.03
1.38	0	29.85
1.39	0	44.91
1.4	0	61.76
1.41	0	68.59
1.42	0	74.24
1.43	209.92	79.11
1.44	203.33	80.59
1.45	198.4	79.97
1.46	195.63	78.99
1.47	194.95	78.49
1.48	193.97	78.13
1.49	192.06	77.85
1.5	190.47	77.62
1.51	189.92	77.33
1.52	189.17	76.98
1.53	188.44	76.48
1.54	186.85	75.33
1.55	185.12	72.24
1.56	183.95	66.02
1.57	0	56.96
1.58	0	50.25
1.59	0	49.23
1.6	0	53.19
1.61	0	55.37
1.62	0	58.49
1.63	0	63.69
1.64	0	68.65
1.65	190.76	71.15
1.66	189.61	71.68
1.67	188.51	70.96
1.68	187.33	69.95
1.69	185.64	69.25
1.7	183.81	69.27
1.71	182.33	69.62
1.72	180.61	70.06
1.73	177.59	70.51
1.74	175.01	70.89
1.75	174.35	71.16
1.76	173.41	71.27
1.77	171.74	71.09
1.78	170.29	70.43
1.79	169.05	69.51
1.8	168.95	69.06
1.81	171.46	69.13
1.82	174.06	69.53
1.83	175.85	69.94
1.84	176.86	69.73
1.85	178.72	68.72
1.86	180.25	66.62
1.87	180.54	62.86
1.88	183.72	59.26
1.89	187.51	58.16
1.9	189.23	57.78
1.91	191.1	57.45
1.92	0	57.26
1.93	0	57.21
1.94	0	57.3
1.95	0	57.32
1.96	0	56.01
1.97	0	53.18
1.98	0	49.29
1.99	0	45.51
2	0	43.64
2.01	0	40.7
2.02	0	38.52
2.03	0	38.07
2.04	0	38.15
2.05	0	38.29
2.06	0	36.82
2.07	0	34.47
2.08	0	34.57
2.09	0	34.34
2.1	0	34.09
2.11	0	0
2.12	0	0
2.13	0	0
