time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	44.01
0.04	0	42.09
0.05	0	36.96
0.06	0	29.46
0.07	0	24.92
0.08	0	24.32
0.09	0	26
0.1	0	27.12
0.11	0	27.69
0.12	0	41.13
0.13	0	57.91
0.14	252.27	67.23
0.15	247.15	71.64
0.16	246.11	74.1
0.17	252.05	76.34
0.18	261.11	79.33
0.19	271.43	82.46
0.2	279.57	84.51
0.21	285.56	85.6
0.22	293.42	85.63
0.23	304.1	84.9
0.24	315.96	83.54
0.25	328.15	81.99
0.26	339.41	80.68
0.27	349.32	79.38
0.28	358.14	77.87
0.29	366.38	75.7
0.3	379.67	73.51
0.31	391.24	72.66
0.32	396.55	72.47
0.33	397.57	72.33
0.34	393.57	72.17
0.35	386.94	72
0.36	378.77	72.07
0.37	365.02	72.54
0.38	344.26	73.32
0.39	317.17	74.14
0.4	290.56	74.95
0.41	271.22	76.99
0.42	263.1	78.93
0.43	255.48	79.32
0.44	245.53	79.4
0.45	235.15	79.48
0.46	224.05	79.6
0.47	211.81	79
0.48	202.87	77.19
0.49	195.25	74.82
0.5	187.29	72.32
0.51	179.34	69.18
0.52	169.91	65.61
0.53	167.98	63.09
0.54	167.48	62.72
0.55	164.3	62.49
0.56	160.44	62.05
0.57	160.41	61.37
0.58	0	60.71
0.59	262.52	60.73
0.6	0	59.78
0.61	0	57.38
0.62	0	54.42
0.63	0	50.5
0.64	0	44.58
0.65	0	35.89
0.66	0	28.23
0.67	0	26.99
0.68	0	26.8
0.69	0	26.56
0.7	0	28.47
0.71	0	28.28
0.72	0	26.09
0.73	0	24.29
0.74	0	25.11
0.75	0	26.05
0.76	0	25.59
0.77	0	25.88
0.78	0	29.16
0.79	0	31.4
0.8	0	29.51
0.81	0	25.88
0.82	0	25.48
0.83	0	25.56
0.84	0	24.78
0.85	0	26.15
0.86	0	27.61
0.87	0	26.27
0.88	0	24.56
0.89	0	25.99
0.9	0	25.62
0.91	0	25.44
0.92	0	26.08
0.93	0	24.94
0.94	0	24.28
0.95	0	24.53
0.96	0	24.67
0.97	0	25.35
0.98	0	29.39
0.99	0	36.41
1	0	43.58
1.01	0	49.31
1.02	0	55
1.03	0	61.73
1.04	0	66.19
1.05	0	68.88
1.06	0	71.35
1.07	0	71.8
1.08	0	71.18
1.09	0	70.8
1.1	0	70.96
1.11	0	69.11
1.12	0	64.78
1.13	0	58.31
1.14	0	46.72
1.15	0	34.77
1.16	0	45.13
1.17	0	56.97
1.18	0	67.56
1.19	226.85	77.65
1.2	230.4	82.46
1.21	230.06	82.75
1.22	227.35	81.08
1.23	229.28	80.35
1.24	232.94	79.98
1.25	236.11	79.49
1.26	240.48	79.36
1.27	245.11	79.69
1.28	248.87	79.9
1.29	252.43	79.74
1.3	253.82	78.79
1.31	252.14	76.37
1.32	244.64	71.85
1.33	0	64.4
1.34	0	52.67
1.35	0	36.09
1.36	0	27.29
1.37	0	25.45
1.38	0	32.55
1.39	0	39.48
1.4	0	38.84
1.41	0	44.24
1.42	0	57.34
1.43	0	62.01
1.44	0	62.44
1.45	0	62.3
1.46	0	60.96
1.47	0	59.64
1.48	309.18	65.56
1.49	303.54	70.41
1.5	294.88	71.53
1.51	288.77	70.95
1.52	285.37	71.62
1.53	287.17	74.66
1.54	288.55	75.68
1.55	289.44	75.4
1.56	291.49	75.29
1.57	293.65	75.11
1.58	296.23	74.68
1.59	297.65	74.2
1.6	296.94	74.12
1.61	294.37	74.65
1.62	291.47	75.91
1.63	288.12	77.7
1.64	284.26	79.11
1.65	278.45	79.63
1.66	269.78	79.37
1.67	260.49	78.61
1.68	251.74	77.74
1.69	243.82	76.73
1.7	236.71	75.53
1.71	230.83	73.84
1.72	225.52	71.32
1.73	209.98	67.56
1.74	191.13	62.4
1.75	0	57.52
1.76	0	54.75
1.77	0	54.28
1.78	0	57
1.79	199.17	61.9
1.8	203.41	66.06
1.81	202.52	68.78
1.82	197.19	70.14
1.83	193.45	70.28
1.84	191.54	69.89
1.85	190.94	69.61
1.86	189.94	69.65
1.87	189.62	69.65
1.88	190.84	69.28
1.89	194	67.55
1.9	0	62.8
1.91	0	52.8
1.92	0	36.76
1.93	0	26.99
1.94	0	25.19
1.95	0	24.55
1.96	0	24.38
1.97	0	29.56
1.98	0	50.63
1.99	0	60.98
2	0	63.27
2.01	0	59.9
2.02	0	57.95
2.03	0	56.82
2.04	0	57.69
2.05	232.2	68.48
2.06	217.75	75.23
2.07	202.4	78.22
2.08	194.98	79.39
2.09	186.35	78.88
2.1	180.88	76.94
2.11	178.35	75.38
2.12	178.22	74.75
2.13	174.64	74.59
2.14	170.9	74.42
2.15	169.15	73.88
2.16	169.14	73.06
2.17	165.53	72
2.18	162.51	70.9
2.19	163.22	69.89
2.2	166.45	69.23
2.21	170.25	69.22
2.22	171.41	69.93
2.23	173.25	71.11
2.24	175.74	72.52
2.25	179.49	73.67
2.26	180.88	74.71
2.27	183.89	74.81
2.28	188.25	73.51
2.29	195.81	71.18
2.3	204.64	69.71
2.31	214.39	69.94
2.32	225.03	69.31
2.33	0	64.4
2.34	0	53.81
2.35	0	45.12
2.36	0	36.79
2.37	0	34.25
2.38	0	49.86
2.39	0	55.05
2.4	0	52.31
2.41	0	44.74
2.42	0	42.48
2.43	0	43.17
2.44	0	41.61
2.45	0	39.12
2.46	0	37.36
2.47	0	35.7
2.48	0	34.03
2.49	0	31.58
2.5	0	30.08
2.51	0	0
2.52	0	0
?	?	?
