time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.58
0.05	0	31.71
0.06	0	31.81
0.07	0	31.04
0.08	0	30.26
0.09	0	31.1
0.1	0	32.59
0.11	0	35.35
0.12	0	44.18
0.13	259.83	56.05
0.14	250.74	62.04
0.15	245.8	64.97
0.16	246.92	67.34
0.17	249.22	69.04
0.18	251.73	70.06
0.19	253.7	70.65
0.2	256.28	71.64
0.21	258.25	72.84
0.22	259.57	72.8
0.23	259.89	71.31
0.24	257.23	68.66
0.25	252.01	64.82
0.26	246	61.27
0.27	243.93	59.08
0.28	246.61	59.6
0.29	257.1	64.82
0.3	263.66	71.39
0.31	264.8	75.3
0.32	263.59	76.64
0.33	261.83	76.84
0.34	260.32	77.03
0.35	259.29	77.72
0.36	258.64	79.2
0.37	258.26	81.35
0.38	257.83	83.09
0.39	255.82	83.54
0.4	252.06	82.48
0.41	250.03	81.05
0.42	248.88	80.15
0.43	247.14	79.24
0.44	244.24	77.55
0.45	240.72	73.09
0.46	0	63.27
0.47	0	44.79
0.48	0	35.16
0.49	0	48.09
0.5	0	54.49
0.51	0	52.15
0.52	0	40.35
0.53	0	36.45
0.54	0	48.08
0.55	0	56.22
0.56	229.47	60.13
0.57	227.52	62.42
0.58	225.8	63.95
0.59	227.18	68.61
0.6	226.07	74.44
0.61	225.2	77.72
0.62	225.33	79.25
0.63	225.14	80.24
0.64	224.75	81.36
0.65	224.66	82.28
0.66	224.72	82.92
0.67	225.65	83.57
0.68	227.12	84.13
0.69	228.38	84.51
0.7	229.45	84.75
0.71	230.38	84.88
0.72	231.16	84.77
0.73	231.7	84.12
0.74	231.66	83.21
0.75	231.31	82.54
0.76	231.41	82.09
0.77	232.1	81.02
0.78	235.19	78.82
0.79	239.49	76.9
0.8	242.74	76.79
0.81	245.18	78.14
0.82	246.75	79.73
0.83	247.58	79.87
0.84	249.02	78.58
0.85	250.81	77.26
0.86	251.19	76.29
0.87	250.93	73.6
0.88	0	66.26
0.89	0	51.82
0.9	0	44.88
0.91	0	54.51
0.92	0	62.13
0.93	0	68.67
0.94	0	72.29
0.95	0	72.95
0.96	0	73.46
0.97	0	73.48
0.98	0	71.89
0.99	0	69.66
1	0	66.01
1.01	0	64.51
1.02	0	64.29
1.03	0	60.46
1.04	0	52.63
1.05	0	44.1
1.06	0	37.38
1.07	0	41.01
1.08	0	48.73
1.09	0	51.27
1.1	0	60.61
1.11	242.18	70.61
1.12	243.06	74.63
1.13	243.1	73.29
1.14	0	66.3
1.15	0	52.54
1.16	0	38.67
1.17	0	34.12
1.18	0	30.24
1.19	0	28.08
1.2	0	28.38
1.21	0	43.41
1.22	0	59.21
1.23	0	66.46
1.24	0	67.33
1.25	0	63.42
1.26	211.25	65.24
1.27	210.96	71.84
1.28	205.82	75.3
1.29	198.86	75.27
1.3	192.82	75.15
1.31	189.3	76.93
1.32	186.16	77.43
1.33	181.91	75.82
1.34	178.99	74.84
1.35	176.93	74.83
1.36	174.5	73.88
1.37	171.46	70.65
1.38	166.67	65.46
1.39	162.69	60.58
1.4	0	55.07
1.41	0	52.43
1.42	0	52.98
1.43	0	53.93
1.44	0	54.96
1.45	0	54.41
1.46	0	54.19
1.47	0	56.96
1.48	0	59
1.49	0	59.25
1.5	0	55.19
1.51	0	43.98
1.52	0	31.31
1.53	0	30.75
1.54	0	31.97
1.55	0	32.35
1.56	0	40.17
1.57	0	54.38
1.58	0	61
1.59	0	61.91
1.6	0	59.93
1.61	0	56.22
1.62	0	52.13
1.63	0	49.13
1.64	0	46.74
1.65	0	45.61
1.66	0	44.12
1.67	0	42.12
1.68	0	39.6
1.69	0	37.1
1.7	0	33.85
1.71	0	30.36
1.72	0	30.11
1.73	0	30.67
1.74	0	0
1.75	0	0
1.76	0	0
?	?	?
