time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	39.9
0.04	0	39.53
0.05	0	38.07
0.06	0	36.24
0.07	0	33.34
0.08	0	31.96
0.09	0	34.41
0.1	0	35
0.11	0	35.31
0.12	0	49.51
0.13	0	62.28
0.14	270.51	69.74
0.15	256.65	73.69
0.16	252.91	75.59
0.17	250.59	76.13
0.18	246.05	74.28
0.19	0	68.74
0.2	0	58.32
0.21	0	44.52
0.22	0	48.11
0.23	0	57.14
0.24	0	59.53
0.25	0	67.33
0.26	260.26	75.35
0.27	259.39	78.73
0.28	256.52	79.81
0.29	252.39	79.91
0.3	248.49	79.37
0.31	244.53	78.07
0.32	240.05	75.8
0.33	235.77	72.68
0.34	0	70.57
0.35	0	72.72
0.36	0	73.75
0.37	0	70.92
0.38	0	65.83
0.39	0	56.7
0.4	0	50.89
0.41	0	54.86
0.42	0	58.12
0.43	0	56.15
0.44	0	57.86
0.45	0	56.53
0.46	0	55.66
0.47	0	63.59
0.48	0	67.18
0.49	0	66.75
0.5	288.88	73.86
0.51	277.81	81.91
0.52	267.51	85.45
0.53	264.01	86.14
0.54	258.41	85.56
0.55	257.21	85.36
0.56	257.55	85.52
0.57	257.56	85.63
0.58	257.86	85.56
0.59	259.53	85.22
0.6	260.54	84.9
0.61	259.46	84.73
0.62	255.92	83.42
0.63	256.05	78.68
0.64	252.17	69.56
0.65	243.28	61.48
0.66	239.17	59.31
0.67	0	58.07
0.68	0	56.71
0.69	0	54.68
0.7	0	50.56
0.71	0	46.86
0.72	0	49.31
0.73	0	52.3
0.74	0	53.89
0.75	0	55.62
0.76	0	57.32
0.77	0	58.17
0.78	0	62.42
0.79	274.83	71.14
0.8	277.26	77.15
0.81	280.35	81.66
0.82	279.71	84.66
0.83	276.73	85.92
0.84	273.26	85.93
0.85	270.76	85.56
0.86	268.67	85.26
0.87	264.87	84.47
0.88	258.38	83.12
0.89	246.86	81.22
0.9	230.45	78.8
0.91	255.87	77.91
0.92	290.3	77.78
0.93	272.53	75.21
0.94	245	75.15
0.95	241.35	75.55
0.96	245.4	72.54
0.97	236.93	69.16
0.98	229	67.08
0.99	225.89	66.23
1	223.62	66.72
1.01	226.38	68.07
1.02	231.65	70.3
1.03	234.69	72.97
1.04	234.36	75.02
1.05	231.71	75.94
1.06	228.98	75.63
1.07	225.39	73.56
1.08	225.15	69.19
1.09	226.21	65.17
1.1	224.81	64.42
1.11	223.95	64.6
1.12	223.11	64.79
1.13	222.42	65.03
1.14	222.45	68.09
1.15	220.91	73.72
1.16	220.43	76.72
1.17	219.65	77.5
1.18	217.91	77.22
1.19	217.09	76.72
1.2	215.93	75.96
1.21	215.68	75.31
1.22	216.17	74.55
1.23	216.95	73.69
1.24	217.24	73.15
1.25	0	72.26
1.26	0	70.33
1.27	0	67.82
1.28	0	65.88
1.29	0	64.92
1.3	0	64.56
1.31	0	63.94
1.32	0	62.5
1.33	0	62.45
1.34	0	65.82
1.35	0	71.06
1.36	0	75.03
1.37	0	77.5
1.38	0	78.81
1.39	223.38	78.16
1.4	224.72	77.74
1.41	226.23	78.42
1.42	227.71	79.31
1.43	229.49	80.01
1.44	230.26	80.48
1.45	230.93	80.87
1.46	231.41	81.13
1.47	231.62	81.24
1.48	230.52	81.02
1.49	227.88	79.59
1.5	226.64	75.36
1.51	0	66.29
1.52	0	55.39
1.53	0	52.89
1.54	0	52.48
1.55	0	57.11
1.56	221.47	66.96
1.57	226.13	72.22
1.58	229.18	72.88
1.59	225.8	72.4
1.6	224.04	72.06
1.61	223.73	71.07
1.62	223.06	69.42
1.63	220.24	66.89
1.64	212.64	62.9
1.65	0	56.01
1.66	0	47.66
1.67	0	43.69
1.68	0	44.05
1.69	0	54.01
1.7	0	57.86
1.71	0	57.69
1.72	0	64.24
1.73	219.68	73.57
1.74	222.23	79.21
1.75	220.62	80.94
1.76	217.49	80.15
1.77	219.97	79.9
1.78	221.43	79.91
1.79	222.4	79.39
1.8	223.78	79.44
1.81	224.49	79.49
1.82	225.15	79.3
1.83	225.5	79.08
1.84	226.15	79.09
1.85	226.98	79.33
1.86	227.26	79.29
1.87	227.28	79.01
1.88	225.34	78.19
1.89	218.83	76.13
1.9	220.01	73.5
1.91	237.98	71.76
1.92	238.38	69.28
1.93	0	65.15
1.94	0	59.6
1.95	0	55.93
1.96	0	51.1
1.97	0	47.24
1.98	0	50.12
1.99	0	53.29
2	0	54.31
2.01	0	53.72
2.02	0	52.8
2.03	0	52.94
2.04	0	53.29
2.05	0	52.59
2.06	0	60.48
2.07	0	69.86
2.08	0	73.93
2.09	0	75.77
2.1	160.45	76.61
2.11	157.86	76.99
2.12	158.36	76.94
2.13	162.3	76.66
2.14	161.74	76.3
2.15	159.21	75.6
2.16	160.34	74.38
2.17	160.93	73.15
2.18	0	71.33
2.19	0	68.49
2.2	0	63.68
2.21	0	57.68
2.22	0	52.79
2.23	0	48.61
2.24	0	46.92
2.25	0	48.39
2.26	0	47.14
2.27	0	44.48
2.28	0	42.45
2.29	0	40.73
2.3	0	39.96
2.31	0	39.93
2.32	0	38.49
2.33	0	37.53
2.34	0	37.37
2.35	0	35.86
2.36	0	33.09
2.37	0	31.44
2.38	0	0
2.39	0	0
2.4	0	0
