time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.25
0.04	0	28.13
0.05	0	28.28
0.06	0	30.14
0.07	0	31.46
0.08	0	31.87
0.09	0	32.8
0.1	0	31.95
0.11	0	32.52
0.12	0	47.47
0.13	0	62.67
0.14	0	70.94
0.15	208.01	75.36
0.16	211.72	79.31
0.17	211.66	82.19
0.18	214.9	83.68
0.19	216.85	84.67
0.2	219.2	84.71
0.21	222.23	84.31
0.22	225.7	83.55
0.23	227.43	81.9
0.24	226.49	78.77
0.25	223.94	72.98
0.26	0	63.94
0.27	0	55.26
0.28	0	54.74
0.29	0	57.3
0.3	0	58.68
0.31	0	58.61
0.32	0	57.45
0.33	0	55.27
0.34	0	49.4
0.35	0	39.43
0.36	0	32.08
0.37	0	33.99
0.38	0	48.02
0.39	0	63.73
0.4	0	70.52
0.41	0	71.29
0.42	0	66.32
0.43	0	60.81
0.44	0	57.58
0.45	0	55.58
0.46	0	67.03
0.47	261.32	77.07
0.48	239.66	81.09
0.49	229.15	82.88
0.5	223.02	83.99
0.51	217.94	84.16
0.52	211.92	83.85
0.53	207.21	83.95
0.54	204.45	84.32
0.55	202.82	84.49
0.56	201.67	84.6
0.57	200.29	84.56
0.58	201.57	84.47
0.59	202.03	84.23
0.6	203.64	83.19
0.61	205.83	80.84
0.62	207.66	77.72
0.63	204.8	74.94
0.64	200.01	72.87
0.65	196.63	71.26
0.66	193.3	69.88
0.67	182.19	69.53
0.68	172.86	69.69
0.69	180.2	66.63
0.7	188.54	61.87
0.71	196.61	58.62
0.72	0	56.38
0.73	0	53.08
0.74	0	50.96
0.75	0	54.27
0.76	186.2	58.08
0.77	185.48	62.45
0.78	183.78	66.86
0.79	189.53	71.47
0.8	190.1	75.37
0.81	190.43	77.47
0.82	187.9	78.27
0.83	186.03	78.9
0.84	184.1	79.38
0.85	182.49	79.49
0.86	181.58	79.26
0.87	182.62	78.91
0.88	184.3	78.63
0.89	186.75	78.74
0.9	187.75	79.04
0.91	188.77	79.45
0.92	189.74	79.66
0.93	190.05	79.3
0.94	192.36	78.25
0.95	194.25	76.46
0.96	193.22	73.48
0.97	187.55	68.99
0.98	182.62	63.61
0.99	0	61.88
1	0	63.91
1.01	0	63.2
1.02	0	61.52
1.03	0	61.16
1.04	0	61.98
1.05	0	63.19
1.06	0	63.39
1.07	0	62.06
1.08	0	61.56
1.09	0	61.51
1.1	0	60.76
1.11	0	58.45
1.12	0	55.35
1.13	0	53.2
1.14	0	51.51
1.15	0	51.18
1.16	0	61.82
1.17	226.13	70.48
1.18	204.05	73.55
1.19	196.88	74.08
1.2	194.3	74.26
1.21	191.54	74.16
1.22	189.53	73.62
1.23	187.98	72.43
1.24	186.27	70.29
1.25	183.1	66.67
1.26	0	60.66
1.27	0	55.41
1.28	0	54.63
1.29	0	54.38
1.3	0	54.48
1.31	0	53.97
1.32	0	53.69
1.33	0	54.78
1.34	0	55.72
1.35	0	56.15
1.36	0	54.93
1.37	0	51.61
1.38	0	47.19
1.39	0	49.18
1.4	0	51.62
1.41	0	49.81
1.42	0	48.43
1.43	0	46.41
1.44	0	56.22
1.45	0	67.1
1.46	194.35	71.83
1.47	190.67	73.86
1.48	186.46	75.2
1.49	182.39	75.79
1.5	177.02	75.39
1.51	171.39	74.01
1.52	165.53	72.69
1.53	161.68	71.95
1.54	157.68	71.15
1.55	155.96	70.13
1.56	157.03	68.81
1.57	158.41	66.91
1.58	163.83	65.3
1.59	0	64.29
1.6	0	60.83
1.61	0	57.69
1.62	0	55.03
1.63	0	55.12
1.64	0	55.8
1.65	0	54.94
1.66	0	54.53
1.67	0	54.71
1.68	0	54.67
1.69	0	54.12
1.7	0	53.82
1.71	0	53.85
1.72	0	54.16
1.73	0	54.94
1.74	0	54.66
1.75	0	53.17
1.76	0	53.21
1.77	0	53.86
1.78	0	53.58
1.79	0	53.26
1.8	0	53.4
1.81	0	53.9
1.82	0	54.52
1.83	0	53.97
1.84	0	51.13
1.85	0	46.86
1.86	0	43.79
1.87	0	43.52
1.88	0	43.83
1.89	0	42.87
1.9	0	41.91
1.91	0	40.19
1.92	0	39.25
1.93	0	38.63
1.94	0	36.82
1.95	0	35.71
1.96	0	35.48
1.97	0	34.48
1.98	0	33.33
1.99	0	32.35
2	0	31.64
2.01	0	33.17
2.02	0	35.34
2.03	0	33.05
2.04	0	29
2.05	0	27.66
2.06	0	28.12
2.07	0	28.29
2.08	0	28.03
2.09	0	27.56
2.1	0	26.82
2.11	0	26.68
2.12	0	26.48
2.13	0	26.26
2.14	0	26.52
2.15	0	26.88
2.16	0	27.88
2.17	0	28.49
2.18	0	27.96
2.19	0	27.64
2.2	0	27.52
2.21	0	26.79
2.22	0	26.23
2.23	0	26.13
2.24	0	26.55
2.25	0	26.96
2.26	0	26.91
2.27	0	26.62
2.28	0	27.36
2.29	0	28.06
2.3	0	27.74
2.31	0	26.83
2.32	0	26.42
2.33	0	27.99
2.34	0	29.55
2.35	0	29.39
2.36	0	28.73
2.37	0	29.28
2.38	0	34.04
2.39	0	36.67
2.4	0	33.66
2.41	0	29.02
2.42	0	27.28
2.43	0	27.1
2.44	0	27.18
2.45	0	27.16
2.46	0	26.91
2.47	0	27.24
2.48	0	27.24
2.49	0	26.97
2.5	0	0
2.51	0	0
2.52	0	0
