time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.62
0.05	0	28.88
0.06	0	29.26
0.07	0	29.33
0.08	0	29.23
0.09	0	29.4
0.1	0	29.04
0.11	0	28.67
0.12	0	30.09
0.13	0	32.61
0.14	0	36.01
0.15	0	38.32
0.16	0	41.15
0.17	0	48.29
0.18	0	50.21
0.19	0	52.17
0.2	0	59.17
0.21	0	68.87
0.22	0	77.48
0.23	218.18	81.46
0.24	215.48	83.01
0.25	213.11	83.7
0.26	211.19	83.66
0.27	208.55	82.21
0.28	205.29	77.55
0.29	207.11	77.12
0.3	213.41	81.37
0.31	217.1	83.74
0.32	221.44	84.94
0.33	226.87	85.81
0.34	235.27	86.49
0.35	248.45	86.31
0.36	262.85	84.39
0.37	273.35	81.57
0.38	280.14	79.15
0.39	283.38	75.91
0.4	288.72	72.59
0.41	300	74.98
0.42	306.3	77.74
0.43	308.22	78.17
0.44	309.06	77.39
0.45	307.68	76.34
0.46	302.65	75.49
0.47	293.23	75.17
0.48	280.53	75.07
0.49	262.43	74.68
0.5	243.81	74.04
0.51	227.32	73.31
0.52	213.19	72.4
0.53	201.14	71.8
0.54	190.02	71.55
0.55	180.75	71.78
0.56	173.91	72.73
0.57	169.89	73.91
0.58	167.47	75.22
0.59	165.29	76.44
0.6	164.31	77.43
0.61	163.83	78.11
0.62	163.31	78.42
0.63	163.58	78.34
0.64	162.59	78.11
0.65	161.42	77.71
0.66	162.47	77.33
0.67	165.17	77.68
0.68	167.72	78.45
0.69	170.48	78.65
0.7	174.23	77.8
0.71	177.97	76.01
0.72	179.66	73.92
0.73	0	71.6
0.74	0	69
0.75	0	69.27
0.76	0	69.81
0.77	236.95	63.61
0.78	0	52.64
0.79	0	56.23
0.8	0	70.9
0.81	0	76.31
0.82	188.57	77.16
0.83	189.79	76.7
0.84	182.34	75.96
0.85	173.03	74.42
0.86	0	70.65
0.87	211.37	62.71
0.88	0	49.11
0.89	0	51.68
0.9	0	62.18
0.91	0	67.09
0.92	0	70.19
0.93	0	73.13
0.94	0	74.98
0.95	0	76.32
0.96	0	76.32
0.97	0	77
0.98	0	77.85
0.99	0	76.66
1	0	72.52
1.01	0	70.41
1.02	0	77.96
1.03	231.1	81.95
1.04	220.7	83.01
1.05	219.33	83.53
1.06	217.79	83.61
1.07	215.95	83.05
1.08	214.43	81.89
1.09	212.38	80.35
1.1	209.59	78.3
1.11	206.1	75.28
1.12	201.55	71.73
1.13	197.02	68.58
1.14	199.3	67.82
1.15	202.13	69.98
1.16	200.66	72.7
1.17	199.65	74.64
1.18	198.85	75.55
1.19	197.78	75.64
1.2	196.53	74.9
1.21	193.8	73.02
1.22	191.79	69.98
1.23	192.81	67.82
1.24	0	69.88
1.25	0	71.71
1.26	0	71.73
1.27	0	70.1
1.28	0	68.02
1.29	0	66.46
1.3	0	66.6
1.31	0	68.55
1.32	0	70.88
1.33	0	74.91
1.34	212.17	78.96
1.35	198.57	81.41
1.36	194.28	82.59
1.37	191.42	83.05
1.38	188.5	83.15
1.39	186.34	82.86
1.4	185.06	82.22
1.41	183.84	81.24
1.42	183.15	80.18
1.43	182.64	79.56
1.44	182.63	79.43
1.45	182.4	79.37
1.46	183.86	78.69
1.47	184.58	76.65
1.48	181.86	74.29
1.49	181.59	73.01
1.5	180.55	72.04
1.51	179.69	70.38
1.52	178.67	66.79
1.53	178	62.82
1.54	177.42	61.76
1.55	174.92	61.38
1.56	172.21	60.85
1.57	171.17	61.64
1.58	170.99	65.7
1.59	168.1	68.57
1.6	164.05	69.09
1.61	161.9	68.02
1.62	159.82	64.39
1.63	0	56.69
1.64	0	45.04
1.65	0	33.19
1.66	0	31.41
1.67	0	51.12
1.68	0	62.01
1.69	0	67.52
1.7	0	70.23
1.71	0	70.52
1.72	0	69.26
1.73	0	67.74
1.74	0	66.09
1.75	0	64.28
1.76	0	66.16
1.77	226.35	73.03
1.78	221.57	76.92
1.79	219.83	78.13
1.8	221.83	78.55
1.81	222.66	78.43
