time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.13
0.04	0	35.56
0.05	0	35.13
0.06	0	35.39
0.07	0	36.69
0.08	0	38.65
0.09	0	42.04
0.1	0	45.35
0.11	0	48.25
0.12	0	50.69
0.13	0	52.1
0.14	0	54.36
0.15	0	61.61
0.16	0	71.13
0.17	228.98	76.15
0.18	225.31	77.77
0.19	223.42	78.13
0.2	222.21	78.7
0.21	222.1	79.81
0.22	217.01	79.16
0.23	209.06	76.52
0.24	212.93	76.26
0.25	217.26	77.64
0.26	218.87	78.32
0.27	217.95	78.13
0.28	215.78	77.35
0.29	218.5	80.04
0.3	225.61	84.74
0.31	223.68	85.96
0.32	223.01	85.67
0.33	224.41	85.81
0.34	226.2	86.22
0.35	228.2	86.72
0.36	230.95	87.35
0.37	234.19	87.93
0.38	237.37	88.23
0.39	239.92	88.21
0.4	240.94	87.07
0.41	238.16	83.47
0.42	231.4	77.09
0.43	225.61	70.33
0.44	223.39	65.8
0.45	224.72	62.88
0.46	225.58	59.84
0.47	0	56.95
0.48	0	58.37
0.49	0	62.78
0.5	0	70.38
0.51	251.64	76.75
0.52	246.29	80.04
0.53	243.29	80.97
0.54	238.78	80.19
0.55	233.66	77.88
0.56	229.25	75.23
0.57	226.2	74.03
0.58	223.77	73.51
0.59	221.99	73.13
0.6	219.03	72.62
0.61	214.98	71.96
0.62	209.49	70.86
0.63	202.33	68.61
0.64	194.23	64.48
0.65	192.78	61.42
0.66	202.38	67.66
0.67	206.53	74.09
0.68	207.75	77.8
0.69	206.97	79.38
0.7	206.11	79.87
0.71	206.54	80.14
0.72	205.98	80.31
0.73	205.83	80.47
0.74	205.4	80.67
0.75	204.8	80.85
0.76	204.05	80.86
0.77	203.28	80.66
0.78	203.07	80.11
0.79	203.1	79.21
0.8	203.46	78.16
0.81	203.95	77.21
0.82	204.32	76.53
0.83	204.44	76.23
0.84	205.65	76.08
0.85	207.22	76.06
0.86	207.79	75.53
0.87	202.66	72.55
0.88	192.87	65.42
0.89	0	55.05
0.9	0	46.42
0.91	0	44.43
0.92	0	48.51
0.93	0	54.76
0.94	0	57.68
0.95	0	57.24
0.96	0	56.24
0.97	0	54.55
0.98	0	54.73
0.99	0	56.68
1	0	57.63
1.01	0	58.2
1.02	0	57.66
1.03	0	55.79
1.04	0	58.26
1.05	0	68.98
1.06	211.93	74.96
1.07	198.19	76.93
1.08	194.18	77.38
1.09	191.55	77.12
1.1	189.41	76
1.11	184.79	73.03
1.12	178.16	66.33
1.13	0	58.27
1.14	0	63.7
1.15	184.33	72.56
1.16	182.37	75.81
1.17	179.72	74.71
1.18	177.23	70.11
1.19	180.44	66.36
1.2	179.7	65.86
1.21	178.1	65.44
1.22	177.48	65.17
1.23	177.47	65.21
1.24	179.35	68.14
1.25	181.53	73.98
1.26	179.46	77.42
1.27	178.79	78.58
1.28	177.66	78.95
1.29	176.25	78.86
1.3	175.97	78.72
1.31	175.49	78.7
1.32	174.98	78.74
1.33	175.25	79
1.34	174.78	79.12
1.35	174.85	79.12
1.36	175.63	79.13
1.37	177	79.13
1.38	178.67	78.68
1.39	179.45	77.21
1.4	179.97	74.46
1.41	180.43	72.99
1.42	179.31	74.7
1.43	176.81	75.85
1.44	175.43	75.65
1.45	175.71	74.4
1.46	175.76	72.39
1.47	175.02	70.19
1.48	173.84	68.09
1.49	171.7	66.55
1.5	170.98	65.54
1.51	171.98	64.66
1.52	173.37	63.41
1.53	174.48	61.3
1.54	175.9	57.97
1.55	0	52.34
1.56	0	57.71
1.57	0	67.29
1.58	0	68.94
1.59	0	63.6
1.6	0	56.87
1.61	0	60.68
1.62	199.87	67.12
1.63	196.46	70.05
1.64	184.23	71.16
1.65	176.44	71.48
1.66	172.28	70.93
1.67	170.83	70.46
1.68	170.55	69.76
1.69	168.85	68.57
1.7	167.48	65.96
1.71	168.04	62.3
1.72	167.34	59.33
1.73	0	56.37
1.74	0	51.08
1.75	0	43.44
1.76	0	43.31
1.77	0	49.76
1.78	0	53.09
1.79	0	58.05
1.8	0	65.77
1.81	0	68.94
1.82	0	66.96
1.83	0	62.8
1.84	0	60.86
1.85	0	61.39
1.86	0	62.41
1.87	0	67.15
1.88	0	69.09
1.89	0	68.65
1.9	0	68.3
1.91	0	67.64
1.92	0	66.66
1.93	0	66.42
1.94	0	64.95
1.95	0	63.36
1.96	170.21	62.2
1.97	174.77	61.07
1.98	181.58	59.85
1.99	185.72	58.18
2	0	55.79
2.01	0	52.99
2.02	0	49.69
2.03	0	45.49
2.04	0	42.98
2.05	0	0
2.06	0	0
2.07	0	0
