time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.79
0.05	0	25.93
0.06	0	24.27
0.07	0	23.94
0.08	0	23.51
0.09	0	21.56
0.1	0	19.96
0.11	0	19.33
0.12	0	20
0.13	0	33.78
0.14	0	48.89
0.15	0	60.55
0.16	204.14	69.51
0.17	202.91	74.19
0.18	201.54	76.57
0.19	197.56	77.98
0.2	189.37	78.39
0.21	0	77.43
0.22	0	75.23
0.23	0	70.83
0.24	0	62.88
0.25	0	56.05
0.26	0	50.94
0.27	0	48.67
0.28	0	51.39
0.29	0	55.52
0.3	177.84	59.85
0.31	183.59	62.74
0.32	189.29	65.33
0.33	196.39	68.01
0.34	203.81	71.4
0.35	209.5	74.96
0.36	213.22	77.79
0.37	215.72	79.85
0.38	218.56	81.78
0.39	220.3	82.98
0.4	219.89	82.79
0.41	220.04	82.73
0.42	221.7	83.34
0.43	223.33	83.89
0.44	224.3	84.46
0.45	225.21	84.86
0.46	225.93	84.91
0.47	226.75	84.74
0.48	227.24	84.05
0.49	229.15	82.39
0.5	231.92	81.55
0.51	234.43	81.94
0.52	237.08	80.63
0.53	239.4	77.71
0.54	240.91	75.5
0.55	241.37	72.65
0.56	0	66.09
0.57	0	53.28
0.58	0	34.91
0.59	0	21.72
0.6	0	18.86
0.61	0	18.13
0.62	0	35.12
0.63	0	52.42
0.64	0	58.95
0.65	0	58.36
0.66	0	54.06
0.67	0	54.28
0.68	232.93	59.66
0.69	245.58	65.63
0.7	253.45	69.92
0.71	252.15	73.61
0.72	240.19	76.26
0.73	224.8	78.33
0.74	216.35	79.78
0.75	213	79.83
0.76	211.72	78.57
0.77	211.51	76.73
0.78	212.07	75.36
0.79	212.97	74.89
0.8	214.2	75.07
0.81	215.5	75.42
0.82	216.34	75.44
0.83	218.33	74.98
0.84	221.35	73.55
0.85	221.86	70.29
0.86	210.33	65.51
0.87	205.68	61.73
0.88	192.51	59.23
0.89	191.11	57.7
0.9	196.43	58.07
0.91	185.79	59.48
0.92	184.44	60.17
0.93	207.63	62.32
0.94	228.48	67
0.95	237.2	72.5
0.96	238.54	76.38
0.97	235.86	78.62
0.98	233.6	80
0.99	232.55	80.83
1	231.76	81.03
1.01	231.1	80.72
1.02	230.39	80.1
1.03	229.7	79.22
1.04	229.71	78.22
1.05	229.97	77.2
1.06	229.93	76.19
1.07	229.53	75.19
1.08	228.88	74.1
1.09	227.88	72.27
1.1	226.01	68.18
1.11	0	60.41
1.12	0	53.11
1.13	0	50.12
1.14	0	46.8
1.15	0	46.87
1.16	0	57.17
1.17	0	65.77
1.18	193.2	69.98
1.19	188.68	72.39
1.2	183.53	74.57
1.21	177.36	75.01
1.22	170.61	73.68
1.23	166.31	72.93
1.24	163.87	73.46
1.25	162.07	74.36
1.26	160.6	74.85
1.27	158.72	74.73
1.28	156.64	74.26
1.29	154.8	73.8
1.3	153.23	73.35
1.31	152.42	72.88
1.32	151.69	72.55
1.33	150.93	72.36
1.34	149.95	71.93
1.35	148.92	71.12
1.36	148.82	69.97
1.37	149.94	68.69
1.38	150.86	67.53
1.39	152.1	66.73
1.4	153.33	66.25
1.41	154.45	65.85
1.42	156.08	65.31
1.43	157.6	64.5
1.44	157.5	63.2
1.45	155.98	61.1
1.46	153.63	57.57
1.47	0	52.54
1.48	0	50.85
1.49	0	54.16
1.5	0	57.55
1.51	0	60.51
1.52	0	60.24
1.53	0	59.46
1.54	0	59.82
1.55	0	59.01
1.56	0	56.81
1.57	0	55.11
1.58	0	53.97
1.59	0	53.42
1.6	0	53.5
1.61	0	53.61
1.62	0	52.28
1.63	0	49.6
1.64	0	47.06
1.65	0	43.97
1.66	0	40.81
1.67	0	38.27
1.68	0	35.85
1.69	0	33.08
1.7	0	30.79
1.71	0	29.02
1.72	0	27.46
1.73	0	24.4
1.74	0	19.55
1.75	0	17.99
1.76	0	19.01
1.77	0	20.19
1.78	0	0
1.79	0	0
1.8	0	0
