time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.34
0.04	0	26.68
0.05	0	23.38
0.06	0	21.98
0.07	0	22.04
0.08	0	24.27
0.09	0	27.04
0.1	0	27.73
0.11	0	26.95
0.12	0	31.52
0.13	0	49.3
0.14	272.01	59.43
0.15	251.16	62.78
0.16	235.73	62.78
0.17	234.35	63.67
0.18	235.48	69.51
0.19	236.88	76.77
0.2	238.06	79.78
0.21	238.78	80.55
0.22	240.44	80.79
0.23	243.14	80.94
0.24	246.74	81.15
0.25	249.67	81.54
0.26	252.38	82.14
0.27	256.29	82.98
0.28	260.33	82.89
0.29	267.56	79.94
0.3	275.52	72.91
0.31	254.06	63.14
0.32	248	57.98
0.33	0	55.65
0.34	0	56.41
0.35	309.4	65.03
0.36	318.21	72.88
0.37	321.07	76.36
0.38	322.8	77.2
0.39	325.52	77.05
0.4	328.25	76.85
0.41	328.4	76.17
0.42	325.42	73.38
0.43	314.24	66.78
0.44	0	57.82
0.45	0	52.14
0.46	0	48.01
0.47	0	53.87
0.48	0	67.97
0.49	339.43	77.32
0.5	335.39	82.57
0.51	330.27	85.2
0.52	321.47	85.04
0.53	313.39	83.48
0.54	308.21	83.04
0.55	305.14	83.5
0.56	303.47	83.45
0.57	304.62	82.74
0.58	308.3	81.78
0.59	312.69	79.67
0.6	312.73	74.71
0.61	299.89	66.34
0.62	0	60.15
0.63	0	58.38
0.64	0	59.03
0.65	0	60.6
0.66	0	61.96
0.67	0	62.37
0.68	0	62.57
0.69	0	63.52
0.7	0	63.21
0.71	0	59.86
0.72	0	51.96
0.73	0	36.59
0.74	0	31.36
0.75	0	50.34
0.76	0	64.95
0.77	324.3	76.14
0.78	322.78	81.6
0.79	312.93	82.48
0.8	305.86	82.87
0.81	306.5	84.31
0.82	309.69	85.11
0.83	311.95	85.36
0.84	314.88	85.29
0.85	320.11	85
0.86	327.51	84.45
0.87	334.41	83.15
0.88	336.14	80.61
0.89	333.19	75.95
0.9	0	66.92
0.91	0	50.18
0.92	0	34.31
0.93	0	42.58
0.94	0	62.51
0.95	313.26	73.49
0.96	300.51	78.96
0.97	283.69	80.02
0.98	0	77.74
0.99	0	76.79
1	0	76.24
1.01	0	71.13
1.02	0	59.77
1.03	0	49.64
1.04	0	54.26
1.05	0	58.9
1.06	206.34	60.04
1.07	218.11	60.89
1.08	222.2	61.96
1.09	223.49	62.91
1.1	222.56	66.52
1.11	219.6	71.29
1.12	216.54	73.42
1.13	212.31	74.45
1.14	207.47	75.5
1.15	203.88	76.45
1.16	203.09	76.92
1.17	203.21	76.97
1.18	200.55	77.13
1.19	198.98	77.24
1.2	198.98	76.76
1.21	200.03	76.33
1.22	200.28	76.15
1.23	199.46	75.62
1.24	198.5	75.04
1.25	197.42	74.38
1.26	196.74	73.54
1.27	195.28	72.64
1.28	194.01	71.44
1.29	194.45	70.03
1.3	195.65	68.7
1.31	197.87	66.79
1.32	202.5	63.51
1.33	209.35	59.79
1.34	212.24	57.39
1.35	0	55.58
1.36	0	53.77
1.37	0	52.41
1.38	0	51.12
1.39	0	48.69
1.4	0	44.83
1.41	0	39.82
1.42	0	33.39
1.43	0	25.32
1.44	0	20.64
1.45	0	20.06
1.46	0	20.75
1.47	0	21.56
1.48	0	21.6
1.49	0	22.54
1.5	0	31.96
1.51	0	53.06
1.52	0	66.26
1.53	235.07	73.43
1.54	236.36	78
1.55	241.1	80.49
1.56	245.46	80.79
1.57	250.04	80.68
1.58	255.04	81.17
1.59	259.19	81.3
1.6	264.42	80.9
1.61	268.61	79.22
1.62	270.33	74.95
1.63	276.41	70.13
1.64	280.29	68.05
1.65	283.79	65.87
1.66	286.42	61.71
1.67	0	53.78
1.68	0	52.8
1.69	0	56.95
1.7	0	58.37
1.71	0	59.38
1.72	0	60.61
1.73	0	62
1.74	0	63.39
1.75	0	64.15
1.76	0	64.35
1.77	0	62.5
1.78	0	59.6
1.79	0	56.65
1.8	0	53.45
1.81	0	48.58
1.82	0	43.25
1.83	0	43.14
1.84	0	45.68
1.85	0	47.2
1.86	0	56.71
1.87	281.8	68.33
1.88	283.64	74.22
1.89	280.45	76.8
1.9	275.02	77.5
1.91	268.8	77.41
1.92	263.02	77.39
1.93	257.44	77.65
1.94	252.14	78.13
1.95	246.48	78.79
1.96	239.75	79.52
1.97	232.87	80.07
1.98	226.57	80.07
1.99	220.52	79.62
2	216.38	79.22
2.01	213.75	79.1
2.02	211.72	79.16
2.03	209.82	79.36
2.04	207.33	79.74
2.05	204.45	80.07
2.06	202.32	80.02
2.07	200.89	79.62
2.08	199.89	79.13
2.09	198.92	78.68
2.1	197.12	78.2
2.11	195.15	77.59
2.12	193.44	76.91
2.13	191.33	76.13
2.14	189.92	75.36
2.15	189.99	74.66
2.16	191.62	73.73
2.17	193.68	72.25
2.18	196.45	70.51
2.19	201.62	68.76
2.2	203.35	65
2.21	0	57.99
2.22	0	51.41
2.23	0	45.06
2.24	0	40.3
2.25	0	39.88
2.26	0	40.85
2.27	0	40.77
2.28	0	38.96
2.29	0	37.54
2.3	0	36.97
2.31	0	35.85
2.32	0	35.25
2.33	0	35.47
2.34	0	35.21
2.35	0	33.55
2.36	0	32.14
2.37	0	31.79
2.38	0	32
2.39	0	32.05
2.4	0	31.99
2.41	0	0
2.42	0	0
2.43	0	0
