time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	36.66
0.05	0	34.58
0.06	0	33.05
0.07	0	33.44
0.08	0	33.7
0.09	0	38.43
0.1	0	44.07
0.11	0	47.66
0.12	0	52.7
0.13	0	63.14
0.14	0	70.36
0.15	0	73.03
0.16	0	74.85
0.17	196.81	77.9
0.18	197.28	79.52
0.19	198.43	80.43
0.2	198.4	80.83
0.21	198.32	80.51
0.22	197.83	79.78
0.23	197.1	78.72
0.24	197.79	77.79
0.25	200.52	78.03
0.26	204.28	79.57
0.27	207.95	81.91
0.28	210.42	84.14
0.29	211.9	85.28
0.3	212.66	85.26
0.31	213.01	84.64
0.32	213.82	84.2
0.33	214.87	84.22
0.34	216.34	84.41
0.35	220.38	84.9
0.36	224.02	85.62
0.37	226.27	86.25
0.38	227.98	85.73
0.39	229.17	82.23
0.4	227.39	73.77
0.41	229.84	65.55
0.42	239.48	73.44
0.43	245.21	80.36
0.44	245.37	83.25
0.45	241.81	83.32
0.46	237.3	81.2
0.47	0	78.48
0.48	0	77.79
0.49	0	73.38
0.5	0	65.54
0.51	0	58.34
0.52	0	43.63
0.53	0	36.04
0.54	0	35.83
0.55	0	33.21
0.56	0	35.68
0.57	0	56.27
0.58	0	69.41
0.59	0	74.09
0.6	0	71.95
0.61	0	66.68
0.62	221.94	69.24
0.63	226.34	76.11
0.64	228.4	79.84
0.65	226.21	81.52
0.66	221.43	82.34
0.67	216.25	82.57
0.68	212.55	82.35
0.69	209.91	81.8
0.7	207.45	81.07
0.71	205.82	80.03
0.72	204.95	77.85
0.73	203.94	73.51
0.74	206.42	69.68
0.75	206.89	67.55
0.76	0	64.66
0.77	0	67.84
0.78	0	71.94
0.79	0	73.51
0.8	0	71.63
0.81	0	68.35
0.82	0	66.25
0.83	0	64.4
0.84	0	61.81
0.85	0	58.06
0.86	0	54.55
0.87	0	57.92
0.88	214.85	69.31
0.89	207.86	75.08
0.9	201.7	76.49
0.91	198.86	75.8
0.92	196.61	74.57
0.93	193.68	73.01
0.94	190.63	70.56
0.95	186.79	65.89
0.96	0	58.41
0.97	0	52.22
0.98	0	48.74
0.99	0	44.95
1	0	38.9
1.01	0	51.33
1.02	0	64.39
1.03	0	70.36
1.04	214.21	75.24
1.05	208.42	77.93
1.06	205.56	78.71
1.07	205.82	79.93
1.08	205.17	79.49
1.09	204.99	77.45
1.1	206.18	77.2
1.11	207.69	78.8
1.12	208.25	80.62
1.13	207.31	82.18
1.14	205.23	82.7
1.15	203.06	80.79
1.16	200.38	74.68
1.17	0	63.16
1.18	0	57.33
1.19	185.94	63.24
1.2	186.72	69.33
1.21	189.01	73.77
1.22	189.29	76.64
1.23	190.07	78.27
1.24	190.39	79.39
1.25	189.22	79.5
1.26	187.84	78.81
1.27	186.63	76.95
1.28	184.62	71.83
1.29	0	63.03
1.3	0	63.1
1.31	0	65.91
1.32	0	68.73
1.33	0	66.02
1.34	0	60.67
1.35	0	57.9
1.36	0	56.34
1.37	0	55.19
1.38	0	57.03
1.39	193.81	64.44
1.4	186.17	69.15
1.41	179.99	70.16
1.42	176.77	69.24
1.43	174.31	67.81
1.44	170.55	65.89
1.45	170.95	63.94
1.46	172.24	63.36
1.47	172.1	63.91
1.48	172.06	64.52
1.49	171.59	64.44
1.5	170.72	63.75
1.51	171.1	63.02
1.52	172.83	62.58
1.53	174.38	62.51
1.54	174.54	62.37
1.55	173.33	61.84
1.56	171.39	60.46
1.57	0	57.41
1.58	0	52.79
1.59	0	50.17
1.6	0	50.43
1.61	0	50.77
1.62	0	49.31
1.63	0	47.99
1.64	0	48
1.65	0	0
1.66	0	0
1.67	0	0
?	?	?
