time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.54
0.04	0	35.15
0.05	0	33.67
0.06	0	32.68
0.07	0	33.77
0.08	0	35.3
0.09	0	35.15
0.1	0	34.64
0.11	0	35.08
0.12	0	35.99
0.13	0	46.52
0.14	0	59
0.15	0	63.09
0.16	0	65.87
0.17	0	71.41
0.18	0	74.37
0.19	0	75.07
0.2	0	76.13
0.21	0	77.03
0.22	0	77.47
0.23	0	77.85
0.24	0	78.3
0.25	0	78.71
0.26	0	78.9
0.27	0	79.01
0.28	0	79.03
0.29	0	78.89
0.3	0	78.85
0.31	0	78.91
0.32	0	79.02
0.33	0	79.04
0.34	0	79.02
0.35	0	79.3
0.36	0	79.76
0.37	0	80.19
0.38	0	80.51
0.39	0	80.66
0.4	0	80.5
0.41	0	80.7
0.42	255.88	81.23
0.43	264.11	81.15
0.44	268.97	80.47
0.45	274.6	79.53
0.46	274.02	78.06
0.47	273.99	75.12
0.48	269.63	70.16
0.49	0	65.1
0.5	0	63.5
0.51	0	63.47
0.52	0	63.44
0.53	0	63.48
0.54	0	63.8
0.55	0	66.32
0.56	243.68	71.67
0.57	240.36	75.46
0.58	235.09	77.39
0.59	228.91	78.81
0.6	229.64	79.78
0.61	228.68	79.59
0.62	228.33	78.4
0.63	228.95	76.92
0.64	230.03	75.87
0.65	233.09	75.19
0.66	232.39	74.73
0.67	235.09	74.6
0.68	236.71	74.91
0.69	238.69	75.42
0.7	241.4	76.13
0.71	243.52	76.57
0.72	242.83	74.88
0.73	244.07	70.93
0.74	246.49	69.86
0.75	248.27	70.42
0.76	250.73	70.81
0.77	253.3	71.31
0.78	260.78	72.47
0.79	265.15	73.47
0.8	268.05	73.38
0.81	264.59	72.6
0.82	265.51	71.85
0.83	264.82	71.73
0.84	263.29	72.11
0.85	265.78	72.87
0.86	263.67	73.72
0.87	264.94	74.68
0.88	268.08	75.51
0.89	268.03	75.89
0.9	264.66	75.94
0.91	264.25	75.82
0.92	263.64	75.43
0.93	265.48	74.93
0.94	267.98	74.53
0.95	269.02	74.1
0.96	269.74	73.26
0.97	264.49	70.98
0.98	0	68.1
0.99	0	67.21
1	0	66.69
1.01	0	65.74
1.02	0	64.53
1.03	0	63.18
1.04	0	62.58
1.05	0	65.83
1.06	248.85	71.85
1.07	253.65	76.82
1.08	255.54	79.75
1.09	256.65	81.28
1.1	255.97	82.24
1.11	259.09	83.27
1.12	261.6	84.39
1.13	264.96	85.09
1.14	267.11	84.84
1.15	270.13	83.82
1.16	275.78	82.9
1.17	280.94	82.14
1.18	288.46	81.63
1.19	296.07	81.3
1.2	302.21	81.11
1.21	306.91	81.04
1.22	312.28	81.36
1.23	315.9	81.75
1.24	319.29	82.02
1.25	320.4	82.17
1.26	318.54	81.7
1.27	314.94	80.29
1.28	309.85	77.02
1.29	0	70.51
1.3	0	66.41
1.31	298.36	72.62
1.32	278.5	75.89
1.33	242.04	75.9
1.34	217.66	75.28
1.35	0	73.9
1.36	0	72.15
1.37	0	70.6
1.38	0	68.94
1.39	0	66.91
1.4	0	65.35
1.41	0	63.69
1.42	0	63.8
1.43	0	63.79
1.44	0	56.35
1.45	0	43.93
1.46	0	35.9
1.47	0	32.48
1.48	0	33.47
1.49	0	34.64
1.5	0	35.41
1.51	0	37.01
1.52	0	37.5
1.53	0	34.25
1.54	0	32.38
1.55	0	34.06
1.56	0	35.45
1.57	0	35.21
1.58	0	34.67
1.59	0	34.51
1.6	0	34.44
1.61	0	34.3
1.62	0	34.48
1.63	0	0
1.64	0	0
1.65	0	0
