time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.58
0.05	0	31.33
0.06	0	30.86
0.07	0	31.15
0.08	0	31.73
0.09	0	31.41
0.1	0	30.29
0.11	0	29.27
0.12	0	40.94
0.13	0	56.42
0.14	0	62.31
0.15	0	68.53
0.16	0	78.65
0.17	214.84	83.29
0.18	212.84	85.12
0.19	207.06	85.8
0.2	204.78	86.05
0.21	204.08	86.03
0.22	202.22	85.4
0.23	204.78	84.29
0.24	210.42	82.86
0.25	216.57	80.49
0.26	217.64	76.87
0.27	210.35	71.88
0.28	0	66.53
0.29	0	61.66
0.3	0	58.49
0.31	0	61.26
0.32	0	64.96
0.33	0	64.04
0.34	0	56.72
0.35	0	46.07
0.36	0	38.6
0.37	0	45.23
0.38	0	54.82
0.39	0	64.75
0.4	0	70.01
0.41	0	68.8
0.42	0	63.24
0.43	0	60.51
0.44	0	63.15
0.45	239.89	71.24
0.46	230	77.55
0.47	221.38	81.05
0.48	217.07	83.11
0.49	214.16	84.22
0.5	211.62	84.68
0.51	209.6	84.91
0.52	209.16	84.98
0.53	207.5	84.73
0.54	207.43	84.3
0.55	209.43	83.74
0.56	209.71	82.91
0.57	209.89	81.79
0.58	208.93	79.73
0.59	203.85	76.22
0.6	198.56	71.83
0.61	180.36	67.51
0.62	175.69	65.07
0.63	175.05	64.09
0.64	180.67	63.14
0.65	173.65	61.14
0.66	171.49	59.41
0.67	176.94	60.35
0.68	177.45	64.31
0.69	177.8	68.47
0.7	178.51	71.21
0.71	178.42	72.7
0.72	176.89	73.05
0.73	175.99	71.97
0.74	172.52	69.55
0.75	169.44	65.84
0.76	0	64.87
0.77	0	67.59
0.78	0	69.62
0.79	0	71.33
0.8	0	73.16
0.81	0	74.63
0.82	0	75.66
0.83	0	74.93
0.84	0	70.37
0.85	0	61.69
0.86	0	48.91
0.87	0	34.04
0.88	0	37
0.89	0	52.55
0.9	0	69.11
0.91	185.4	78.25
0.92	187.38	82.14
0.93	183.98	83.39
0.94	180.57	83.48
0.95	179.4	83
0.96	178.95	82.6
0.97	177.61	82.11
0.98	177.2	81.59
0.99	176.5	81.12
1	172.48	79.57
1.01	170.59	75.94
1.02	0	72.15
1.03	0	67.7
1.04	0	57.26
1.05	0	38.53
1.06	0	50.42
1.07	0	62.32
1.08	0	68.38
1.09	0	71.93
1.1	0	73.42
1.11	189.44	74.16
1.12	186.4	74.59
1.13	182.1	74.4
1.14	180.42	73.18
1.15	0	68.64
1.16	0	58.33
1.17	0	49.64
1.18	0	45.08
1.19	0	52.15
1.2	0	62.77
1.21	0	65.63
1.22	0	70.06
1.23	173.07	73.98
1.24	171.14	76.03
1.25	169.72	77.46
1.26	167.83	77.47
1.27	166.4	76.8
1.28	166.22	76.04
1.29	164.69	75.56
1.3	164.9	75.69
1.31	164.25	75.82
1.32	163.48	75.43
1.33	163.74	75.17
1.34	162.07	74.87
1.35	163.02	74.84
1.36	161.31	74.1
1.37	159.61	71.73
1.38	158.19	68.23
1.39	159.05	64.41
1.4	156.15	62.6
1.41	154.53	62.39
1.42	157.46	62.44
1.43	157.42	64.42
1.44	153.09	67.51
1.45	153.63	68.32
1.46	146.13	68.22
1.47	144.91	68.12
1.48	151.94	67.69
1.49	154.38	66.91
1.5	149.97	66.02
1.51	152.36	65.05
1.52	154.52	63.79
1.53	153.41	62.33
1.54	0	59.56
1.55	0	56.61
1.56	0	57.28
1.57	0	59.91
1.58	0	62.29
1.59	0	64.09
1.6	0	67.32
1.61	0	69.79
1.62	0	69.73
1.63	0	67.36
1.64	0	65.24
1.65	0	64.56
1.66	0	64.93
1.67	0	65.74
1.68	0	64.98
1.69	0	64.89
1.7	0	65.47
1.71	0	65.01
1.72	0	62.58
1.73	0	59.25
1.74	0	54.48
1.75	0	51.03
1.76	0	49.33
1.77	0	48.03
1.78	0	46.18
1.79	0	41.91
1.8	0	39.91
1.81	0	39.61
1.82	0	38.46
1.83	0	37.38
1.84	0	36.09
1.85	0	34.81
1.86	0	34.85
1.87	0	34.05
1.88	0	33.21
1.89	0	31.84
1.9	0	31.02
1.91	0	32.77
1.92	0	35.48
1.93	0	32.93
1.94	0	29.93
1.95	0	29.49
1.96	0	29.73
1.97	0	29.98
1.98	0	30.02
1.99	0	30.23
2	0	30.33
2.01	0	29.63
2.02	0	28.93
2.03	0	0
2.04	0	0
2.05	0	0
