time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34
0.05	0	34.82
0.06	0	35.86
0.07	0	37.8
0.08	0	38.68
0.09	0	37.53
0.1	0	35.93
0.11	0	35.73
0.12	0	47.05
0.13	0	58.54
0.14	0	62.86
0.15	0	70.46
0.16	0	76.4
0.17	192.39	77.6
0.18	188.98	75.62
0.19	182.36	70.31
0.2	178.11	60.57
0.21	0	49.9
0.22	0	42.88
0.23	0	36.5
0.24	0	32.47
0.25	0	40.84
0.26	0	56.89
0.27	0	64.45
0.28	131.51	65.83
0.29	0	69.91
0.3	205.82	75.78
0.31	195.7	78.58
0.32	198.56	79.86
0.33	199.79	80.64
0.34	200.44	81.39
0.35	201.13	82.17
0.36	202.2	82.7
0.37	203.73	82.83
0.38	205.53	82.83
0.39	206.81	83.01
0.4	208.37	83.28
0.41	210.09	83.64
0.42	211.88	83.84
0.43	214.47	83.82
0.44	217.05	83.72
0.45	218.43	83.49
0.46	219.16	83.05
0.47	220.51	82.26
0.48	222.27	81.21
0.49	223.96	80.22
0.5	226.08	79.3
0.51	227.66	78.49
0.52	227.58	77.39
0.53	225.84	74.41
0.54	226.77	70.53
0.55	228.23	69.92
0.56	226.48	70.1
0.57	224.89	70.12
0.58	223.5	70.18
0.59	222.37	70.27
0.6	221.04	70.32
0.61	224.22	71.65
0.62	220.99	74.5
0.63	211.98	75.96
0.64	210.15	76.47
0.65	208.41	77
0.66	206.85	77.57
0.67	205.27	78.11
0.68	204.25	78.68
0.69	203.54	79.13
0.7	202.29	79.38
0.71	201.39	79.61
0.72	201.77	79.98
0.73	202.03	80.41
0.74	201.51	80.91
0.75	200.93	81.36
0.76	200.25	81.61
0.77	198.59	80.85
0.78	197.32	77.1
0.79	0	67.64
0.8	0	57.54
0.81	0	62.3
0.82	0	69.43
0.83	208.12	74.24
0.84	206.1	75.96
0.85	208.51	76.1
0.86	207.16	75.14
0.87	202.13	72.29
0.88	198.31	66.19
0.89	0	55.76
0.9	0	47.03
0.91	0	56.12
0.92	0	65.51
0.93	0	71.11
0.94	0	74.59
0.95	0	75.57
0.96	0	75.08
0.97	0	76.36
0.98	0	76.89
0.99	0	76.71
1	0	76.82
1.01	0	76.54
1.02	191.47	75.32
1.03	190.45	72.33
1.04	193.89	68.86
1.05	200.01	68.02
1.06	200.54	67.85
1.07	198.96	66.91
1.08	193.05	64
1.09	188.4	60.9
1.1	0	63.53
1.11	0	66.13
1.12	186.62	68.4
1.13	186.05	69.71
1.14	184.41	70.23
1.15	182.61	70.16
1.16	181.96	69.47
1.17	182.17	68.24
1.18	183.56	66.58
1.19	184.48	65.9
1.2	0	68.17
1.21	0	69.52
1.22	0	70.98
1.23	0	73.62
1.24	0	74.7
1.25	0	74.84
1.26	0	74.84
1.27	0	75.08
1.28	0	74.13
1.29	0	70.93
1.3	0	64.79
1.31	0	54.25
1.32	0	40.86
1.33	0	49.25
1.34	0	60.13
1.35	0	63.43
1.36	0	66.69
1.37	0	71.96
1.38	189.63	73.5
1.39	185.61	73.57
1.4	184.17	73.63
1.41	183.49	73.57
1.42	183.94	73.41
1.43	184.04	73.26
1.44	182.96	73.07
1.45	182.15	72.8
1.46	181.62	72.01
1.47	179.78	69.52
1.48	180.53	65.73
1.49	182.68	63.77
1.5	181.12	62.08
1.51	178.02	59.5
1.52	175.95	58.18
1.53	0	62.6
1.54	183.13	67.23
1.55	180.11	68.87
1.56	178.41	68.69
1.57	176.54	68.26
1.58	173.44	68.07
1.59	170.71	68.06
1.6	169.44	67.98
1.61	167.53	67.58
1.62	165.02	66.42
1.63	163.37	65.14
1.64	162.68	64.69
1.65	161.87	64.45
1.66	161.08	64.06
1.67	161.07	63.67
1.68	161.23	63.34
1.69	160.45	63.05
1.7	159.66	62.68
1.71	159.71	62.16
1.72	161.62	61.43
1.73	157.53	62.23
1.74	154.84	64.26
1.75	154.94	65.91
1.76	152.59	66.74
1.77	153.81	66.91
1.78	151.53	67.11
1.79	152.76	67.1
1.8	154.56	66.58
1.81	153.31	65.93
1.82	154.07	65.34
1.83	156.46	65.13
1.84	160.34	64.53
1.85	164.8	62.69
1.86	166.69	59
1.87	0	53.07
1.88	0	47.75
1.89	0	45.18
1.9	0	41.91
1.91	0	39.6
1.92	0	39.65
1.93	0	38.32
1.94	0	36.72
1.95	0	35.67
1.96	0	0
1.97	0	0
1.98	0	0
1.99	0	0
