time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	24.75
0.04	0	24.76
0.05	0	24.52
0.06	0	24.07
0.07	0	23.52
0.08	0	23.64
0.09	0	24.56
0.1	0	27.04
0.11	0	27.78
0.12	0	30.56
0.13	0	40.79
0.14	0	43.9
0.15	0	38.34
0.16	0	27.67
0.17	0	26.86
0.18	0	34.28
0.19	0	48.8
0.2	208.08	56.63
0.21	204.15	59.56
0.22	202.52	60.76
0.23	206.15	63.26
0.24	204.3	69.28
0.25	200.39	74.17
0.26	197.75	76.31
0.27	196.49	77.01
0.28	197.95	77.71
0.29	200.49	78.73
0.3	202.46	79.93
0.31	203.95	81.02
0.32	205.68	81.77
0.33	207.96	82.36
0.34	210.19	83.19
0.35	211.6	83.99
0.36	211.74	84.01
0.37	210.73	83.4
0.38	209.39	82.38
0.39	208.72	80.92
0.4	208.25	79.29
0.41	207.22	77.32
0.42	206	75.51
0.43	206.11	74.79
0.44	208.13	74.78
0.45	210.84	75.52
0.46	213.93	77.16
0.47	217.03	78.96
0.48	218.03	78.93
0.49	218.21	77.89
0.5	218.98	78
0.51	220.06	78.69
0.52	221.09	79.6
0.53	222	79.89
0.54	223.15	79.52
0.55	225.71	78.63
0.56	230.81	77.13
0.57	236.28	75.26
0.58	237.74	72.93
0.59	234.68	70.34
0.6	228.66	67.79
0.61	221.4	64.67
0.62	211.11	61.53
0.63	204.22	59.34
0.64	203.03	58.76
0.65	205.49	59.56
0.66	208.05	61.44
0.67	216.32	64.61
0.68	220.55	67.54
0.69	222.31	69.9
0.7	225.02	72.2
0.71	224.77	74.25
0.72	218.18	75.18
0.73	206.96	75.02
0.74	196.63	74.22
0.75	191.07	73.08
0.76	189.64	71.24
0.77	189.02	67.82
0.78	0	63.43
0.79	0	60.95
0.8	0	59.49
0.81	0	58.89
0.82	0	61.1
0.83	0	62.71
0.84	0	61.16
0.85	0	55.27
0.86	0	53.44
0.87	210.63	58.12
0.88	206.88	62.23
0.89	205.15	64.25
0.9	205.46	64.69
0.91	204.01	64.65
0.92	203.9	65.71
0.93	201.67	70.3
0.94	199.96	74.23
0.95	199.44	75.83
0.96	197.43	76.46
0.97	194.57	76.85
0.98	193.91	77.18
0.99	196.05	77.69
1	198.96	78.26
1.01	203.3	78.73
1.02	208.35	79.25
1.03	211.64	79.68
1.04	213.23	79.85
1.05	214.6	80.05
1.06	216.29	80.33
1.07	218.83	80.58
1.08	221.04	80.08
1.09	222.12	76.86
1.1	227.7	73.54
1.11	233.63	76.3
1.12	236.61	78.14
1.13	238.09	78.41
1.14	238.62	78.22
1.15	238.57	78.05
1.16	238.16	77.97
1.17	237.21	77.9
1.18	235.58	77.63
1.19	234.15	77.15
1.2	236.07	76.48
1.21	240.6	75.51
1.22	241.7	73.49
1.23	236.36	69.88
1.24	0	65.79
1.25	0	64.53
1.26	0	64.7
1.27	0	64.16
1.28	0	65.16
1.29	0	65.99
1.3	0	66.76
1.31	0	65.43
1.32	0	59.28
1.33	0	45.93
1.34	0	28.32
1.35	0	24.34
1.36	0	24.84
1.37	0	28.03
1.38	0	45.61
1.39	0	67.38
1.4	179.21	78.09
1.41	177.85	82.57
1.42	174.38	83.58
1.43	173.17	83.64
1.44	173.56	83.51
1.45	174.24	83.2
1.46	175.56	82.88
1.47	176.48	82.43
1.48	176.98	81.48
1.49	177.56	79.26
1.5	177.58	74.78
1.51	0	66.5
1.52	0	54.91
1.53	0	51.13
1.54	0	50.79
1.55	0	50.31
1.56	0	49.67
1.57	0	49.18
1.58	0	48.77
1.59	0	55.37
1.6	0	69.77
1.61	181.06	77.6
1.62	181.28	79.7
1.63	182.32	79.32
1.64	184.87	78.97
1.65	188.27	79.08
1.66	191.41	79.44
1.67	193.88	79.76
1.68	194.08	79.95
1.69	188.96	80.21
1.7	181.75	81.1
1.71	176.35	81.88
1.72	172.92	81.93
1.73	170.22	81.66
1.74	166.68	81.45
1.75	162.58	81.11
1.76	157.56	80.05
1.77	155.17	78.73
1.78	154.17	78.03
1.79	152.78	77.51
1.8	150.57	76.25
1.81	150.37	74.08
1.82	142.05	71.85
1.83	0	69
1.84	0	69.25
1.85	0	71.03
1.86	0	67.66
1.87	0	64.22
1.88	0	60.02
1.89	0	53.87
1.9	0	44.62
1.91	0	35.91
1.92	0	30.19
1.93	0	23.11
1.94	0	34.68
1.95	0	54.15
1.96	0	61.68
1.97	0	61.93
1.98	0	59.52
1.99	0	57.96
2	0	57.05
2.01	0	57.8
2.02	0	56.31
2.03	0	54.01
2.04	0	53.47
2.05	0	52.53
2.06	0	50.16
2.07	0	48.63
2.08	0	48.12
2.09	0	47.13
2.1	0	45.04
2.11	0	42.96
2.12	0	41.56
2.13	0	39.59
2.14	0	37.02
2.15	0	35.05
2.16	0	35.02
2.17	0	33.89
2.18	0	31.69
2.19	0	32.92
2.2	0	0
2.21	0	0
2.22	0	0
?	?	?
