time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	22.84
0.04	0	23.12
0.05	0	23.5
0.06	0	24.53
0.07	0	27.79
0.08	0	31.52
0.09	0	33.98
0.1	0	35.05
0.11	0	34.58
0.12	0	31.15
0.13	0	43.09
0.14	0	55.08
0.15	0	64.3
0.16	0	74.15
0.17	188.08	79.66
0.18	186.49	81.98
0.19	187.09	83.35
0.2	187.29	83.89
0.21	187.39	83.65
0.22	188.44	82.89
0.23	190.2	82.04
0.24	191.42	81.1
0.25	192.86	79.61
0.26	194.92	77.76
0.27	196.53	75.86
0.28	196.76	74.21
0.29	195.25	72.85
0.3	191.68	71.42
0.31	183.89	69.3
0.32	0	65.25
0.33	0	61.26
0.34	0	58.2
0.35	0	49.74
0.36	0	33.04
0.37	0	24.5
0.38	0	23.89
0.39	0	23.78
0.4	0	26.53
0.41	0	29.85
0.42	0	31
0.43	0	41.47
0.44	0	47.86
0.45	0	48.6
0.46	0	51.59
0.47	0	54.32
0.48	0	55.92
0.49	193.02	56.78
0.5	194.7	57.56
0.51	200	61.67
0.52	196.48	67.52
0.53	194.94	70.07
0.54	194.39	70.78
0.55	193.81	71.21
0.56	192.92	71.46
0.57	192.28	71.54
0.58	191.85	71.61
0.59	191.34	71.6
0.6	190.8	71.49
0.61	190.41	71.39
0.62	190.12	71.33
0.63	189.66	71.23
0.64	190.01	71.31
0.65	190.18	71.5
0.66	190.33	71.5
0.67	190.01	71.52
0.68	189.09	71.22
0.69	188.65	70.71
0.7	188.96	70.24
0.71	189.82	69.82
0.72	190.22	69.32
0.73	190.56	68.42
0.74	190.76	66.94
0.75	190.05	64.97
0.76	187.82	62.83
0.77	187.68	60.26
0.78	0	58.66
0.79	0	59.46
0.8	0	57.28
0.81	0	50.7
0.82	0	43.24
0.83	0	34.58
0.84	0	26.26
0.85	0	27.37
0.86	0	29.88
0.87	0	33.67
0.88	0	40.42
0.89	0	45.29
0.9	0	50.62
0.91	0	62.17
0.92	0	68.5
0.93	147.78	70.44
0.94	147.54	68.86
0.95	146.77	63.04
0.96	0	51.75
0.97	0	38.23
0.98	0	30.43
0.99	0	36.95
1	0	47.12
1.01	0	54.95
1.02	0	61.29
1.03	0	66.97
1.04	0	69.72
1.05	0	69.21
1.06	0	65.82
1.07	0	60.76
1.08	0	56.18
1.09	0	56.49
1.1	0	66.8
1.11	171.37	73.03
1.12	168.76	76.17
1.13	165.32	77.64
1.14	161.47	77.58
1.15	160.15	76.98
1.16	159.86	76.24
1.17	158.94	74.53
1.18	156.34	70.73
1.19	0	66.01
1.2	0	62.61
1.21	0	54.09
1.22	0	36.07
1.23	0	24.91
1.24	0	26.55
1.25	0	25.91
1.26	0	24.37
1.27	0	28.64
1.28	0	31.98
1.29	0	28.88
1.3	0	23.79
1.31	0	23.5
1.32	0	24.35
1.33	0	24.55
1.34	0	24.05
1.35	0	31.66
1.36	0	48.49
1.37	0	56.99
1.38	0	58.14
1.39	0	56.81
1.4	0	56.78
1.41	0	56.78
1.42	0	55.47
1.43	0	52.74
1.44	0	50.7
1.45	0	57.93
1.46	0	62.2
1.47	0	62.72
1.48	127.29	62.67
1.49	133.55	61.95
1.5	137.62	60.66
1.51	141.05	59.7
1.52	140.97	59.18
1.53	138.36	58.32
1.54	0	57.02
1.55	0	55.81
1.56	0	54.88
1.57	0	54.79
1.58	0	54.47
1.59	0	52.68
1.6	0	50.69
1.61	0	48.43
1.62	0	46
1.63	0	43.6
1.64	0	40
1.65	0	37.3
1.66	0	36.05
1.67	0	35.08
1.68	0	34.7
1.69	0	34.14
1.7	0	33.6
1.71	0	33.86
1.72	0	33.63
1.73	0	0
1.74	0	0
1.75	0	0
