time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	22.65
0.05	0	22.68
0.06	0	23.54
0.07	0	24.59
0.08	0	25.36
0.09	0	25.33
0.1	0	25.12
0.11	0	26.75
0.12	0	41.06
0.13	0	57.15
0.14	0	68.9
0.15	211.08	75.05
0.16	219.91	77.18
0.17	228.56	77.67
0.18	229.9	76.87
0.19	235.49	75.6
0.2	238.89	77.82
0.21	237.57	80.48
0.22	236.86	81.25
0.23	237.59	80.82
0.24	240.04	78.39
0.25	243.83	72.14
0.26	243.1	64.96
0.27	239.01	62.12
0.28	238.14	64.31
0.29	252.27	73.06
0.3	266.4	80.17
0.31	268.15	83.43
0.32	265.02	83.74
0.33	263.5	82.46
0.34	259.02	78.67
0.35	258.7	76.53
0.36	262.34	80.65
0.37	262.19	82.48
0.38	260.2	81.32
0.39	256.82	78.13
0.4	250.39	73.81
0.41	239.69	67.41
0.42	0	58.29
0.43	0	49.57
0.44	0	42.91
0.45	0	32.65
0.46	0	51.71
0.47	0	65.85
0.48	0	72.1
0.49	0	72.75
0.5	0	69.49
0.51	0	65.71
0.52	0	63.32
0.53	0	60.95
0.54	0	64.23
0.55	281.6	75.13
0.56	267.31	80.9
0.57	247.4	82.74
0.58	237.21	82.98
0.59	233.72	83.26
0.6	233.89	83.5
0.61	235.28	83.53
0.62	236.26	83.71
0.63	237.51	83.83
0.64	238.68	83.63
0.65	239.2	83.32
0.66	239.85	83.09
0.67	241.37	82.76
0.68	243.08	82.07
0.69	244.76	81.48
0.7	246.06	81.18
0.71	246.75	80.62
0.72	247.28	79.87
0.73	247.45	79.42
0.74	247.45	79.21
0.75	247.84	78.91
0.76	248.76	78.05
0.77	249.13	76.12
0.78	247.64	72.98
0.79	248.07	70.22
0.8	250.78	70.84
0.81	250.76	73.17
0.82	248.97	75.34
0.83	247.7	76.84
0.84	246.41	77.56
0.85	245.22	77.65
0.86	244.63	77.23
0.87	244.49	76.3
0.88	247.49	75.72
0.89	249.4	76.95
0.9	248.53	77.93
0.91	247.76	77.89
0.92	249.02	77.7
0.93	252.4	77.38
0.94	255	76.71
0.95	255.78	75.62
0.96	254.23	73.52
0.97	0	69.05
0.98	0	60.93
0.99	0	55.85
1	0	56.69
1.01	0	54.88
1.02	0	53.2
1.03	0	55.03
1.04	0	64.61
1.05	0	74.56
1.06	261.36	78.67
1.07	258.35	78.85
1.08	255.09	77.83
1.09	253.64	77.07
1.1	252.88	76.11
1.11	251.79	73.94
1.12	253.27	70.15
1.13	254.65	67.9
1.14	253.87	67.65
1.15	252.84	67.5
1.16	251.55	68.24
1.17	251.41	72.59
1.18	247.69	76.16
1.19	239.42	76.81
1.2	228.15	76.27
1.21	209.12	74.97
1.22	0	72.69
1.23	0	70.05
1.24	0	66.06
1.25	0	57.95
1.26	0	57.55
1.27	0	59.3
1.28	0	61.42
1.29	0	63.16
1.3	200.48	64.05
1.31	203.15	64.89
1.32	206.91	66.14
1.33	208.69	71.53
1.34	212.15	78.44
1.35	213.38	82.33
1.36	212.67	83.05
1.37	213.47	82.64
1.38	214.5	82.5
1.39	215.01	82.44
1.4	215.47	82.1
1.41	217.11	81.86
1.42	219.07	81.59
1.43	220.48	81.04
1.44	218.94	80
1.45	207.02	77.55
1.46	0	72.12
1.47	0	61.65
1.48	0	53.51
1.49	0	59.01
1.5	0	63.74
1.51	0	65.07
1.52	0	64.68
1.53	0	64.68
1.54	0	65.47
1.55	0	66.3
1.56	0	66.25
1.57	0	65.88
1.58	229.57	68.07
1.59	232.48	74.04
1.6	233.28	78.38
1.61	229.22	80.45
1.62	224.46	81.09
1.63	221.51	81.28
1.64	220.42	81.44
1.65	220.48	81.34
1.66	220.97	80.98
1.67	221.54	80.53
1.68	221.14	79.97
1.69	220.26	78.96
1.7	217.22	76.8
1.71	217.22	74.65
1.72	216.37	75.94
1.73	211.62	77.49
1.74	206.91	78.08
1.75	202.65	78.06
1.76	198.9	77.66
1.77	195.74	77.03
1.78	193.12	76.22
