time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	31.99
0.04	0	32.49
0.05	0	33.75
0.06	0	33.74
0.07	0	32.09
0.08	0	30.76
0.09	0	31.47
0.1	0	32.51
0.11	0	33.74
0.12	0	46.55
0.13	0	57.95
0.14	0	64.59
0.15	0	67.63
0.16	0	72.99
0.17	0	79.87
0.18	220.28	82.29
0.19	215.37	82.13
0.2	213.46	81.75
0.21	213.89	82.08
0.22	215.6	82.47
0.23	219.05	82.73
0.24	223.05	83.38
0.25	225.85	83.79
0.26	229.29	84.11
0.27	233.34	84.65
0.28	236.73	85.08
0.29	240.79	85.49
0.3	245.14	85.81
0.31	249.65	85.86
0.32	254	85.53
0.33	258.13	84.85
0.34	262.06	84.1
0.35	264.82	83.53
0.36	266.46	83.01
0.37	266.84	82.35
0.38	260.13	81.35
0.39	251.51	80.48
0.4	0	79.91
0.41	0	79.02
0.42	0	73.78
0.43	0	62.54
0.44	0	69.92
0.45	0	76.95
0.46	0	78.55
0.47	230.85	78.64
0.48	221.57	79.25
0.49	212.77	79.55
0.5	206.53	79.69
0.51	203.27	80.14
0.52	201.39	80.53
0.53	199.9	80.6
0.54	198.57	80.32
0.55	196.7	79.54
0.56	194.66	78.29
0.57	192.3	76.53
0.58	189.97	73.8
0.59	187.96	69.91
0.6	186.02	65.86
0.61	184.23	62.05
0.62	182.6	58.01
0.63	0	52.36
0.64	0	47.1
0.65	0	50.27
0.66	0	60.62
0.67	209.62	69.29
0.68	211.82	74.66
0.69	208.2	77.15
0.7	205.79	77.95
0.71	204.97	78.78
0.72	204.83	79.25
0.73	204.92	79.15
0.74	205.18	78.77
0.75	206.41	78.48
0.76	207.89	78.46
0.77	209.9	78.53
0.78	212.07	78.71
0.79	213.86	78.9
0.8	215.34	79.21
0.81	215.58	79.18
0.82	215.5	78.92
0.83	215.62	78.7
0.84	215.17	78.27
0.85	214.26	77.5
0.86	213.39	76.09
0.87	212.81	73.92
0.88	212.69	71.71
0.89	211.97	70.18
0.9	210.62	69.34
0.91	209.37	68.95
0.92	207.45	68.81
0.93	205.24	69.14
0.94	204.16	70.35
0.95	203.87	72.33
0.96	202.45	74.38
0.97	201.01	75.92
0.98	199.69	77.01
0.99	198.4	78.1
1	197.51	79.14
1.01	196.49	79.77
1.02	195.69	79.82
1.03	195.02	79.34
1.04	195.21	79
1.05	194.71	78.98
1.06	191.88	78.71
1.07	182.17	77.73
1.08	172.4	76.46
1.09	0	73.71
1.1	0	67.84
1.11	0	60.38
1.12	0	53.24
1.13	0	55.75
1.14	0	57.13
1.15	0	59.19
1.16	208.61	61.3
1.17	212.44	62.36
1.18	213.9	62.96
1.19	214.54	63.24
1.2	214.95	63.26
1.21	215.35	63.2
1.22	216.13	63.16
1.23	216.63	63.17
1.24	216.53	63.11
1.25	215.76	62.83
1.26	214.33	62.4
1.27	209.92	61.75
1.28	197.35	61.09
1.29	186.17	62.56
1.3	0	61.36
1.31	0	54.14
1.32	0	57.95
1.33	0	62.3
1.34	0	64.26
1.35	0	67.96
1.36	0	68.59
1.37	0	68.98
1.38	213.88	70.26
1.39	207.63	70.83
1.4	202.04	71.09
1.41	198.34	71.26
1.42	196.38	71.66
1.43	195.92	72.26
1.44	195.97	72.87
1.45	195.83	72.9
1.46	195.72	72.23
1.47	191.85	69.56
1.48	188.84	63.79
1.49	191.21	60.44
1.5	191.21	59.79
1.51	0	59.82
1.52	0	65.57
1.53	0	71.53
1.54	198.16	75.26
1.55	195.52	77.12
1.56	192.4	77.57
1.57	190.69	77.67
1.58	188.75	77.44
1.59	187	77.12
1.6	185	76.85
1.61	182.76	76.63
1.62	181.14	76.57
1.63	180.62	76.62
1.64	180.41	76.71
1.65	179.47	76.87
1.66	174.91	76.83
1.67	169.3	76.79
1.68	0	77.2
1.69	0	75.4
1.7	0	75.13
1.71	0	76.57
1.72	0	75.87
1.73	0	76.63
1.74	0	76.83
1.75	191.84	76.14
1.76	191.95	75.56
1.77	190.82	75.41
1.78	190.65	75.63
