time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.05
0.04	0	31.99
0.05	0	30.07
0.06	0	29.13
0.07	0	28.18
0.08	0	28.56
0.09	0	29.96
0.1	0	29.97
0.11	0	28.8
0.12	0	29.08
0.13	0	33.86
0.14	0	35.4
0.15	0	31.22
0.16	0	29.18
0.17	0	37.19
0.18	0	54.57
0.19	214.17	63.41
0.2	210.98	66.65
0.21	205.59	68.02
0.22	201.74	69.39
0.23	200.94	71.21
0.24	205.38	74.61
0.25	215.02	79.73
0.26	222.14	83.65
0.27	223.1	84.39
0.28	221.1	83.12
0.29	221.02	82.94
0.3	223.91	84.06
0.31	228.46	84.92
0.32	232.89	85.36
0.33	236.38	85.46
0.34	239.47	85.38
0.35	242.21	85.29
0.36	244.3	85.29
0.37	245.08	85.43
0.38	244.53	85.47
0.39	242.89	85.17
0.4	236.95	84.65
0.41	226.61	84.32
0.42	215.69	84.42
0.43	207.06	84.73
0.44	200.43	84.93
0.45	195.67	84.69
0.46	192.23	83.76
0.47	189.8	82.32
0.48	188.16	80.67
0.49	186.94	78.52
0.5	188.5	76.56
0.51	193.03	75.68
0.52	197.59	74.88
0.53	201.54	73.48
0.54	204.39	71.52
0.55	205.54	68.94
0.56	205.77	65.93
0.57	204.77	63.42
0.58	203.71	61.85
0.59	203.84	60.82
0.6	201.98	59.89
0.61	199.56	59.98
0.62	198.05	60.38
0.63	197.07	61.09
0.64	194.83	62.17
0.65	191.37	63.56
0.66	190.92	66.03
0.67	191.4	71.25
0.68	191.49	75.95
0.69	193.1	78.24
0.7	195.77	79.3
0.71	198.58	79.82
0.72	201.56	80.16
0.73	204.09	80.57
0.74	206.16	80.97
0.75	207.89	81.06
0.76	209.69	80.88
0.77	211.34	80.68
0.78	213.23	80.39
0.79	214.89	80.13
0.8	215.59	79.85
0.81	215.46	79.36
0.82	214.7	78.42
0.83	214.48	76.45
0.84	214.83	73.98
0.85	215	72.26
0.86	214.67	70.72
0.87	213.43	69.56
0.88	212.42	69.99
0.89	212.94	71.89
0.9	212.02	73.01
0.91	208.81	73.11
0.92	205.7	73.3
0.93	203.39	73.66
0.94	200.89	73.73
0.95	198.49	73.67
0.96	197.08	73.44
0.97	198.06	72.43
0.98	201.21	69.59
0.99	204.34	65.25
1	205.06	62.44
1.01	200.09	60.77
1.02	201.73	61.11
1.03	207.43	63.5
1.04	217.19	66.92
1.05	217.27	71.05
1.06	207.63	75.01
1.07	196.72	77
1.08	190.11	77.47
1.09	187.43	77.68
1.1	186.63	77.9
1.11	187.16	78.06
1.12	187.55	78.01
1.13	187.19	78.1
1.14	186.19	78.31
1.15	185.69	78.45
1.16	185.43	78.02
1.17	184.08	75.86
1.18	177.74	70.2
1.19	0	61.07
1.2	0	54.61
1.21	0	53.59
1.22	0	55.61
1.23	0	57.49
1.24	0	55.17
1.25	0	45.52
1.26	0	31.94
1.27	0	28.22
1.28	0	41.99
1.29	0	60.77
1.3	0	68.88
1.31	0	70.8
1.32	0	71.04
1.33	0	70.67
1.34	0	68.58
1.35	0	65.78
1.36	327.24	64.28
1.37	305.27	68.1
1.38	279.14	70.29
1.39	270.99	70.2
1.4	270.51	70.33
1.41	270.63	70.73
1.42	270.71	71.23
1.43	270.26	71.52
1.44	268.71	70.91
1.45	259.92	67.87
1.46	243.36	63.31
1.47	232.74	61.34
1.48	0	60.03
1.49	0	58.87
1.5	0	57.64
1.51	0	57.16
1.52	217.45	67.08
1.53	211.82	76.77
1.54	202.33	80.63
1.55	192.77	80.34
1.56	180.91	79
1.57	170	78.68
1.58	164.06	77.81
1.59	159.16	74.86
1.6	152.09	69.51
1.61	0	61.34
1.62	0	54.75
1.63	0	52.77
1.64	0	51.44
1.65	0	52.21
1.66	0	58.37
1.67	0	60.78
1.68	0	62.55
1.69	0	65.12
1.7	0	66.38
1.71	0	66.17
1.72	0	65.76
1.73	0	64.46
1.74	0	62.67
1.75	0	61.74
1.76	0	60.69
1.77	0	60.21
1.78	0	66.83
1.79	191.61	73.82
1.8	188.87	76.23
1.81	184.52	76.19
1.82	179.83	75.41
1.83	175.45	74.53
1.84	171.36	73.87
1.85	167.38	73.65
1.86	164.58	74.06
1.87	163.21	75.14
1.88	163.31	76.25
1.89	164.77	76.99
1.9	165.85	77.45
1.91	165.82	77.74
1.92	164.81	77.69
1.93	162.62	76.94
1.94	160.18	74.53
1.95	0	68.18
1.96	0	60.38
1.97	0	62.37
1.98	158.3	69.19
1.99	160.04	72.85
2	156.07	73.32
2.01	150.98	72.68
2.02	148.84	71.85
2.03	147.81	71.04
2.04	145.73	70.24
2.05	143.74	69.41
2.06	143.63	68.57
2.07	146.52	67.78
2.08	150.83	67.04
2.09	154.12	66.07
2.1	155.2	64.19
2.11	0	62.33
2.12	0	64.92
2.13	0	68.9
2.14	0	70.79
2.15	0	72.19
2.16	0	74.89
2.17	0	76.51
2.18	0	77.82
2.19	0	76.66
2.2	0	72.74
2.21	0	67.37
2.22	0	59.97
2.23	0	53.49
2.24	0	49.22
2.25	0	44.99
2.26	0	43.89
2.27	0	43.9
2.28	0	43.01
2.29	0	41.86
2.3	0	39.87
2.31	0	37.76
2.32	0	37.39
2.33	0	37.58
2.34	0	37.09
2.35	0	0
2.36	0	0
?	?	?
