time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	29.28
0.05	0	28.47
0.06	0	28.42
0.07	0	28.33
0.08	0	28.16
0.09	0	27.81
0.1	0	26.78
0.11	0	26.52
0.12	0	27.74
0.13	0	31.94
0.14	0	35.66
0.15	0	33.75
0.16	0	28.49
0.17	0	28.61
0.18	0	30.83
0.19	0	33.47
0.2	0	44.87
0.21	0	56.87
0.22	0	63.18
0.23	0	66.36
0.24	199.97	69.83
0.25	203.76	73.2
0.26	205.94	75.77
0.27	207.83	77.85
0.28	210.7	79.35
0.29	214.27	80.14
0.3	219.07	80.21
0.31	222.42	79.88
0.32	225.37	79.47
0.33	227.2	79.11
0.34	228.4	78.33
0.35	229.03	76.17
0.36	227.3	72.21
0.37	224.59	67.97
0.38	221.69	64.65
0.39	219.67	62.56
0.4	217.57	61.42
0.41	215.69	60.16
0.42	0	58.08
0.43	0	55.6
0.44	0	53.36
0.45	0	51.4
0.46	0	57.32
0.47	0	67.26
0.48	0	74.41
0.49	225.12	80.96
0.5	221.41	83.56
0.51	214.79	84.55
0.52	211.48	85.65
0.53	209.3	85.21
0.54	207.55	83.4
0.55	206.23	81.57
0.56	205.06	79.93
0.57	204.1	76.58
0.58	205.67	71.59
0.59	205.55	69.41
0.6	203.84	70.57
0.61	202.14	74.05
0.62	202.36	77.21
0.63	201.43	78.46
0.64	199.7	78.62
0.65	198.84	78.79
0.66	198.15	78.98
0.67	196.89	79.23
0.68	194.93	79.43
0.69	193.72	79.5
0.7	194.25	79.47
0.71	195.54	79.06
0.72	198.15	77.9
0.73	201.62	75.73
0.74	204.14	71.7
0.75	201.05	64.15
0.76	0	53.63
0.77	0	43.43
0.78	0	35.12
0.79	0	31.69
0.8	0	29.7
0.81	0	29.27
0.82	0	47.1
0.83	0	59.7
0.84	0	63.22
0.85	0	60.7
0.86	0	60.53
0.87	0	64.91
0.88	0	74.22
0.89	216.31	80.02
0.9	208.62	81.79
0.91	202.28	82.22
0.92	197.9	82.4
0.93	193.6	82.37
0.94	189.46	82.33
0.95	185.92	82.23
0.96	182.6	81.94
0.97	180.63	81.65
0.98	179.17	81.37
0.99	177.89	81.03
1	177.11	80.52
1.01	176.03	80.05
1.02	174.85	79.71
1.03	173.97	79.31
1.04	172.15	78.61
1.05	168.23	77.11
1.06	0	75.77
1.07	0	74.98
1.08	0	71.13
1.09	0	66.53
1.1	0	61.33
1.11	0	54.27
1.12	0	48.93
1.13	0	38.08
1.14	0	30.36
1.15	0	28.39
1.16	0	27.5
1.17	0	27.02
1.18	0	31.21
1.19	0	50.93
1.2	0	62.31
1.21	0	66.56
1.22	0	65.79
1.23	0	62.76
1.24	0	59.89
1.25	0	57.78
1.26	0	56.13
1.27	0	53.67
1.28	0	51.59
1.29	0	50.84
1.3	0	49.85
1.31	0	48.07
1.32	0	46.59
1.33	0	45.46
1.34	0	44.46
1.35	0	42.77
1.36	0	41.2
1.37	0	39.67
1.38	0	38.22
1.39	0	36.42
1.4	0	34.21
1.41	0	32.52
1.42	0	31.51
1.43	0	0
1.44	0	0
1.45	0	0
