time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.37
0.04	0	26.13
0.05	0	25.58
0.06	0	25.74
0.07	0	25.14
0.08	0	25.25
0.09	0	24.97
0.1	0	24.31
0.11	0	24.94
0.12	0	26.62
0.13	0	34.59
0.14	0	48.92
0.15	0	60.1
0.16	0	64.7
0.17	171.26	66.29
0.18	169.73	65.34
0.19	168.75	60.9
0.2	0	51.6
0.21	0	41.84
0.22	0	41.32
0.23	0	56.08
0.24	0	65.88
0.25	0	67.37
0.26	188.36	69.82
0.27	188.27	75.98
0.28	187.57	79.29
0.29	187.2	81.64
0.3	187.52	83.88
0.31	188.08	84.9
0.32	189.97	85.11
0.33	192.68	85.07
0.34	195.37	84.29
0.35	198.55	82.88
0.36	203.22	81.3
0.37	208	78.91
0.38	211.28	74.85
0.39	213.6	67.69
0.4	0	55.78
0.41	0	45.24
0.42	0	44.6
0.43	0	46.26
0.44	0	47.24
0.45	0	55.73
0.46	247.58	65.97
0.47	240.93	69.99
0.48	233.96	69.95
0.49	229.8	68.13
0.5	226.62	65.48
0.51	225.68	63.84
0.52	225.25	63.64
0.53	224.06	63.12
0.54	221.54	61.99
0.55	216.82	60.03
0.56	0	56.53
0.57	0	51.03
0.58	0	44.19
0.59	0	42.47
0.6	0	48.62
0.61	0	50.58
0.62	0	49.15
0.63	0	54.41
0.64	0	67.04
0.65	211.49	74.93
0.66	207.28	78.13
0.67	201.28	78.94
0.68	196.93	79.27
0.69	195.22	79.7
0.7	194.6	79.95
0.71	194.99	79.92
0.72	194.86	79.84
0.73	193.8	79.69
0.74	192.63	79.46
0.75	191.82	78.98
0.76	191.38	77.82
0.77	191.12	75.83
0.78	189.47	72.51
0.79	185.23	66.06
0.8	0	57.06
0.81	0	52.59
0.82	183.8	58.95
0.83	185.93	66.87
0.84	186.96	70.63
0.85	187.68	71.46
0.86	187.84	70.95
0.87	187.45	69.89
0.88	186.8	68.34
0.89	185.91	66.34
0.9	186.3	65.12
0.91	187.33	65.09
0.92	189.46	65.44
0.93	191.93	65.58
0.94	193.45	64.65
0.95	192.4	62.55
0.96	0	61.69
0.97	0	63.27
0.98	0	64.78
0.99	0	65.52
1	0	64.75
1.01	0	62.11
1.02	0	59.41
1.03	0	56.34
1.04	0	55.68
1.05	0	56.98
1.06	0	55.6
1.07	0	52.71
1.08	0	51.85
1.09	0	52.25
1.1	0	54
1.11	173.9	57.01
1.12	176.51	60.44
1.13	179.71	63.64
1.14	183.55	66.41
1.15	185.11	68.32
1.16	184.89	69.26
1.17	184.88	69.87
1.18	184.86	70.56
1.19	185.2	71.37
1.2	185.69	72.17
1.21	186.19	72.65
1.22	186.51	72.61
1.23	187.23	71.82
1.24	188.42	70.42
1.25	190.55	69.37
1.26	192.74	69.27
1.27	194.51	69.59
1.28	195.07	69.05
1.29	193.99	65.61
1.3	0	57.8
1.31	0	48.92
1.32	0	49.85
1.33	0	54.41
1.34	0	57.3
1.35	182.89	61.53
1.36	179.94	64.13
1.37	174.85	64.67
1.38	171.67	63.77
1.39	169.15	61.52
1.4	0	57.92
1.41	0	56.13
1.42	0	56.13
1.43	0	56.24
1.44	0	56.01
1.45	0	55.7
1.46	0	55.99
1.47	0	55.88
1.48	0	54.8
1.49	0	54.27
1.5	191.56	56.32
1.51	196.52	59.52
1.52	199.3	62.22
1.53	198.93	63.88
1.54	197.41	64.42
1.55	196.34	63.8
1.56	194.07	61.47
1.57	0	59.53
1.58	0	63.33
1.59	0	66.34
1.6	0	66.77
1.61	0	67.88
1.62	0	69.05
1.63	0	68.79
1.64	0	65.17
1.65	0	56.16
1.66	0	46.32
1.67	0	42.8
1.68	0	45.5
1.69	0	50.36
1.7	0	57.48
1.71	0	67.59
1.72	188	71.9
1.73	185.62	72.89
1.74	182.62	73.36
1.75	180.7	73.24
1.76	178.73	72.6
1.77	177.52	71.9
1.78	177.26	71.09
1.79	176.39	70.38
1.8	174.67	69.93
1.81	173.16	69.42
1.82	172.28	68.85
1.83	171.49	67.93
1.84	169.88	66.29
1.85	166.13	63.44
1.86	159.96	59.56
1.87	154.52	56.91
1.88	150.15	56.62
1.89	149.66	58.32
1.9	150.58	60.92
1.91	151.57	63.05
1.92	152.03	64.2
1.93	152.76	64.54
1.94	154.15	64.51
1.95	154.89	64.07
1.96	156.34	63.01
1.97	156.58	61.81
1.98	157.93	60.55
1.99	159.7	58.5
2	161.17	55.45
2.01	0	52.42
2.02	0	50.2
2.03	0	48.42
2.04	0	47.11
2.05	0	45.61
2.06	0	43.33
2.07	0	41.91
2.08	0	41.33
2.09	0	40.23
2.1	0	39.78
2.11	0	40.31
2.12	0	39.71
2.13	0	38.89
2.14	0	0
2.15	0	0
2.16	0	0
