time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.05
0.04	0	28.35
0.05	0	33.36
0.06	0	37.98
0.07	0	35.9
0.08	0	28.98
0.09	0	27.01
0.1	0	27.32
0.11	0	27.59
0.12	0	43.05
0.13	0	59.29
0.14	0	67.08
0.15	0	67.76
0.16	0	64.09
0.17	0	63.68
0.18	0	66.15
0.19	0	73.79
0.2	234.22	80.26
0.21	228.6	83.63
0.22	224.14	84.52
0.23	221.83	84.24
0.24	220.29	83.8
0.25	220.74	83.58
0.26	219.2	83.42
0.27	219.8	83.18
0.28	220.14	83.22
0.29	219.73	83.11
0.3	220.96	82.57
0.31	224.05	81.39
0.32	227.69	79.17
0.33	226.94	75.04
0.34	226.3	68.81
0.35	0	66.75
0.36	0	69.46
0.37	0	70.62
0.38	0	69.85
0.39	0	68.3
0.4	0	68.15
0.41	0	69.64
0.42	0	71.2
0.43	0	70.02
0.44	0	70.8
0.45	237.85	76.25
0.46	232.07	79.03
0.47	227.1	79.46
0.48	224.85	78.36
0.49	224.43	74.93
0.5	0	67.06
0.51	0	56.22
0.52	0	52.52
0.53	0	51.96
0.54	0	52.14
0.55	0	58.91
0.56	0	70.05
0.57	221.14	76.71
0.58	214.6	79.32
0.59	212.77	81.19
0.6	211.71	82.16
0.61	210.04	81.71
0.62	209.07	81.56
0.63	208.6	81.54
0.64	209.29	81.52
0.65	209.99	81.74
0.66	209.61	81.92
0.67	209.33	82
0.68	210.41	81.86
0.69	210.29	81.6
0.7	209.74	81.29
0.71	210.06	81.07
0.72	209.77	81.06
0.73	209.75	80.82
0.74	210.63	80.67
0.75	210.25	80.75
0.76	210.88	80.61
0.77	212.12	80.42
0.78	210.9	80.16
0.79	209.92	79.98
0.8	209.15	79.9
0.81	208.59	79.75
0.82	205.99	79.62
0.83	203.87	79.26
0.84	201.73	78.54
0.85	200.38	77.64
0.86	197.91	76.45
0.87	198.47	75.14
0.88	197.69	73.67
0.89	195.55	71.14
0.9	194.74	67.08
0.91	195.1	63.64
0.92	196.06	63.19
0.93	197.65	63.51
0.94	197.39	63.66
0.95	198.06	63.62
0.96	199.77	63.32
0.97	201.57	61.37
0.98	0	56.28
0.99	0	59.24
1	0	65.86
1.01	0	65.88
1.02	0	61.27
1.03	0	55.89
1.04	0	53.3
1.05	0	63.64
1.06	212.44	71.95
1.07	206.3	75.9
1.08	200.58	77.81
1.09	197.36	78.8
1.1	195.58	79.2
1.11	194.78	78.99
1.12	193.78	78.24
1.13	195.63	77.9
1.14	195.68	78.11
1.15	195.27	78.13
1.16	193.73	77.76
1.17	193.55	77.21
1.18	191.76	77.67
1.19	191.36	79.44
1.2	189.44	80.03
1.21	187.78	78.87
1.22	184.6	75.9
1.23	0	69.91
1.24	0	60.42
1.25	0	55
1.26	0	57.2
1.27	0	62.05
1.28	185.6	66.75
1.29	188.89	71.23
1.3	189.99	74.55
1.31	188.71	76.12
1.32	189.76	76.37
1.33	190.91	76.18
1.34	191.15	75.74
1.35	191.45	75.15
1.36	192.89	74.65
1.37	193.08	74.18
1.38	194.32	73.58
1.39	194.84	72.74
1.4	195.42	71.85
1.41	196.27	71.5
1.42	199.69	71.98
1.43	201.71	71.62
1.44	199.98	70.1
1.45	0	72.27
1.46	0	75.21
1.47	0	75.45
1.48	0	74.4
1.49	0	72.93
1.5	0	73.07
1.51	0	73.57
1.52	0	72.39
1.53	0	70.87
1.54	0	67.54
1.55	0	65.96
1.56	0	69.04
1.57	0	67.58
1.58	0	60.07
1.59	0	49.98
1.6	0	41.25
1.61	0	30.93
1.62	0	27.76
1.63	0	30.98
1.64	0	49.39
1.65	0	62.49
1.66	0	67.14
1.67	0	65.49
1.68	230.33	69.53
1.69	210.08	74.12
1.7	198.7	75.23
1.71	194.43	75.11
1.72	191.24	74.58
1.73	190.71	74.21
1.74	190.64	74.09
1.75	189.82	73.8
1.76	190.77	73.58
1.77	190.19	73.32
1.78	189.53	72.86
1.79	189.32	72.24
1.8	189.36	71.55
1.81	189.43	71.02
1.82	189.82	70.75
1.83	188.68	70.59
1.84	188.58	70.56
1.85	188.7	70.7
1.86	188.46	70.97
1.87	187.92	71.1
1.88	187.28	70.92
1.89	187.51	70.56
1.9	186.91	70
1.91	187.55	69.21
1.92	188.07	68.28
1.93	188.55	67.25
1.94	189.34	66.33
1.95	191.85	65.73
1.96	195.83	64.99
1.97	199.25	63.64
1.98	204.41	61.51
1.99	201.58	59.53
2	0	60.79
2.01	0	62.55
2.02	0	64.09
2.03	0	66.74
2.04	0	68.2
2.05	0	67.74
2.06	0	65.47
2.07	0	64.22
2.08	0	64.54
2.09	0	64.79
2.1	0	65.17
2.11	0	62.79
2.12	0	58.42
2.13	0	53.37
2.14	0	46.45
2.15	0	40.48
2.16	0	38.47
2.17	0	35.92
2.18	0	33.38
2.19	0	32.1
2.2	0	35.49
2.21	0	37.01
2.22	0	33.62
2.23	0	31.41
2.24	0	0
2.25	0	0
2.26	0	0
?	?	?
