time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.12
0.04	0	29.04
0.05	0	28.7
0.06	0	26.12
0.07	0	25.42
0.08	0	26.66
0.09	0	28.41
0.1	0	30.58
0.11	0	31.18
0.12	0	35.74
0.13	0	50.7
0.14	238.68	59.8
0.15	240.65	62.95
0.16	248.78	64.98
0.17	227.8	66.9
0.18	217.71	68.77
0.19	218.09	70.72
0.2	219.38	72.12
0.21	220.3	72.93
0.22	222.04	72.95
0.23	221.01	71.24
0.24	214.8	65.85
0.25	0	56.23
0.26	0	50.22
0.27	0	57.93
0.28	207.08	67.83
0.29	208.51	74.7
0.3	211.95	77.89
0.31	213.99	78.95
0.32	212.95	79.2
0.33	210.63	79.25
0.34	208.68	78.98
0.35	206.87	78.06
0.36	206.49	76.33
0.37	207.23	72.22
0.38	0	63.62
0.39	0	54.45
0.4	0	50.54
0.41	0	47.08
0.42	0	43.32
0.43	0	46.91
0.44	0	61.12
0.45	0	72.95
0.46	200.55	80.63
0.47	202.51	83.83
0.48	202.72	83.96
0.49	200.06	82.93
0.5	198.5	82.73
0.51	198.85	83.2
0.52	199.48	83.49
0.53	200.87	83.35
0.54	202.01	82.94
0.55	203.7	82.14
0.56	204.97	80.78
0.57	204.53	77.13
0.58	199.55	70.88
0.59	202.13	72.55
0.6	207.92	76.12
0.61	213.86	77.15
0.62	216.12	77.5
0.63	217	77.61
0.64	217.62	77.76
0.65	216.99	77.74
0.66	216.94	77.06
0.67	216.42	76.14
0.68	215.33	75.3
0.69	213.43	74.4
0.7	211.89	72.85
0.71	209.88	69.91
0.72	208.05	67.73
0.73	206.37	67.31
0.74	204.02	67.11
0.75	202.19	66.88
0.76	200.22	68.77
0.77	197.97	73.27
0.78	197.04	75.82
0.79	195.12	76.55
0.8	192.01	76.82
0.81	189.59	76.87
0.82	188.21	76.87
0.83	187.02	77.05
0.84	186.21	77.13
0.85	184.69	77.1
0.86	184.56	77.37
0.87	183.73	77.85
0.88	182.97	77.54
0.89	183.14	76.63
0.9	182.62	75.66
0.91	181.67	73.78
0.92	180.29	70.68
0.93	179.31	66.45
0.94	179.27	61.66
0.95	177.96	58.19
0.96	176.58	57.38
0.97	176.11	59.51
0.98	177.82	62.94
0.99	181.27	66.58
1	185.89	70.26
1.01	189.36	72.85
1.02	190.35	73.54
1.03	190.49	73.97
1.04	191.13	75.15
1.05	190.83	75.49
1.06	189.92	75.11
1.07	189.68	75.26
1.08	189.38	75.72
1.09	186.83	75.98
1.1	184.41	76.2
1.11	181.83	76.09
1.12	178.27	75.88
1.13	175.41	75.72
1.14	172.96	75.17
1.15	171.13	74.35
1.16	169.17	73.59
1.17	167	72.73
1.18	165.18	71.53
1.19	163.65	70.23
1.2	161.27	68.97
1.21	160.63	67.65
1.22	162.57	66.65
1.23	171.81	65.37
1.24	173.86	61.47
1.25	0	57.49
1.26	0	60.11
1.27	0	61.9
1.28	0	62.67
1.29	0	63.75
1.3	0	63.72
1.31	0	64.01
1.32	0	64.13
1.33	0	63.29
1.34	0	63.09
1.35	0	64.3
1.36	0	63.82
1.37	0	64.22
1.38	0	65.06
1.39	0	64.76
1.4	0	64.02
1.41	0	63.36
1.42	0	62.16
1.43	0	61.33
1.44	0	62.52
1.45	0	63.6
1.46	0	62.33
1.47	0	59.97
1.48	0	57.08
1.49	0	53.94
1.5	0	50.17
1.51	0	47
1.52	0	46.26
1.53	0	46.7
1.54	0	47.72
1.55	0	47.2
1.56	0	43.87
1.57	0	40.3
1.58	0	37.18
1.59	0	36.25
1.6	0	36.15
1.61	0	35.5
1.62	0	35.29
1.63	0	35.67
1.64	0	35.92
1.65	0	36.04
1.66	0	0
1.67	0	0
1.68	0	0
