time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.55
0.04	0	27.77
0.05	0	28.37
0.06	0	29.67
0.07	0	29.62
0.08	0	28.73
0.09	0	29.07
0.1	0	29.82
0.11	0	30.59
0.12	0	31.51
0.13	0	34.8
0.14	0	42.23
0.15	0	51.25
0.16	0	55.79
0.17	0	56.64
0.18	0	56.95
0.19	0	59.1
0.2	0	61.85
0.21	177.38	64.23
0.22	177.53	67.56
0.23	180.28	72.09
0.24	184.15	76.08
0.25	185.17	77.98
0.26	184.71	76.45
0.27	179.08	69.81
0.28	172.75	66.49
0.29	176.67	74.14
0.3	182.05	79.81
0.31	182.85	82.35
0.32	182.02	82.83
0.33	181.07	82.57
0.34	180.52	82.17
0.35	180.47	81.03
0.36	179.4	78.54
0.37	177.02	75.92
0.38	177.61	75.82
0.39	180.47	77.3
0.4	182.46	78.52
0.41	183.67	78.7
0.42	184.91	78.15
0.43	186.07	77.08
0.44	187.69	75.42
0.45	190.56	73.31
0.46	192.4	69.82
0.47	0	62.39
0.48	0	48.13
0.49	0	34.09
0.5	0	33.87
0.51	0	35
0.52	0	51.88
0.53	0	65.34
0.54	206.37	71.43
0.55	204.57	72.97
0.56	203.62	72.31
0.57	203.15	70.24
0.58	202.32	67.83
0.59	206.27	68.42
0.6	208.87	69.88
0.61	209.32	70.8
0.62	208.74	71.66
0.63	207.48	72.7
0.64	205.47	73.92
0.65	203	75.11
0.66	200.19	76.31
0.67	198.18	77.66
0.68	196.03	78.8
0.69	192.58	79.1
0.7	187.42	78.35
0.71	0	76.47
0.72	0	72.79
0.73	0	65.89
0.74	0	52.15
0.75	0	34.34
0.76	0	33.64
0.77	0	50.31
0.78	0	58.68
0.79	0	59.54
0.8	0	57.5
0.81	0	58.93
0.82	187.14	64.86
0.83	189.64	69.8
0.84	191.73	73.17
0.85	190.55	74.56
0.86	187.3	73.36
0.87	184.33	69.36
0.88	0	62.22
0.89	0	51.13
0.9	0	36.54
0.91	0	31.56
0.92	0	32.19
0.93	0	30.01
0.94	0	31.01
0.95	0	31.65
0.96	0	31.2
0.97	0	39.21
0.98	0	52.89
0.99	0	65.15
1	198.25	71.81
1.01	196.59	75.14
1.02	195.11	77.19
1.03	194.57	78.42
1.04	194.02	78.96
1.05	193.76	79.03
1.06	194.22	78.79
1.07	195.49	78.38
1.08	196.28	77.55
1.09	196.13	75.5
1.1	194.15	71.75
1.11	192	67.34
1.12	190.81	64.25
1.13	190.62	62.97
1.14	191.23	63.37
1.15	192.82	65.88
1.16	195.79	70.19
1.17	197.66	74.01
1.18	197.43	76.12
1.19	195.98	76.85
1.2	193.43	77.11
1.21	190.39	77.3
1.22	187.72	77.32
1.23	185.24	77.23
1.24	183.44	77.2
1.25	182.37	77.29
1.26	182.48	77.56
1.27	183.45	77.85
1.28	184.37	78.04
1.29	186.38	78.21
1.3	189.48	78.44
1.31	192.82	78.19
1.32	193.25	76.81
1.33	254.89	74.06
1.34	256.13	70.7
1.35	0	65.01
1.36	0	52.8
1.37	0	34.32
1.38	0	29.69
1.39	0	32.39
1.4	0	40.65
1.41	0	47.97
1.42	0	56.05
1.43	241.89	64.18
1.44	249.33	68.4
1.45	256.74	70.12
1.46	260.6	70.78
1.47	263.58	71.17
1.48	267.03	71.48
1.49	270.76	71.86
1.5	274.2	72.36
1.51	278.38	72.58
1.52	282.5	72.32
1.53	285.39	71.65
1.54	287.94	70.59
1.55	291.31	69.23
1.56	296.81	67.55
1.57	306.06	65.8
1.58	312.27	63.06
1.59	0	57.75
1.6	0	51.39
1.61	0	45.39
1.62	0	41.75
1.63	0	40
1.64	0	37.79
1.65	0	36.63
1.66	0	34.86
1.67	0	32.04
1.68	0	30.31
1.69	0	28.95
1.7	0	28.47
1.71	0	29.31
1.72	0	30.45
1.73	0	0
1.74	0	0
1.75	0	0
