time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.87
0.04	0	30.15
0.05	0	29.48
0.06	0	29
0.07	0	28.87
0.08	0	29.48
0.09	0	32.32
0.1	0	35.25
0.11	0	35.49
0.12	0	43.6
0.13	0	58.29
0.14	0	65.6
0.15	0	69.52
0.16	218.32	73.51
0.17	220.43	77.07
0.18	224.44	80.13
0.19	222.11	82.48
0.2	216.76	84.14
0.21	214.11	84.66
0.22	212.93	84.42
0.23	211.64	83.9
0.24	209.68	82.98
0.25	208.37	81.83
0.26	208.64	80.89
0.27	210.65	80.38
0.28	213.19	78.82
0.29	214.54	75.9
0.3	214.81	72.03
0.31	0	64.84
0.32	0	51.94
0.33	0	42.65
0.34	0	51.46
0.35	0	58.09
0.36	0	62.01
0.37	0	63.36
0.38	0	61.91
0.39	0	58.68
0.4	0	61.42
0.41	234.91	70.93
0.42	227.46	75.95
0.43	216.35	76.86
0.44	208.92	76.15
0.45	204.34	75.26
0.46	201.13	74.02
0.47	198.4	72.05
0.48	197.15	69.24
0.49	198.06	65.39
0.5	0	62.8
0.51	0	65.22
0.52	0	67.38
0.53	0	67.03
0.54	0	65.75
0.55	0	63.49
0.56	0	57.4
0.57	0	46.74
0.58	0	43.13
0.59	0	49.58
0.6	0	56.8
0.61	0	67.44
0.62	0	70.24
0.63	0	67.6
0.64	0	72.34
0.65	209.06	77.08
0.66	207.54	78.71
0.67	204.71	79.55
0.68	203.01	80.48
0.69	202.74	81.38
0.7	201.23	81.64
0.71	200.05	81.61
0.72	199.89	81.98
0.73	198.39	82.37
0.74	196.68	82.62
0.75	196.58	82.56
0.76	197.39	82.26
0.77	198.66	81.88
0.78	200.77	81.47
0.79	203.54	80.95
0.8	207.31	80.37
0.81	212.69	79.61
0.82	219.97	78.58
0.83	225.31	76.45
0.84	229.01	72.06
0.85	0	65.86
0.86	0	63.41
0.87	0	65.45
0.88	0	66.39
0.89	0	66.2
0.9	0	65.44
0.91	0	65.43
0.92	0	64.27
0.93	0	61.45
0.94	279.16	62.34
0.95	259.32	67.92
0.96	240.29	69.3
0.97	235.16	68.55
0.98	233.45	66.63
0.99	231.49	62.56
1	0	56.53
1.01	0	52.53
1.02	0	49.33
1.03	0	43.04
1.04	0	35.53
1.05	0	47.25
1.06	0	61.14
1.07	0	70.43
1.08	202.66	73.74
1.09	203.82	74.67
1.1	203.62	75.99
1.11	202.44	77.91
1.12	202.96	79.94
1.13	203.78	80.79
1.14	203.13	79.93
1.15	202.22	78.85
1.16	201.59	78.42
1.17	200.76	78.21
1.18	200.06	77.97
1.19	200.28	77.72
1.2	200.38	77.54
1.21	200.29	77.13
1.22	201.03	76.38
1.23	202.58	75.25
1.24	204.45	73.84
1.25	207.2	71.75
1.26	212.14	67.79
1.27	0	60.52
1.28	0	48.14
1.29	0	40.32
1.3	0	58.12
1.31	0	65.55
1.32	0	65.88
1.33	0	61.52
1.34	0	58.74
1.35	0	58.94
1.36	0	58.98
1.37	0	58.69
1.38	0	58.54
1.39	0	58.47
1.4	0	58.77
1.41	0	59.84
1.42	234.39	64.9
1.43	227.99	70.44
1.44	215.18	72.63
1.45	205.87	73.13
1.46	201.09	72.99
1.47	197.71	72.63
1.48	195.19	72.44
1.49	193.41	72.13
1.5	191.24	71.55
1.51	188.24	70.81
1.52	185.7	69.96
1.53	182.48	68.8
1.54	181.54	67.43
1.55	0	67.03
1.56	0	67.14
1.57	0	65.97
1.58	0	65.27
1.59	0	65.27
1.6	0	64.68
1.61	0	63.87
1.62	0	64.86
1.63	0	64.38
1.64	0	64.53
1.65	0	63.63
1.66	0	61.82
1.67	0	59.6
1.68	0	59.1
1.69	0	58.78
1.7	0	57
1.71	0	54.41
1.72	0	51.82
1.73	0	50.55
1.74	0	50.63
1.75	0	50.01
1.76	0	48.94
1.77	0	46.51
1.78	0	45.75
1.79	0	45.75
1.8	0	43.95
1.81	0	41.44
1.82	0	40.42
1.83	0	39.5
1.84	0	37.69
1.85	0	37.44
1.86	0	37.65
1.87	0	0
1.88	0	0
?	?	?
