time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	29.88
0.05	0	29.12
0.06	0	29.17
0.07	0	28.63
0.08	0	27.9
0.09	0	27.15
0.1	0	26.54
0.11	0	28.06
0.12	0	39.79
0.13	0	51.36
0.14	0	56.1
0.15	0	58.59
0.16	0	60.39
0.17	0	63.9
0.18	0	67.62
0.19	0	69.41
0.2	0	72.77
0.21	0	72.88
0.22	0	69.22
0.23	0	66.25
0.24	0	67.32
0.25	0	69.28
0.26	0	69.9
0.27	0	68.11
0.28	0	65.16
0.29	0	62.39
0.3	0	59.11
0.31	0	57.83
0.32	0	59.65
0.33	0	58.73
0.34	143.23	62.15
0.35	141.4	66.48
0.36	139.53	68.84
0.37	137.45	70.45
0.38	135.99	72.05
0.39	136.41	74.09
0.4	134.67	76.62
0.41	134.15	78.71
0.42	134.54	80.09
0.43	135.32	80.7
0.44	136.04	81.45
0.45	136.78	81.89
0.46	138.06	82.18
0.47	139.79	82.66
0.48	142.95	82.88
0.49	145.36	82.47
0.5	147.09	81.14
0.51	148.89	79.14
0.52	152.38	76.88
0.53	156.56	74.71
0.54	159.27	72.81
0.55	160.15	70.93
0.56	160.41	69.65
0.57	160.32	69.38
0.58	159.87	70.04
0.59	160.06	71.65
0.6	159.55	73.69
0.61	158.08	75.52
0.62	155.7	76.16
0.63	153.98	73.79
0.64	151.81	67.85
0.65	149.55	63.99
0.66	148.1	65.52
0.67	146.95	71.52
0.68	144.92	75.48
0.69	143.25	76.48
0.7	142.57	76.37
0.71	142.89	76.15
0.72	144.32	76.06
0.73	146.59	76.31
0.74	148.24	76.04
0.75	149.25	74.77
0.76	149.37	72.86
0.77	148.2	69.72
0.78	144.58	64.81
0.79	0	56.73
0.8	0	52.22
0.81	0	53.09
0.82	0	53.14
0.83	0	53.41
0.84	0	54.81
0.85	0	56.59
0.86	0	57.05
0.87	0	54.6
0.88	0	49.42
0.89	0	44.16
0.9	0	35.59
0.91	0	25.76
0.92	0	24.31
0.93	0	25.52
0.94	0	26.23
0.95	0	30.32
0.96	0	48.62
0.97	0	59.56
0.98	0	62.29
0.99	0	60.77
1	0	59.12
1.01	0	56.91
1.02	0	54.66
1.03	0	54.43
1.04	0	59.4
1.05	120.95	61.68
1.06	118.28	59.53
1.07	115.14	57.26
1.08	114.63	58.07
1.09	113.54	58.94
1.1	112.05	59.25
1.11	110.9	59.32
1.12	111.24	60.42
1.13	111.94	64.63
1.14	112.52	68
1.15	113.27	69.56
1.16	116.13	70.41
1.17	117.92	71.19
1.18	119.92	71.4
1.19	121.78	71.77
1.2	122.28	71.64
1.21	122.04	68.72
1.22	120.51	62.06
1.23	0	51.07
1.24	0	38.7
1.25	0	33.35
1.26	0	32.69
1.27	0	38.14
1.28	0	55.14
1.29	0	62.28
1.3	0	62.56
1.31	0	58.77
1.32	0	54.86
1.33	0	57.53
1.34	128.82	61.75
1.35	123.47	62.81
1.36	121.35	63.14
1.37	116.24	63
1.38	115.08	61.09
1.39	0	57.33
1.4	0	55.04
1.41	0	54.68
1.42	0	54.48
1.43	0	53.73
1.44	0	54.7
1.45	0	56.63
1.46	0	57.91
1.47	0	58.22
1.48	0	58.7
1.49	0	63.99
1.5	131.69	69.04
1.51	125.34	70.9
1.52	122.89	71.61
1.53	121.86	72.76
1.54	120.8	74.5
1.55	119.98	76.04
1.56	118.82	76.33
1.57	116.69	74.8
1.58	115.31	73.54
1.59	114.69	73.18
1.6	114.51	72.96
1.61	114.38	72.93
1.62	113.92	72.52
1.63	113.67	71.71
1.64	113.18	71.19
1.65	112.44	71.11
1.66	112.07	70.85
1.67	111.83	70.72
1.68	111.4	69.49
1.69	111.15	66.31
1.7	111.41	62.06
1.71	109.75	59.88
1.72	109.15	58.58
1.73	0	55.29
1.74	0	50.65
1.75	0	47.04
1.76	0	45.03
1.77	0	50.87
1.78	0	57.02
1.79	0	56.22
1.8	0	51.12
1.81	0	49.12
1.82	0	52.3
1.83	0	61.87
1.84	0	66.87
1.85	118.56	69.67
1.86	116.62	71.4
1.87	113.54	71.77
1.88	110.59	71.63
1.89	108.94	71.95
1.9	107.95	72.49
1.91	107.08	72.48
1.92	106.84	72.08
1.93	106.63	71.87
1.94	104.49	70.8
1.95	99.38	68.51
1.96	96.3	66.05
1.97	85.84	63.28
1.98	0	59.98
1.99	0	53.31
2	0	47.39
2.01	0	47.93
2.02	0	47.95
2.03	0	46.77
2.04	0	46.3
2.05	0	46.53
2.06	0	45.48
2.07	0	44.4
2.08	0	43.92
2.09	0	41.13
2.1	0	35.34
2.11	0	32.72
2.12	0	32.51
2.13	0	33.06
2.14	0	33.84
2.15	0	34.44
2.16	0	33.51
2.17	0	31.02
2.18	0	38.46
2.19	0	49.52
2.2	0	51.94
2.21	0	47.62
2.22	0	41.52
2.23	0	38.54
2.24	0	36.83
2.25	0	36.43
2.26	0	34.32
2.27	0	32
2.28	0	29.69
2.29	0	25.96
2.3	0	24.43
2.31	0	24.28
2.32	0	0
2.33	0	0
2.34	0	0
