time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	32.71
0.04	0	31.96
0.05	0	30.83
0.06	0	29.09
0.07	0	28.34
0.08	0	27.33
0.09	0	25.2
0.1	0	25.23
0.11	0	28.33
0.12	0	31.32
0.13	0	39.03
0.14	0	46.23
0.15	0	50.89
0.16	0	53.52
0.17	0	54.57
0.18	0	53.9
0.19	0	54.91
0.2	169.47	61.75
0.21	168.05	66.77
0.22	166.88	68.72
0.23	168.65	69.13
0.24	170.58	69.78
0.25	171.22	71.25
0.26	171.5	72.39
0.27	171.46	72.28
0.28	170.02	70.34
0.29	168.06	67.84
0.3	166.17	67.43
0.31	163.04	67.64
0.32	159.36	67.76
0.33	156.43	68.03
0.34	156.36	70.4
0.35	155.41	74.6
0.36	153.32	76.75
0.37	153.01	77.65
0.38	152.93	78.34
0.39	152.85	78.83
0.4	152.62	78.96
0.41	151.67	78.76
0.42	150.25	78.32
0.43	149.13	77.71
0.44	148.19	76.99
0.45	146.05	76.06
0.46	143.97	74.57
0.47	141.57	72.19
0.48	135.06	68.34
0.49	128.56	63
0.5	0	57.27
0.51	0	53.42
0.52	0	51.72
0.53	0	51.58
0.54	0	53.24
0.55	122.15	57.57
0.56	124.39	63.78
0.57	126.83	69.44
0.58	126.57	73.44
0.59	125.53	75.69
0.6	124.94	75.72
0.61	0	72.68
0.62	0	64.89
0.63	0	61.48
0.64	121.4	67.95
0.65	121.68	72.37
0.66	121.07	75.04
0.67	118.89	76.14
0.68	117.16	75.73
0.69	115.78	73.95
0.7	113.14	70.21
0.71	0	63.07
0.72	0	50.7
0.73	0	35.6
0.74	0	26.19
0.75	0	37.13
0.76	0	54.87
0.77	0	61.97
0.78	0	62.19
0.79	0	59.84
0.8	0	60.53
0.81	0	62.52
0.82	0	67.04
0.83	0	73.38
0.84	130.56	76.8
0.85	130.53	77.83
0.86	130.41	78.86
0.87	129.19	80.23
0.88	127.09	81.23
0.89	125.6	81.66
0.9	125.03	81.49
0.91	125.29	80.74
0.92	126.05	79.17
0.93	124.52	75.98
0.94	0	70.04
0.95	0	60.61
0.96	0	48.03
0.97	0	43.85
0.98	0	52.82
0.99	0	54.02
1	0	54.09
1.01	0	60.62
1.02	0	64.49
1.03	0	66.5
1.04	0	68.09
1.05	0	67.26
1.06	0	63.85
1.07	0	60.59
1.08	0	57.47
1.09	0	54.93
1.1	0	52.81
1.11	0	53.71
1.12	122.38	60.07
1.13	120.26	64.45
1.14	115.73	65.71
1.15	112.51	65.96
1.16	109.67	65.96
1.17	107.65	64.8
1.18	107.19	63.58
1.19	106.52	63.44
1.2	105.87	63.47
1.21	105.07	62.75
1.22	103.83	61
1.23	0	57.53
1.24	0	52.02
1.25	0	49.77
1.26	0	50.29
1.27	0	49.71
1.28	0	49.85
1.29	0	50.29
1.3	0	51.84
1.31	0	54.25
1.32	0	55.63
1.33	0	58.18
1.34	0	66.11
1.35	0	70.72
1.36	0	71.33
1.37	103.61	69.23
1.38	103.03	67.81
1.39	102.08	67.18
1.4	102.18	66.44
1.41	102.68	65.77
1.42	102.15	64.52
1.43	100.9	62.48
1.44	100.11	60.81
1.45	100.46	60.23
1.46	99.9	59.81
1.47	99.72	58.87
1.48	99.22	58.21
1.49	99.2	57.83
1.5	97.36	57.49
1.51	0	56.46
1.52	0	54.55
1.53	0	52.27
1.54	0	48.76
1.55	0	45.67
1.56	0	52.46
1.57	0	55.81
1.58	0	52.56
1.59	0	49.66
1.6	0	49.7
1.61	0	49.2
1.62	0	48.75
1.63	0	47.57
1.64	0	45.13
1.65	0	41.27
1.66	0	37.25
1.67	0	34.16
1.68	0	31.45
1.69	0	28.22
1.7	0	26.06
1.71	0	28.72
1.72	0	29.83
1.73	0	26.1
1.74	0	22.56
1.75	0	22.71
1.76	0	23.76
1.77	0	24.11
1.78	0	24.98
1.79	0	26.25
1.8	0	25.88
1.81	0	25.18
1.82	0	24.85
1.83	0	0
1.84	0	0
?	?	?
