time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	34.34
0.04	0	33.93
0.05	0	33.52
0.06	0	33.61
0.07	0	33.69
0.08	0	33.88
0.09	0	33.41
0.1	0	32.89
0.11	0	33.5
0.12	0	34.07
0.13	0	36.58
0.14	0	41.06
0.15	0	40.86
0.16	0	37.31
0.17	0	40.78
0.18	0	53.93
0.19	0	63.14
0.2	0	70.75
0.21	0	77.93
0.22	129.73	81.15
0.23	130.22	82.99
0.24	130.8	84.04
0.25	131.45	84.02
0.26	131.6	83.69
0.27	131.99	83.14
0.28	133.41	82.38
0.29	136.07	81.54
0.3	139.77	82.26
0.31	141.05	83
0.32	140.55	82.34
0.33	139.8	81.38
0.34	137.77	80.78
0.35	134.03	79.52
0.36	131.75	76.37
0.37	137.29	73.23
0.38	140.03	72.33
0.39	136.73	72.34
0.4	133.66	71.89
0.41	131.42	71.61
0.42	129.88	72.18
0.43	128.25	72.9
0.44	127.2	74.01
0.45	126.81	75.87
0.46	126.96	77.84
0.47	126.74	78.79
0.48	125.65	78.33
0.49	124.21	77.27
0.5	123.01	76.56
0.51	121.65	75.91
0.52	120.52	75.09
0.53	119.71	74.14
0.54	119.89	73.39
0.55	121.37	73.48
0.56	123.98	74.63
0.57	126.69	76.58
0.58	128.56	78.45
0.59	129.43	79.58
0.6	129.5	80.03
0.61	129.07	80.04
0.62	127.29	79.61
0.63	124.61	78.2
0.64	120.66	74.8
0.65	0	68.74
0.66	0	63.23
0.67	0	64.54
0.68	0	67.1
0.69	0	68.49
0.7	0	70.45
0.71	0	69.48
0.72	0	65.53
0.73	0	62.63
0.74	0	61.06
0.75	0	59.45
0.76	0	57.56
0.77	0	55.96
0.78	0	54.77
0.79	0	54.31
0.8	0	58.69
0.81	128.86	66.41
0.82	129.29	71.56
0.83	128.66	73.57
0.84	126.36	73.52
0.85	121.09	72.07
0.86	116.62	69.36
0.87	0	63.69
0.88	0	52.19
0.89	0	36.56
0.9	0	31.93
0.91	0	33.11
0.92	0	35.14
0.93	0	39.02
0.94	0	46.24
0.95	0	52.97
0.96	0	59.32
0.97	0	69.6
0.98	132.66	76.46
0.99	132.65	79.36
1	131.76	79.93
1.01	130.52	79.72
1.02	130.28	79.55
1.03	129.98	78.99
1.04	128.72	77.69
1.05	127.13	76.01
1.06	123.84	73.99
1.07	117.59	71.69
1.08	114.89	68.56
1.09	0	63.28
1.1	0	55.06
1.11	0	51.47
1.12	0	52.74
1.13	0	53.8
1.14	0	53.85
1.15	0	53.21
1.16	0	56.45
1.17	138.17	64.89
1.18	131.99	70.48
1.19	125.73	72.82
1.2	122.23	73.07
1.21	120.46	71.25
1.22	118.25	67.18
1.23	115.22	62.73
1.24	113.26	59.73
1.25	112.1	57.93
1.26	111.68	57.35
1.27	113.6	58.36
1.28	116.9	61.47
1.29	119.21	65.08
1.3	120.25	67.97
1.31	120.96	70.05
1.32	121.62	71.85
1.33	122.29	73.97
1.34	122.62	75.98
1.35	121.76	77.23
1.36	120.89	77.1
1.37	120.28	75.65
1.38	118.68	73.43
1.39	117.01	71.3
1.4	114.85	68.77
1.41	0	65.85
1.42	0	61.4
1.43	0	55.32
1.44	0	49.67
1.45	0	45.25
1.46	0	41.93
1.47	0	44.44
1.48	0	54.15
1.49	0	59.18
1.5	0	64.91
1.51	0	70.31
1.52	0	72
1.53	0	70.91
1.54	0	67.68
1.55	0	63.73
1.56	0	65.96
1.57	0	71.16
1.58	126.25	74.03
1.59	126.14	76.21
1.6	124.36	77.14
1.61	122.49	77.11
1.62	121.09	76.86
1.63	120.03	75.64
1.64	118.78	74.37
1.65	117.87	73.62
1.66	115.76	72.41
1.67	115.11	70.99
1.68	112.52	70.12
1.69	111.48	68.32
1.7	111.99	66.33
1.71	111.56	64.97
1.72	110.95	63.97
1.73	110.75	63.15
1.74	109.89	62.45
1.75	106.62	61.72
1.76	103	60.42
1.77	0	58.12
1.78	0	59.43
1.79	0	63.48
1.8	0	65.65
1.81	0	66.54
1.82	0	65.51
1.83	0	64.56
1.84	0	64.36
1.85	0	64.66
1.86	0	63.47
1.87	0	59.59
1.88	0	53.71
1.89	0	51.08
1.9	0	51.8
1.91	0	51.79
1.92	108.66	54.65
1.93	114.39	62.71
1.94	117.09	70.91
1.95	117.38	75.8
1.96	117.85	78.02
1.97	116.73	78.32
1.98	113.88	77.3
1.99	112.04	75.76
2	110.83	74.86
2.01	109.46	73.84
2.02	108.38	73.16
2.03	107.36	73.01
2.04	105.97	72.64
2.05	105.37	72.34
2.06	104.7	72.48
2.07	102.88	71.97
2.08	101.86	71.4
2.09	101.43	71.99
2.1	101	73.61
2.11	0	74.9
2.12	0	73.08
2.13	0	71.04
2.14	0	70.87
2.15	0	68.31
2.16	0	65.03
2.17	0	58.85
2.18	0	53.52
2.19	0	48.49
2.2	0	43
2.21	0	36.87
2.22	0	33.98
2.23	0	39.72
2.24	0	51.32
2.25	0	56.31
2.26	0	57.44
2.27	0	56.21
2.28	0	53.97
2.29	0	53.66
2.3	0	53.13
2.31	0	51.88
2.32	0	51.43
2.33	0	51.18
2.34	0	50.79
2.35	0	50.35
2.36	0	49.26
2.37	0	49.32
2.38	0	49.62
2.39	0	49.35
2.4	0	48.8
2.41	0	47.82
2.42	0	46.79
2.43	0	45.45
2.44	0	45.02
2.45	0	42.96
2.46	0	39.82
2.47	0	36.96
2.48	0	35.09
2.49	0	34.87
2.5	0	34.21
2.51	0	33.88
2.52	0	0
2.53	0	0
2.54	0	0
?	?	?
