time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	40.19
0.04	0	40.07
0.05	0	41.64
0.06	0	45.31
0.07	0	46.48
0.08	0	44.12
0.09	0	38.35
0.1	0	33.36
0.11	0	35.78
0.12	0	39.53
0.13	0	46.76
0.14	0	59.98
0.15	0	67
0.16	0	68.47
0.17	0	66.34
0.18	0	65.58
0.19	0	68.88
0.2	0	71.01
0.21	0	71.74
0.22	0	72.67
0.23	0	73
0.24	0	72.38
0.25	0	71.46
0.26	0	74.15
0.27	162.44	79.7
0.28	171.47	81.98
0.29	173.64	82.21
0.3	176.33	81.77
0.31	180.84	81.17
0.32	183.12	80.04
0.33	184.62	77.02
0.34	185.46	71.98
0.35	186.59	68.98
0.36	185.75	67.96
0.37	181.59	66.9
0.38	176.67	65.7
0.39	165.71	64.26
0.4	154.87	63.83
0.41	146.65	68.72
0.42	135.15	74.49
0.43	127.26	78.07
0.44	120.91	79.4
0.45	112.6	78.72
0.46	108.25	77.12
0.47	106.8	74.9
0.48	105.59	71.31
0.49	104.92	65.87
0.5	0	58.1
0.51	0	47.6
0.52	0	38.09
0.53	0	30.05
0.54	0	34.49
0.55	0	54.8
0.56	0	65.75
0.57	0	68.19
0.58	0	65.95
0.59	0	64.63
0.6	0	64.62
0.61	0	63.94
0.62	0	62.22
0.63	0	66.19
0.64	0	75.72
0.65	164.36	80.51
0.66	165.34	82.06
0.67	169.25	83.47
0.68	170.85	85.16
0.69	171.39	86.22
0.7	170.94	86.2
0.71	169.14	85.32
0.72	165.54	83.76
0.73	159.57	80.18
0.74	0	72.3
0.75	0	57.11
0.76	0	35.27
0.77	0	29.61
0.78	0	29.48
0.79	0	34.74
0.8	0	40.82
0.81	0	42.77
0.82	0	41.84
0.83	0	44.16
0.84	0	54.68
0.85	0	61.67
0.86	121.41	64.4
0.87	118.73	65.72
0.88	118.22	69.55
0.89	116.06	73.2
0.9	113.89	74.87
0.91	112.74	75.58
0.92	111.88	75.89
0.93	111.21	76.08
0.94	110.32	75.79
0.95	108.65	74.92
0.96	107.18	73.49
0.97	105.39	72.27
0.98	104.71	72.81
0.99	104.14	74.07
1	100.91	74.17
1.01	97.42	72.09
1.02	96.67	67.17
1.03	94.53	62.41
1.04	0	58.04
1.05	0	56.26
1.06	0	58.51
1.07	0	62.25
1.08	0	66.39
1.09	0	69.67
1.1	0	71.05
1.11	0	70.83
1.12	0	67.44
1.13	0	61.62
1.14	0	54.6
1.15	0	43.49
1.16	0	34.25
1.17	0	38.29
1.18	0	47.5
1.19	0	54.65
1.2	0	65.54
1.21	139.24	74.49
1.22	139	78.74
1.23	137.33	80.08
1.24	135.65	79.85
1.25	133.01	79.24
1.26	131.3	78.26
1.27	129.61	76.34
1.28	127.76	73.89
1.29	126.03	70.73
1.3	123.62	67.24
1.31	122.98	66.03
1.32	121.72	65.95
1.33	120.07	65.74
1.34	118.44	65.78
1.35	117.84	68.39
1.36	117.46	72.02
1.37	117.81	74.32
1.38	118.62	75.91
1.39	119.54	77.24
1.4	119.91	78.2
1.41	120.73	78.8
1.42	121.75	78.99
1.43	123.27	79.16
1.44	125.26	79.25
1.45	127.1	79.08
1.46	128.96	78.17
1.47	130.62	76.82
1.48	130.44	75.89
1.49	128.23	74.61
1.5	125.44	71.35
1.51	0	64.34
1.52	0	50.57
1.53	0	31.12
1.54	0	33.32
1.55	0	43.57
1.56	0	49.92
1.57	0	52.48
1.58	0	55.14
1.59	0	61.13
1.6	0	64.58
1.61	0	63.87
1.62	0	59.81
1.63	0	55.16
1.64	0	53.53
1.65	0	52.97
1.66	0	52.2
1.67	0	53.93
1.68	0	51.38
1.69	0	49.92
1.7	0	52.05
1.71	0	51.31
1.72	0	48.09
1.73	0	47.6
1.74	0	44.91
1.75	0	40.21
1.76	0	38.34
1.77	0	37.6
1.78	0	38.58
1.79	0	39.88
1.8	0	40.2
1.81	0	39.79
1.82	0	38.88
1.83	0	38.1
1.84	0	39.35
1.85	0	45.17
1.86	0	47.43
1.87	0	44.47
1.88	0	43.61
1.89	0	43.94
1.9	0	43.71
1.91	0	46.43
1.92	0	52.38
1.93	0	59.49
1.94	0	63.87
1.95	0	66.79
1.96	0	69.24
1.97	0	70.19
1.98	0	70.25
1.99	0	71.42
2	0	71.4
2.01	0	69.93
2.02	0	68.56
2.03	0	66.5
2.04	0	65.55
2.05	0	71.85
2.06	132.17	76.32
2.07	130.5	78.63
2.08	129.36	80.76
2.09	128.11	82.21
2.1	125.98	82.55
2.11	124.46	82.36
2.12	123.5	82.21
2.13	122.89	81.88
2.14	121.93	81.03
2.15	120.77	78.64
2.16	114.73	72.48
2.17	111.94	63.63
2.18	110.26	63.79
2.19	109.12	66.25
2.2	107.37	67.96
2.21	104.65	68.75
2.22	101.88	68.87
2.23	99.87	68.53
2.24	96.68	67.84
2.25	94.39	67.17
2.26	92.35	66.58
2.27	89.3	65.07
2.28	89.54	64.78
2.29	88.82	65.33
2.3	87.06	62.89
2.31	84.77	59.63
2.32	85.7	57.64
2.33	0	55.13
2.34	0	51.87
2.35	0	49.66
2.36	0	48.61
2.37	0	46.97
2.38	0	44.15
2.39	0	40.9
2.4	0	39.71
2.41	0	39.76
2.42	0	39.59
2.43	0	0
2.44	0	0
2.45	0	0
