time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	43.18
0.04	0	42.14
0.05	0	38.42
0.06	0	34.03
0.07	0	32.8
0.08	0	32.62
0.09	0	32.64
0.1	0	32.98
0.11	0	32.49
0.12	0	38.46
0.13	0	55.41
0.14	0	66.55
0.15	153.07	72.42
0.16	154.54	76.44
0.17	154.78	79.87
0.18	152.22	81.82
0.19	150.49	82.25
0.2	149.85	81.66
0.21	146.96	79.83
0.22	144.54	76.84
0.23	143.25	73.76
0.24	142.5	71.51
0.25	142.15	70.08
0.26	141.9	70.64
0.27	141.71	72.27
0.28	140.84	74.32
0.29	139.47	75.66
0.3	138.63	76.27
0.31	138.05	76.87
0.32	136.67	76.64
0.33	0	74.32
0.34	0	67.44
0.35	0	51.56
0.36	0	39.32
0.37	0	55.37
0.38	0	66.99
0.39	0	70.85
0.4	0	69
0.41	0	68.26
0.42	0	75.41
0.43	158.8	80.84
0.44	155.23	83.19
0.45	153.18	84.6
0.46	153.77	85.36
0.47	154.11	85.17
0.48	153.66	84.75
0.49	153.39	84.03
0.5	153.27	83.11
0.51	153.24	82.28
0.52	153.31	80.98
0.53	153.91	77.63
0.54	154.84	73.5
0.55	155.38	72.26
0.56	155.9	72.91
0.57	157.11	75.71
0.58	155.49	78.2
0.59	152.88	78.64
0.6	151.12	78.46
0.61	149.43	78.58
0.62	146.8	78.75
0.63	144.12	78.29
0.64	140.13	76.09
0.65	133.54	72.61
0.66	129.31	70.12
0.67	130.44	68.48
0.68	134.45	68.32
0.69	138.82	70.55
0.7	141.97	73.97
0.71	145.18	76.77
0.72	147.64	79.14
0.73	147.57	80.83
0.74	146.54	81.97
0.75	146.26	83.04
0.76	146.15	83.67
0.77	146.29	83.92
0.78	147.1	84.32
0.79	148.26	84.82
0.8	149.09	84.67
0.81	149.95	84.04
0.82	151.47	83.77
0.83	153.63	84.06
0.84	156.1	84.53
0.85	158.34	84.96
0.86	160.28	85.01
0.87	162.2	84.89
0.88	164.62	84.54
0.89	168.03	83.9
0.9	172.44	83.28
0.91	177.25	82.56
0.92	183.76	81.18
0.93	186.23	79.85
0.94	185.83	77.49
0.95	188.08	71.36
0.96	0	61.24
0.97	0	53.33
0.98	0	49.94
0.99	0	46.45
1	0	43.21
1.01	0	40.44
1.02	0	37.44
1.03	0	34.87
1.04	0	33.85
1.05	0	33.35
1.06	0	33.08
1.07	0	33.35
1.08	0	0
1.09	0	0
1.1	0	0
?	?	?
