time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.46
0.05	0	28.94
0.06	0	29.03
0.07	0	28.31
0.08	0	27.5
0.09	0	27.26
0.1	0	27.22
0.11	0	29.09
0.12	0	36.7
0.13	0	48.32
0.14	0	57.05
0.15	0	67.36
0.16	101.68	73.62
0.17	101.47	76.31
0.18	101.02	77.84
0.19	100.63	78.72
0.2	100.31	79.55
0.21	99.76	80.68
0.22	98.87	81.23
0.23	98.85	80.41
0.24	0	77.21
0.25	0	70.33
0.26	0	58.13
0.27	0	50.46
0.28	0	49.41
0.29	0	48.37
0.3	0	48.07
0.31	0	55.57
0.32	0	68.58
0.33	109.46	76.81
0.34	109.46	80.77
0.35	109.83	81.48
0.36	110.3	81.83
0.37	111.94	82.69
0.38	115.36	83.31
0.39	121.76	83.34
0.4	130.6	83.17
0.41	136.81	83.39
0.42	140.39	83.85
0.43	144.25	84.34
0.44	147.97	84.57
0.45	151.66	84.33
0.46	155.31	83.73
0.47	157.93	82.96
0.48	158.99	82.2
0.49	158.49	81.34
0.5	156.08	80.01
0.51	151.69	76.87
0.52	0	68.99
0.53	0	55.31
0.54	0	50.53
0.55	0	50.24
0.56	0	49.73
0.57	0	49.01
0.58	0	48.11
0.59	0	47.19
0.6	0	46.63
0.61	0	55.82
0.62	0	67.3
0.63	103.04	73.69
0.64	103.31	77.58
0.65	103.57	80.07
0.66	103.05	80.68
0.67	101.14	79.71
0.68	100.12	78.63
0.69	99.52	78.35
0.7	99.36	77.71
0.71	0	75.37
0.72	0	68.9
0.73	0	59.52
0.74	0	66.97
0.75	114.77	73.73
0.76	115.24	77.48
0.77	115.99	79.36
0.78	117.94	79.75
0.79	121.82	79.36
0.8	125.95	78.52
0.81	127.36	77.34
0.82	124.92	74.94
0.83	0	69.79
0.84	0	61.02
0.85	0	48.92
0.86	0	34.23
0.87	0	26.53
0.88	0	25.91
0.89	0	26.55
0.9	0	31.12
0.91	0	39.6
0.92	0	42.33
0.93	0	46.67
0.94	0	51.9
0.95	98.28	54.94
0.96	98.19	56.43
0.97	96.26	57.04
0.98	94.73	57.36
0.99	93.65	57.47
1	93.43	57.46
1.01	94.31	57.7
1.02	97.03	57.61
1.03	97.62	57.24
1.04	0	57.8
1.05	0	56.01
1.06	0	53.77
1.07	0	53.23
1.08	0	53.27
1.09	0	54.55
1.1	112.21	57.44
1.11	117.74	61.73
1.12	123.03	65.79
1.13	127.07	68.5
1.14	129.01	70.25
1.15	129.65	71.53
1.16	130.57	72.02
1.17	130.82	70.51
1.18	130.17	66.15
1.19	130.93	62.32
1.2	132.03	63.42
1.21	132.57	65.6
1.22	132.29	67.02
1.23	130.47	66.61
1.24	126.96	64.74
1.25	126.11	67.97
1.26	123.54	72.8
1.27	119.41	75.33
1.28	116.33	77.29
1.29	113.57	78.72
1.3	111.47	79.14
1.31	110.29	78.75
1.32	109.19	78.26
1.33	108.16	77.36
1.34	106.89	75.51
1.35	105.98	72.28
1.36	105.78	68.04
1.37	104.6	63.39
1.38	0	58.53
1.39	0	55.39
1.4	0	53.61
1.41	0	47.48
1.42	0	35.03
1.43	0	28.07
1.44	0	27.16
1.45	0	33.89
1.46	0	53.56
1.47	0	62.85
1.48	0	64.89
1.49	0	62.12
1.5	0	58.16
1.51	0	58.27
1.52	0	66.27
1.53	107.66	71.22
1.54	106.31	72.83
1.55	104.78	73.63
1.56	102.82	73.87
1.57	101.82	73.55
1.58	101.86	73.06
1.59	102.32	72.36
1.6	101.7	70.42
1.61	100.59	66.32
1.62	0	60.04
1.63	0	52.47
1.64	0	48.36
1.65	0	47.04
1.66	0	46.33
1.67	0	52.88
1.68	0	61.55
1.69	0	62.9
1.7	0	63.73
1.71	104.89	70.21
1.72	107.42	73.44
1.73	108.62	75.3
1.74	108.31	76.89
1.75	108.34	78.03
1.76	108.63	78.55
1.77	109.17	78.63
1.78	109.48	78.56
1.79	109.63	78.48
1.8	109.96	78.51
1.81	110.74	78.59
1.82	111.51	78.66
1.83	112.28	78.63
1.84	112.93	78.57
1.85	112.95	78.08
1.86	112.82	76.81
1.87	112.81	73.91
1.88	0	67.14
1.89	0	55.31
1.9	0	56.35
1.91	0	68.53
1.92	0	75.2
1.93	121.92	77.83
1.94	120.72	78.24
1.95	120.93	78.46
1.96	122.54	78.49
1.97	124.68	78.12
1.98	126.58	77.49
1.99	127.49	76.5
2	129.39	75.35
2.01	131.58	74.96
2.02	130.96	74.49
2.03	129.47	73.78
2.04	125.95	73.19
2.05	121.83	72.46
2.06	117.8	72.35
2.07	113.15	72.8
2.08	107.47	73.26
2.09	102.24	73.17
2.1	98.16	72.66
2.11	93.88	71.7
2.12	89.32	69.8
2.13	0	65.99
2.14	0	57.51
2.15	0	46.56
2.16	0	42.78
2.17	0	39.49
2.18	0	42.19
2.19	0	54.57
2.2	0	63.94
2.21	0	69.46
2.22	0	69.2
2.23	0	64.91
2.24	0	61.48
2.25	0	60.68
2.26	0	60.57
2.27	0	60.21
2.28	0	59.93
2.29	0	60.07
2.3	0	59.07
2.31	0	57.26
2.32	0	55.6
2.33	0	52.48
2.34	0	48.55
2.35	0	45.26
2.36	0	42.86
2.37	0	41.33
2.38	0	39.81
2.39	0	38.1
2.4	0	37.42
2.41	0	36.74
2.42	0	35.95
2.43	0	35.98
2.44	0	36.04
2.45	0	0
2.46	0	0
2.47	0	0
?	?	?
