time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	26.35
0.05	0	26.71
0.06	0	28.35
0.07	0	34.35
0.08	0	38.23
0.09	0	39.49
0.1	0	37.15
0.11	0	30.5
0.12	0	39.55
0.13	0	52.79
0.14	0	58.6
0.15	0	64.58
0.16	0	68.66
0.17	0	71.42
0.18	0	74.8
0.19	132.35	78.12
0.2	136.68	79.94
0.21	137.96	80.16
0.22	136.93	79.43
0.23	135.88	77.88
0.24	134.91	74.9
0.25	134.51	70.61
0.26	0	68.68
0.27	0	70.2
0.28	0	72.49
0.29	0	74.92
0.3	0	75.24
0.31	0	74.91
0.32	0	74.69
0.33	0	73.64
0.34	0	72.8
0.35	0	71.18
0.36	0	68.27
0.37	0	67.42
0.38	0	74.23
0.39	173.56	79.31
0.4	173.17	82.2
0.41	172.61	83.7
0.42	172.41	84.26
0.43	172.41	84.47
0.44	172.33	84.58
0.45	172.69	84.77
0.46	173.68	84.93
0.47	174.93	84.17
0.48	174.77	81.86
0.49	173.28	78.28
0.5	0	72.36
0.51	0	64.3
0.52	0	64
0.53	0	65.44
0.54	0	66.28
0.55	0	67.92
0.56	0	69.8
0.57	0	70.24
0.58	0	69.76
0.59	0	68.36
0.6	0	69.29
0.61	0	71.28
0.62	0	71.6
0.63	0	70.78
0.64	0	69.32
0.65	0	70.83
0.66	0	72.18
0.67	0	72.17
0.68	0	73.77
0.69	0	75.66
0.7	112.72	77.12
0.71	116.03	78.34
0.72	137.83	79.66
0.73	140.13	80.55
0.74	136.91	81.05
0.75	138.29	81.26
0.76	139.74	81.24
0.77	141.17	80.75
0.78	142.15	79.26
0.79	142.44	75.74
0.8	0	68.7
0.81	0	56.65
0.82	0	47.14
0.83	0	57.86
0.84	0	66.75
0.85	0	70.48
0.86	0	70.42
0.87	0	68.98
0.88	0	67.33
0.89	0	65.13
0.9	0	68.37
0.91	140.06	72.2
0.92	134.48	74.04
0.93	130.52	74.94
0.94	128.29	75.06
0.95	126.94	74.12
0.96	125.94	72.01
0.97	123.99	69.26
0.98	0	67.48
0.99	0	67.74
1	0	68.34
1.01	0	68.23
1.02	129.64	67.45
1.03	129.88	66.98
1.04	130.06	66.02
1.05	129.63	63.6
1.06	129.44	60
1.07	128.58	58.42
1.08	127.95	58.32
1.09	129.16	59.68
1.1	131.46	66.62
1.11	132.55	72.74
1.12	134.27	75.7
1.13	136	77.06
1.14	138.03	77.85
1.15	140.82	78.31
1.16	143.95	78.64
1.17	146.62	78.81
1.18	149.1	78.63
1.19	151.07	78.13
1.2	152.5	77.18
1.21	153.35	75.53
1.22	152.94	72.29
1.23	0	65.91
1.24	0	55.19
1.25	0	44.12
1.26	0	38.81
1.27	0	45.52
1.28	0	53.94
1.29	0	56.66
1.3	0	61.58
1.31	0	68.65
1.32	0	72.41
1.33	134.39	73.69
1.34	131.86	72.59
1.35	129.05	70.13
1.36	125.92	67.06
1.37	119.82	63.37
1.38	0	59.55
1.39	0	56.92
1.4	0	56.91
1.41	0	58.03
1.42	0	58.75
1.43	0	58.25
1.44	0	57.34
1.45	0	58.56
1.46	0	64.81
1.47	132.56	69.93
1.48	130.54	72.93
1.49	128.25	74.56
1.5	126.88	75.26
1.51	126.5	75.16
1.52	127.26	74.13
1.53	125.4	72.78
1.54	123.54	70.3
1.55	118.73	64.7
1.56	118.14	59.96
1.57	123.47	61.42
1.58	126.62	65.36
1.59	121.66	67
1.6	0	64.11
1.61	0	55.97
1.62	0	45.38
1.63	0	37.76
1.64	0	28.97
1.65	0	23.55
1.66	0	25.54
1.67	0	43.27
1.68	0	54.86
1.69	0	60.73
1.7	0	67.83
1.71	144.49	72.01
1.72	142.86	73.07
1.73	140.67	73.64
1.74	138.23	74.03
1.75	136.54	73.83
1.76	135.46	73.33
1.77	134.18	72.75
1.78	132.7	71.64
1.79	0	68.38
1.8	0	60.53
1.81	0	47.23
1.82	0	46.74
1.83	0	52.23
1.84	0	54.62
1.85	0	58
1.86	0	63.79
1.87	123.13	67.55
1.88	122.01	68.61
1.89	120.68	68.11
1.9	122.07	66.34
1.91	123.24	65.53
1.92	123.48	65.91
1.93	120.83	64.35
1.94	0	58.81
1.95	0	52.44
1.96	0	49.65
1.97	0	47.89
1.98	0	44.34
1.99	0	41.98
2	0	41.51
2.01	0	40.38
2.02	0	39.12
2.03	0	37.75
2.04	0	36.23
2.05	0	35.83
2.06	0	34.79
2.07	0	33.28
2.08	0	32.6
2.09	0	32.62
2.1	0	32.18
2.11	0	32.21
2.12	0	31.65
2.13	0	0
2.14	0	0
2.15	0	0
?	?	?
