time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	30.57
0.05	0	30.43
0.06	0	29.91
0.07	0	29.97
0.08	0	29.79
0.09	0	31.88
0.1	0	33.15
0.11	0	32.14
0.12	0	33.77
0.13	0	38.57
0.14	0	43.6
0.15	0	47.11
0.16	0	49.58
0.17	0	50.52
0.18	0	52.15
0.19	0	54.47
0.2	0	55.42
0.21	0	55.57
0.22	0	55.84
0.23	0	55.8
0.24	0	57.56
0.25	0	64.49
0.26	0	67.77
0.27	0	67.81
0.28	0	67.42
0.29	0	67.87
0.3	0	69.28
0.31	177.04	71.19
0.32	182.88	72.5
0.33	182.99	72.71
0.34	182.09	72.03
0.35	179.47	71.03
0.36	175.52	68.65
0.37	172.71	65.15
0.38	168.7	63.92
0.39	162.03	63.42
0.4	155.83	62.75
0.41	149.72	64.77
0.42	144.97	69.05
0.43	138.03	71.13
0.44	136.01	71.22
0.45	133.48	70.18
0.46	132.4	68.86
0.47	131.61	67.71
0.48	130.78	66.52
0.49	129.49	64.67
0.5	128.78	61.77
0.51	127.69	58.91
0.52	126.45	57.55
0.53	125.15	56.87
0.54	123	55.81
0.55	0	54.05
0.56	0	52.02
0.57	0	50.89
0.58	0	51.01
0.59	0	51.46
0.6	0	52.64
0.61	0	55.23
0.62	0	62.5
0.63	148.03	70.65
0.64	146.09	76.45
0.65	148.7	79.92
0.66	151.95	81.82
0.67	154.96	83.11
0.68	156.94	84.03
0.69	159.34	84.42
0.7	162.24	84.14
0.71	166.62	82.87
0.72	168.64	81.5
0.73	168.1	79.4
0.74	164.16	74.4
0.75	0	64.21
0.76	0	45.4
0.77	0	28.65
0.78	0	28.68
0.79	0	35.78
0.8	0	44.61
0.81	0	49.3
0.82	0	52.15
0.83	0	51.67
0.84	0	51.18
0.85	0	59.01
0.86	0	65.58
0.87	0	68.57
0.88	122.49	69.93
0.89	118.99	70.75
0.9	118.76	71.12
0.91	118.41	70.81
0.92	117.56	69.94
0.93	117.47	68.61
0.94	115.66	66.63
0.95	114.06	63.48
0.96	0	59.17
0.97	0	58.67
0.98	0	60.62
0.99	0	62.15
1	0	63.13
1.01	0	64.04
1.02	0	66.39
1.03	0	67.71
1.04	0	66.79
1.05	0	65.99
1.06	0	63.67
1.07	0	60.15
1.08	0	55.39
1.09	0	54.37
1.1	0	62.21
1.11	138.25	66.04
1.12	130.25	66.18
1.13	128.72	65.33
1.14	125.92	64.55
1.15	123.77	63.75
1.16	122.4	63.69
1.17	121.72	64.22
1.18	120.96	64.46
1.19	119.08	63.9
1.2	117.32	62.47
1.21	117.6	61.07
1.22	118.86	60.63
1.23	119.83	61.01
1.24	121.75	62.87
1.25	123.43	65.77
1.26	125.48	69.1
1.27	127.18	72.46
1.28	129.16	75.07
1.29	130.15	76.34
1.3	130.41	76.97
1.31	132.13	77.37
1.32	132.01	77.24
1.33	131.61	76.49
1.34	131.68	75.37
1.35	132.06	74.13
1.36	133.05	72.2
1.37	133.24	68.54
1.38	130.98	62.42
1.39	0	53.29
1.4	0	47.26
1.41	0	49.24
1.42	0	55.17
1.43	0	57.52
1.44	0	61.63
1.45	0	65.66
1.46	0	67.51
1.47	0	68.4
1.48	0	67.3
1.49	0	60.83
1.5	0	49.98
1.51	0	49.02
1.52	0	47.16
1.53	0	43.51
1.54	0	50.95
1.55	0	61.85
1.56	117.09	65.76
1.57	129.51	66.13
1.58	120.74	65.52
1.59	120.18	64.01
1.6	119.26	60.64
1.61	120.01	56.83
1.62	0	54.87
1.63	0	52.83
1.64	0	49.63
1.65	0	44.18
1.66	0	35.89
1.67	0	28.4
1.68	0	29.66
1.69	0	40.44
1.7	0	45.74
1.71	0	49.04
1.72	0	54.32
1.73	0	56.29
1.74	0	56.64
1.75	0	55.56
1.76	0	57.18
1.77	0	66.87
1.78	129.31	72.43
1.79	127.68	73.72
1.8	124.08	73.38
1.81	121.67	72.61
1.82	120.63	71.78
1.83	119.59	70.84
1.84	120	69.98
1.85	122.24	69.84
1.86	122.34	69.98
1.87	124.22	70.28
1.88	124.83	70.29
1.89	125.82	68.73
1.9	125.05	65.04
1.91	0	59.27
1.92	0	58.86
1.93	0	63.14
1.94	0	64.79
1.95	0	65.2
1.96	0	64.91
1.97	0	64.5
1.98	0	63.69
1.99	0	60.71
2	0	55.32
2.01	0	47.69
2.02	0	50.47
2.03	0	57.8
2.04	111.28	59.42
2.05	111.34	58.19
2.06	110	55.89
2.07	0	52.3
2.08	0	48.06
2.09	0	46
2.1	0	45.48
2.11	0	44.81
2.12	0	43.82
2.13	0	43.11
2.14	0	43.06
2.15	0	42.79
2.16	0	0
2.17	0	0
2.18	0	0
?	?	?
