time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.07
0.04	0	27.03
0.05	0	26.77
0.06	0	26.34
0.07	0	26.4
0.08	0	26.82
0.09	0	27.9
0.1	0	29.96
0.11	0	32.14
0.12	0	34.65
0.13	0	47.66
0.14	0	60.72
0.15	159.56	69.17
0.16	159.96	75.09
0.17	160.95	79.05
0.18	161.45	81.74
0.19	161.38	83.35
0.2	161.01	84.21
0.21	160.1	84.6
0.22	159.21	84.7
0.23	158.49	84.42
0.24	157.47	83.47
0.25	156.47	82.14
0.26	157.22	81.7
0.27	159.7	82.56
0.28	160.67	82.93
0.29	161.24	82.8
0.3	161.02	82.58
0.31	160.05	82.23
0.32	158.51	81.56
0.33	156.1	80.65
0.34	152.28	79.65
0.35	149.35	79.02
0.36	147.7	78.71
0.37	145.98	78.5
0.38	144	77.5
0.39	140.68	73.65
0.4	0	65.07
0.41	0	53.72
0.42	0	49.45
0.43	0	47.84
0.44	0	45.86
0.45	0	44.81
0.46	0	53.51
0.47	0	61.66
0.48	0	63.77
0.49	0	65.22
0.5	0	67.84
0.51	0	70.4
0.52	0	70.77
0.53	0	69.73
0.54	0	67.44
0.55	0	70.31
0.56	156.64	77.06
0.57	157.32	80.73
0.58	158.42	82.88
0.59	159.35	84.24
0.6	159.88	84.85
0.61	160.34	84.96
0.62	160.75	84.68
0.63	161.23	83.86
0.64	162.28	82.52
0.65	163.9	81.08
0.66	165.56	80.04
0.67	166.85	79.57
0.68	167.14	79.25
0.69	166.28	78.17
0.7	164.73	75.38
0.71	161.99	71
0.72	161.5	67.38
0.73	0	66.52
0.74	0	67.24
0.75	0	67.61
0.76	0	67.77
0.77	161.8	68.1
0.78	164	69.47
0.79	166.07	70.9
0.8	166.07	71.23
0.81	165	70.33
0.82	163.49	68.49
0.83	161.89	66.93
0.84	160.51	66.52
0.85	159.12	66.42
0.86	157.81	66.29
0.87	156.48	66.14
0.88	154.65	65.96
0.89	152.82	65.81
0.9	151.36	65.76
0.91	150.17	65.75
0.92	150.01	66.36
0.93	152.69	68.65
0.94	151.14	71.42
0.95	151.77	73.91
0.96	153.34	75.56
0.97	154.67	76.51
0.98	156.01	76.96
0.99	157.33	77.08
1	157.83	76.88
1.01	157.33	76.24
1.02	155.44	74.55
1.03	153.3	71.36
1.04	0	69.04
1.05	0	69.78
1.06	0	70.84
1.07	0	72.22
1.08	0	71.9
1.09	0	70.49
1.1	0	69.08
1.11	0	65.68
1.12	0	58.97
1.13	0	56.68
1.14	168.11	63.82
1.15	159.38	65.79
1.16	157.01	65.64
1.17	156.18	65.43
1.18	156.5	67.68
1.19	154.89	74.09
1.2	154.39	78.68
1.21	153.74	80.91
1.22	152.59	81.68
1.23	152.05	81.9
1.24	151.79	81.99
1.25	151.76	82
1.26	152.36	81.97
1.27	153.03	81.9
1.28	153.32	81.75
1.29	154.25	81.53
1.3	156.35	81.12
1.31	160.09	80.46
1.32	163.6	79.5
1.33	166.64	77.52
1.34	0	74.35
1.35	0	71.16
1.36	0	68.95
1.37	0	66.87
1.38	0	66.2
1.39	0	65.24
1.4	0	59.4
1.41	0	46.68
1.42	0	32.58
1.43	0	30.44
1.44	0	28.24
1.45	0	26.54
1.46	0	27.01
1.47	0	44.65
1.48	0	61.23
1.49	0	67.54
1.5	0	68.74
1.51	0	73.46
1.52	149.57	77.25
1.53	147.27	78.57
1.54	147.43	79.35
1.55	148.26	80.21
1.56	148.72	80.67
1.57	148.22	79.98
1.58	146	77.15
1.59	0	70.34
1.6	0	57.79
1.61	0	43.57
1.62	0	34.12
1.63	0	27.59
1.64	0	36.15
1.65	0	55.45
1.66	0	64.13
1.67	0	65.1
1.68	0	61.76
1.69	0	65.18
1.7	135.65	68.75
1.71	131.75	68.95
1.72	127.95	67.59
1.73	0	64.74
1.74	0	62.87
1.75	0	64.97
1.76	0	67.14
1.77	0	67.95
1.78	0	67.8
1.79	0	67.3
1.8	0	66.95
1.81	0	66.81
1.82	0	65.28
1.83	0	60.96
1.84	0	55.5
1.85	0	51.76
1.86	0	49.12
1.87	0	44.88
1.88	0	39.8
1.89	0	39.02
1.9	0	48.15
1.91	0	55.3
1.92	0	58.16
1.93	0	59.38
1.94	0	59.89
1.95	0	59.96
1.96	0	58.41
1.97	0	54.74
1.98	0	51.5
1.99	0	48.76
2	0	46.48
2.01	0	45.85
2.02	0	45.08
2.03	0	43.39
2.04	0	41.5
2.05	0	39.78
2.06	0	38.95
2.07	0	37.87
2.08	0	37.79
2.09	0	0
2.1	0	0
2.11	0	0
