time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.76
0.04	0	32.83
0.05	0	31.24
0.06	0	30.77
0.07	0	29.84
0.08	0	29.3
0.09	0	29.86
0.1	0	32.57
0.11	0	39.48
0.12	0	45.35
0.13	0	46.76
0.14	0	46.64
0.15	0	45.21
0.16	0	52.33
0.17	0	63.24
0.18	123.79	68.09
0.19	125.61	69.72
0.2	127.69	70.9
0.21	128.77	71.79
0.22	130.23	72.29
0.23	131.5	72.5
0.24	131.93	71.77
0.25	131.03	68.54
0.26	0	61.44
0.27	0	51.69
0.28	0	45.26
0.29	0	60.87
0.3	0	71.06
0.31	0	72.88
0.32	0	68.45
0.33	0	64.09
0.34	0	74.08
0.35	153.68	82.01
0.36	152.17	85
0.37	152.7	85.87
0.38	153.88	85.87
0.39	155.74	85.56
0.4	157.21	85.26
0.41	157.86	84.97
0.42	158.05	84.46
0.43	158.43	83.79
0.44	158.81	83.13
0.45	159.44	82.63
0.46	159.3	82.33
0.47	156.44	81.64
0.48	153.44	80.06
0.49	148.99	77.26
0.5	145.48	72.47
0.51	0	64.55
0.52	0	62.79
0.53	0	65.27
0.54	0	67.58
0.55	134.72	71.09
0.56	135.75	73.97
0.57	136.67	75.66
0.58	137.67	76.64
0.59	137.48	77.26
0.6	137.62	77.56
0.61	139.02	77.39
0.62	139.77	76.48
0.63	139.29	73.89
0.64	0	67.87
0.65	0	60.47
0.66	136.03	67.07
0.67	136.73	73.73
0.68	135.67	78.01
0.69	134.41	81.54
0.7	132.19	83.58
0.71	130.23	83.84
0.72	128.5	82.35
0.73	124.58	78.35
0.74	0	70.75
0.75	0	60.17
0.76	0	55.02
0.77	0	54.36
0.78	0	53.86
0.79	0	52.99
0.8	0	52.98
0.81	0	61.51
0.82	0	68.16
0.83	124.89	72.03
0.84	124.54	75.97
0.85	126.07	79.31
0.86	129.52	81.38
0.87	137.14	81.91
0.88	142.29	81.3
0.89	148.76	80.02
0.9	156.03	78.44
0.91	161.98	77.6
0.92	166.77	77.44
0.93	172.39	77.86
0.94	179.16	78.77
0.95	180.74	78.99
0.96	180.22	78.46
0.97	176.02	77.86
0.98	167.71	78.4
0.99	159.63	80.44
1	153.24	81.38
1.01	0	80.76
1.02	0	79.92
1.03	82.98	77.65
1.04	84.51	74.09
1.05	0	70.21
1.06	0	65.45
1.07	0	63.78
1.08	0	58.44
1.09	0	43.9
1.1	0	30.66
1.11	0	29.38
1.12	0	29.47
1.13	0	29.9
1.14	0	30.14
1.15	0	30.55
1.16	0	31.47
1.17	0	31.4
1.18	0	0
1.19	0	0
1.2	0	0
