time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34.49
0.05	0	34.31
0.06	0	33.64
0.07	0	33.76
0.08	0	34.32
0.09	0	34.23
0.1	0	33.89
0.11	0	34.25
0.12	0	35.43
0.13	0	48.07
0.14	0	59.96
0.15	0	64.97
0.16	0	67.8
0.17	0	70.3
0.18	0	71.09
0.19	0	69.65
0.2	0	64.46
0.21	130.91	63.64
0.22	134.58	67.66
0.23	136.46	69.85
0.24	138.49	70.65
0.25	136.1	71.84
0.26	134.81	72.74
0.27	133.84	73.09
0.28	133.58	73.04
0.29	134.42	72.59
0.3	135.54	71.67
0.31	135.72	70.41
0.32	135.57	69.23
0.33	135.3	69.04
0.34	134.24	69.16
0.35	132.52	69.16
0.36	130.12	69
0.37	126.58	69.53
0.38	122.35	71.25
0.39	117.28	72.01
0.4	112.9	72.16
0.41	107.99	72.27
0.42	103.93	72.29
0.43	99.57	72.54
0.44	96.16	72.91
0.45	93.59	72.41
0.46	91.93	70.46
0.47	94.21	68.6
0.48	94.48	67.63
0.49	97.36	65.95
0.5	99.27	64.04
0.51	98.34	62.92
0.52	96.89	61.93
0.53	98.35	61.56
0.54	99.44	63.25
0.55	102.83	66.25
0.56	105.81	69.69
0.57	106.4	72.58
0.58	106.05	74.46
0.59	106.6	76.32
0.6	108.08	78.1
0.61	109.53	79.09
0.62	110.59	79.64
0.63	111.2	79.95
0.64	111.28	79.39
0.65	111.23	77.07
0.66	0	71.23
0.67	0	64.09
0.68	0	69.84
0.69	116.26	76.74
0.7	116.45	79.61
0.71	116.5	80.51
0.72	116.88	80.73
0.73	117.54	80.38
0.74	118.44	79.8
0.75	118.49	79.34
0.76	117.96	78.64
0.77	117.42	77.35
0.78	117	74.75
0.79	118.06	71.22
0.8	118.09	69.95
0.81	117.07	69.77
0.82	115.83	70.43
0.83	117.63	73.43
0.84	114.49	75.85
0.85	112.93	76.84
0.86	113.22	77.27
0.87	113.51	77.55
0.88	114.42	77.73
0.89	116.18	78.09
0.9	117.65	78.24
0.91	120.19	78.07
0.92	121.98	76.46
0.93	123.68	72.53
0.94	124.19	67.86
0.95	0	64.28
0.96	0	63.95
0.97	0	66.51
0.98	0	69.32
0.99	0	70.71
1	0	70.77
1.01	0	71.36
1.02	0	71.29
1.03	0	68.49
1.04	0	61.14
1.05	0	51.86
1.06	0	47.77
1.07	0	49.24
1.08	0	56.35
1.09	0	65.75
1.1	113.74	69.86
1.11	110.96	69.78
1.12	109.27	66.66
1.13	109.75	64.93
1.14	113.19	65.23
1.15	113.59	65.5
1.16	113.29	65.66
1.17	112.9	65.85
1.18	112.51	67.17
1.19	109.96	71.48
1.2	109.66	74.61
1.21	112.47	75.56
1.22	113.6	75.91
1.23	114.58	76
1.24	116.04	76.24
1.25	117.21	76.81
1.26	117.99	77.43
1.27	118.57	77.78
1.28	119.68	77.87
1.29	120.92	78.01
1.3	120.85	78.14
1.31	119.97	77.85
1.32	118.72	76.32
1.33	118.6	73.34
1.34	119.49	73.27
1.35	115.77	75.11
1.36	110.97	76
1.37	107.83	75.96
1.38	105.46	74.69
1.39	102.83	72.46
1.4	100.22	70.26
1.41	97.78	68.66
1.42	95.97	67.54
1.43	95.47	66.83
1.44	96.07	66.53
1.45	97.44	66.69
1.46	94.78	66.69
1.47	92.55	65.88
1.48	92.08	64.65
1.49	0	62.86
1.5	0	60.12
1.51	0	55.98
1.52	0	52.91
1.53	0	50.85
1.54	0	48.91
1.55	0	49.77
1.56	0	52.14
1.57	0	55.66
1.58	0	57.79
1.59	0	56.48
1.6	0	53.97
1.61	0	51.4
1.62	0	49.28
1.63	0	49.54
1.64	0	54.32
1.65	0	56.17
1.66	0	57.86
1.67	0	60.36
1.68	0	58.62
1.69	0	58.45
1.7	0	58.13
1.71	0	59.43
1.72	0	59.64
1.73	0	58
1.74	0	59.47
1.75	0	57.26
1.76	0	57.39
1.77	0	57.87
1.78	0	53.34
1.79	0	54.04
1.8	0	54.11
1.81	0	49.53
1.82	0	44.01
1.83	0	43.87
1.84	0	44.73
1.85	0	45.07
1.86	0	46.14
1.87	0	46.77
1.88	0	46.9
1.89	0	46.32
1.9	0	0
1.91	0	0
1.92	0	0
?	?	?
