time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.41
0.04	0	32.56
0.05	0	31.46
0.06	0	32.06
0.07	0	32.87
0.08	0	32.57
0.09	0	32.02
0.1	0	33.2
0.11	0	33.84
0.12	0	39.41
0.13	0	53.61
0.14	0	62.98
0.15	0	68.18
0.16	120.78	70.34
0.17	120.48	71.32
0.18	119.16	71.8
0.19	116.95	71.74
0.2	113.79	71.08
0.21	110	70.04
0.22	106.22	68.8
0.23	103.28	67.46
0.24	101.96	67.52
0.25	102.77	69.77
0.26	104.87	72.75
0.27	105.71	75.03
0.28	105.09	75.88
0.29	103.18	75.49
0.3	99.23	73.73
0.31	0	70.4
0.32	0	68.04
0.33	0	69.83
0.34	0	72.37
0.35	0	73.92
0.36	0	74.26
0.37	0	71.62
0.38	0	64.53
0.39	0	53.83
0.4	0	40.17
0.41	0	30.5
0.42	0	35.93
0.43	0	51.3
0.44	0	57.89
0.45	0	59.99
0.46	0	62.1
0.47	0	66.84
0.48	120.54	72.22
0.49	119.1	76.07
0.5	117.3	78.63
0.51	115.08	80.16
0.52	114.32	80.99
0.53	114.61	81.3
0.54	115.52	81.08
0.55	116.42	80.79
0.56	117.51	80.54
0.57	119.01	80.17
0.58	120.48	79.4
0.59	121.23	77.54
0.6	121.63	74.11
0.61	123.37	70.76
0.62	123.61	69.32
0.63	123.39	68.64
0.64	122.99	68.26
0.65	121.5	67.71
0.66	119.41	67.36
0.67	117.55	68.88
0.68	116.46	71.13
0.69	115.42	71.81
0.7	112.6	70.42
0.71	106.87	66.53
0.72	100.79	60.65
0.73	97.36	56.98
0.74	100.09	58.87
0.75	105.11	64.4
0.76	107.29	69.81
0.77	107.75	73.76
0.78	108.01	76.9
0.79	107.6	79.36
0.8	106.85	80.48
0.81	106.33	80.43
0.82	106.62	80.47
0.83	107.15	81.12
0.84	107.85	81.86
0.85	108.6	82.54
0.86	109.05	83.08
0.87	109.55	83.46
0.88	110.32	83.62
0.89	110.46	83.51
0.9	109.06	82.58
0.91	96.1	80.16
0.92	91.21	74.5
0.93	0	67.75
0.94	0	58.67
0.95	0	40.68
0.96	0	32.81
0.97	0	43.92
0.98	0	51.93
0.99	0	57.7
1	104.18	61.78
1.01	102.65	66.97
1.02	101.29	72.83
1.03	100.12	76.24
1.04	98.61	76.87
1.05	97.86	76.35
1.06	97.86	75.59
1.07	97.83	74.77
1.08	96.62	73.4
1.09	95.1	70.63
1.1	92.4	66.23
1.11	0	61.06
1.12	0	60.53
1.13	0	63.89
1.14	0	66.63
1.15	0	68.43
1.16	0	69.68
1.17	0	70.16
1.18	0	69.8
1.19	0	68.22
1.2	0	65.11
1.21	0	64.45
1.22	0	71.58
1.23	0	75.71
1.24	110.71	77.16
1.25	109.61	77.83
1.26	108.13	78.01
1.27	106.75	78.08
1.28	103.79	78.35
1.29	99.48	79.12
1.3	95.14	79.91
1.31	90.41	79.75
1.32	85.82	78.94
1.33	82.96	77.95
1.34	81.73	76.46
1.35	82	74.56
1.36	0	71.17
1.37	0	62.83
1.38	0	53.14
1.39	0	53.32
1.4	0	55.87
1.41	0	55.54
1.42	0	54.63
1.43	0	54.02
1.44	0	53.18
1.45	0	52.21
1.46	0	51.74
1.47	0	51.51
1.48	0	50.61
1.49	0	49.34
1.5	0	49.14
1.51	0	48.87
1.52	0	47.74
1.53	0	47.16
1.54	0	46.71
1.55	0	45.83
1.56	0	44.7
1.57	0	45.09
1.58	0	45.07
1.59	0	43.71
1.6	0	42.65
1.61	0	41.69
1.62	0	40.64
1.63	0	39.06
1.64	0	36.93
1.65	0	35.51
1.66	0	34.04
1.67	0	32.04
1.68	0	30.87
1.69	0	0
1.7	0	0
1.71	0	0
?	?	?
