time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.83
0.05	0	32.53
0.06	0	32.44
0.07	0	33.16
0.08	0	34.12
0.09	0	36.69
0.1	0	40.12
0.11	0	41.26
0.12	0	46.41
0.13	0	57.57
0.14	0	61.06
0.15	0	57.73
0.16	0	53.72
0.17	0	47.98
0.18	0	44.92
0.19	0	47.03
0.2	0	59.31
0.21	0	70.47
0.22	0	74.83
0.23	116.91	75.35
0.24	117.65	75.29
0.25	117.37	75.56
0.26	117.79	75.65
0.27	118.75	75.6
0.28	119.52	75.69
0.29	123.87	77.73
0.3	122.59	80.48
0.31	122.82	81.15
0.32	122.43	80.98
0.33	123.42	81
0.34	124.38	81.14
0.35	125.38	81.37
0.36	126.89	81.38
0.37	127.99	81.56
0.38	129.04	81.3
0.39	128.99	79.68
0.4	124.28	76.43
0.41	0	71.8
0.42	0	70.26
0.43	0	74.48
0.44	0	77.46
0.45	0	79.13
0.46	0	79.22
0.47	0	79.02
0.48	0	78.46
0.49	0	78.02
0.5	0	78.21
0.51	0	78.41
0.52	0	77.6
0.53	0	74.9
0.54	0	69.55
0.55	0	57.64
0.56	0	40.17
0.57	0	32.96
0.58	0	32.47
0.59	0	32.41
0.6	0	34.56
0.61	0	51.15
0.62	0	63.41
0.63	0	67.35
0.64	0	65.11
0.65	0	62.93
0.66	0	70.16
0.67	0	78.8
0.68	0	82.36
0.69	128.91	83.6
0.7	126.87	84.1
0.71	125.11	84.37
0.72	123.72	84.23
0.73	122.36	83.61
0.74	121.8	82.71
0.75	121.34	81.31
0.76	120.64	79.1
0.77	118.95	76.18
0.78	0	73.45
0.79	0	72.89
0.8	0	76.12
0.81	0	80.89
0.82	0	82.4
0.83	0	80.99
0.84	0	79.52
0.85	0	79.36
0.86	0	81.8
0.87	0	83.06
0.88	0	81.85
0.89	0	78.45
0.9	0	72.44
0.91	0	71.53
0.92	130.34	74.9
0.93	127.18	75.74
0.94	124.78	74.5
0.95	121.75	72.08
0.96	121.79	71.39
0.97	120.53	70.99
0.98	118.58	70.34
0.99	117.54	70.35
1	117.62	72.88
1.01	115.39	76.1
1.02	113.23	77.6
1.03	112.42	78.03
1.04	111.54	77.75
1.05	111.21	77.51
1.06	111.68	77.48
1.07	113.1	77.73
1.08	113.86	77.2
1.09	112.56	74.42
1.1	0	71.01
1.11	0	73.43
1.12	0	76.53
1.13	0	77.89
1.14	0	77.87
1.15	0	77.79
1.16	0	78.12
1.17	0	77.98
1.18	0	77.48
1.19	0	77
1.2	0	75.03
1.21	0	72.34
1.22	128.65	76.98
1.23	127.67	81.16
1.24	125.64	82.98
1.25	123.55	83.43
1.26	121.74	82.74
1.27	119.24	82.04
1.28	118.01	82.56
1.29	116.68	83.7
1.3	115.19	84.28
1.31	112.8	84.23
1.32	110.83	83.78
1.33	110.44	83.15
1.34	111.27	82
1.35	112.14	80.91
1.36	112.13	79.09
1.37	111.11	76.27
1.38	106.82	72.21
1.39	0	71.18
1.4	0	75
1.41	0	75.71
1.42	0	73.69
1.43	0	72.18
1.44	0	69.52
1.45	0	64.05
1.46	0	54.23
1.47	0	45.79
1.48	0	48.98
1.49	0	60.42
1.5	113.59	66.57
1.51	104.13	69.97
1.52	98.45	71.92
1.53	97.36	72.57
1.54	96.87	71.99
1.55	96.82	69.42
1.56	97.46	65.54
1.57	100.37	63.99
1.58	99.5	63.29
1.59	99.03	62.57
1.6	0	64.18
1.61	0	69.56
1.62	0	74.98
1.63	0	78.34
1.64	0	79.69
1.65	0	80.66
1.66	0	80.56
1.67	0	79.76
1.68	0	77.55
1.69	0	73.89
1.7	0	68.38
1.71	0	62.43
1.72	0	68.69
1.73	0	73.7
1.74	0	75.54
1.75	103.34	76.28
1.76	101.89	75.94
1.77	98.69	76.65
1.78	97.03	77.46
1.79	95.09	77.94
1.8	92.47	78.08
1.81	91.92	77.12
1.82	108.01	75.15
1.83	0	73.08
1.84	0	66.79
1.85	0	51.79
1.86	0	41.21
1.87	0	37.66
1.88	0	33.2
1.89	0	31.31
1.9	0	30.96
1.91	0	31.32
1.92	0	35.67
1.93	0	41.26
1.94	0	41.44
1.95	0	37.97
1.96	0	37.65
1.97	0	39.23
1.98	0	40.9
1.99	0	42.04
2	0	42.01
2.01	0	41.74
2.02	0	41.63
2.03	0	41.45
2.04	0	40.39
2.05	0	40.03
2.06	0	40.72
2.07	0	40.62
2.08	0	39.86
2.09	0	40.29
2.1	0	40.47
2.11	0	40.13
2.12	0	40.22
2.13	0	40.13
2.14	0	39.53
2.15	0	39.35
2.16	0	39.02
2.17	0	38.61
2.18	0	38.57
2.19	0	38.73
2.2	0	38.25
2.21	0	36.86
2.22	0	35.54
2.23	0	35.4
2.24	0	34.71
2.25	0	33.16
2.26	0	32.39
2.27	0	34.99
2.28	0	36.92
2.29	0	34.09
2.3	0	32.68
2.31	0	34.38
2.32	0	40.13
2.33	0	43.71
2.34	0	43.14
2.35	0	38.86
2.36	0	34.29
2.37	0	32.04
2.38	0	31.4
2.39	0	31.99
2.4	0	33.86
2.41	0	33.15
2.42	0	31.85
2.43	0	31.47
2.44	0	0
2.45	0	0
2.46	0	0
2.47	0	0
