time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.13
0.05	0	28.24
0.06	0	27.98
0.07	0	27.64
0.08	0	26.99
0.09	0	27.06
0.1	0	27.91
0.11	0	28.61
0.12	0	28.87
0.13	0	41.37
0.14	0	54.35
0.15	0	61.48
0.16	0	64.34
0.17	0	64.53
0.18	0	64.31
0.19	0	72.41
0.2	147.83	78.99
0.21	148.63	81.78
0.22	150	82.37
0.23	150.58	81.42
0.24	150.06	79.7
0.25	148.72	77.34
0.26	145.17	73.1
0.27	144.74	68.02
0.28	145.17	66.63
0.29	144.21	66.57
0.3	143.1	67.44
0.31	141.87	70.04
0.32	141.52	72.57
0.33	141.79	74.28
0.34	142.13	75.25
0.35	141.92	76.25
0.36	141.45	77.4
0.37	141.25	78.65
0.38	141.33	79.97
0.39	141.29	80.79
0.4	141.43	81.34
0.41	142.19	82.06
0.42	142.86	82.36
0.43	142.31	81.94
0.44	140.78	80.98
0.45	138.22	79.36
0.46	134.53	76.83
0.47	130.94	73.39
0.48	0	70.64
0.49	0	71.25
0.5	0	72.42
0.51	0	73.64
0.52	0	74.45
0.53	0	71.83
0.54	0	68.98
0.55	0	71.03
0.56	0	69.73
0.57	0	64.29
0.58	0	55.76
0.59	0	47.51
0.6	0	50.44
0.61	115.79	59.51
0.62	115.92	67.99
0.63	113.84	74.66
0.64	111.71	78.63
0.65	111.14	80.22
0.66	110.36	80.72
0.67	109.98	80.96
0.68	110.54	81.08
0.69	111.18	81.06
0.7	111.43	80.77
0.71	111.34	80.29
0.72	111.4	79.8
0.73	111.3	79.21
0.74	110.78	77.71
0.75	110.01	74.86
0.76	110.73	73.07
0.77	111.59	74.27
0.78	112.94	76.73
0.79	113.19	79.21
0.8	111.74	80.27
0.81	111.18	80.13
0.82	110.63	80.21
0.83	109.21	79.59
0.84	107.99	78.11
0.85	107.63	75.83
0.86	106.9	71.51
0.87	0	63.36
0.88	0	55.26
0.89	0	53.25
0.9	0	52.19
0.91	0	50.23
0.92	0	48.52
0.93	0	57.46
0.94	0	64.82
0.95	118.8	67.86
0.96	117.17	71.22
0.97	116.03	73.89
0.98	117.77	75.64
0.99	119.68	76.98
1	120.49	77.49
1.01	120.41	77.47
1.02	119.6	77.27
1.03	118.72	77.4
1.04	117.9	78.19
1.05	116.86	79.49
1.06	115.52	80.79
1.07	113.77	81.68
1.08	112.62	82.48
1.09	112.26	83.62
1.1	111.79	84.15
1.11	111.5	84.02
1.12	111.45	84.14
1.13	112.57	83.81
1.14	113.5	82.85
1.15	111.84	80.54
1.16	108.65	77.41
1.17	0	72.5
1.18	0	63.05
1.19	0	46.32
1.2	0	34.89
1.21	0	35.26
1.22	0	43.85
1.23	0	55.38
1.24	0	60.76
1.25	0	64.32
1.26	0	67.57
1.27	0	68.8
1.28	0	67.25
1.29	0	65.08
1.3	0	63.08
1.31	0	64.86
1.32	119.59	72.41
1.33	118.57	76.18
1.34	116.55	76.39
1.35	115.06	75.14
1.36	114.05	73.62
1.37	113.16	72.19
1.38	112.08	71.7
1.39	111.01	72.49
1.4	110.45	74.4
1.41	109.93	76.06
1.42	109.12	77.21
1.43	108.41	77.81
1.44	108.04	77.96
1.45	107.78	77.32
1.46	107.36	75.84
1.47	106.79	74.26
1.48	106.11	72.62
1.49	104.82	70.66
1.5	103.98	69.36
1.51	104.26	70.5
1.52	105.16	73.52
1.53	106.5	76.51
1.54	107.01	79.08
1.55	106.28	80.82
1.56	104.99	81.86
1.57	103.74	82.5
1.58	103.69	82.02
1.59	103.6	81.47
1.6	103.16	80.92
1.61	102.81	79.76
1.62	102.75	79.27
1.63	102.36	78.53
1.64	100.99	76.85
1.65	100.76	74.3
1.66	0	68.97
1.67	0	58.31
1.68	0	48.88
1.69	0	50.78
1.7	0	56.73
1.71	0	61.02
1.72	113.41	67.34
1.73	111.23	72.72
1.74	108.64	76.13
1.75	107.66	77.66
1.76	106.84	77.51
1.77	106.06	76.74
1.78	105.42	75.25
1.79	103.99	71.65
1.8	101.22	64.89
1.81	0	54.52
1.82	0	43.04
1.83	0	46.67
1.84	0	54.88
1.85	0	62.11
1.86	0	66.88
1.87	0	69.12
1.88	0	68.92
1.89	0	67.13
1.9	0	64.2
1.91	0	60.01
1.92	0	61.46
1.93	0	64.16
1.94	0	65.12
1.95	0	63.48
1.96	0	59.05
1.97	0	57.79
1.98	0	54.37
1.99	0	46.83
2	0	45.33
2.01	0	48.28
2.02	0	49.49
2.03	0	53.68
2.04	0	62.43
2.05	0	67.55
2.06	0	68.48
2.07	0	68.07
2.08	0	68.01
2.09	0	68.12
2.1	0	68.11
2.11	0	68.03
2.12	0	68.37
2.13	0	67.9
2.14	0	67.47
2.15	0	65.65
2.16	0	63.68
2.17	0	64
2.18	0	64.08
2.19	0	62.46
2.2	0	59.32
2.21	0	55.18
2.22	0	51.34
2.23	0	43.92
2.24	0	35.92
2.25	0	34.72
2.26	0	34.65
2.27	0	34.2
2.28	0	33.03
2.29	0	31.71
2.3	0	31.7
2.31	0	33.29
2.32	0	0
2.33	0	0
2.34	0	0
?	?	?
