time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	35.23
0.05	0	32.43
0.06	0	30.34
0.07	0	28.87
0.08	0	27.71
0.09	0	28.28
0.1	0	29.37
0.11	0	30.07
0.12	0	42.32
0.13	0	53.48
0.14	0	60.67
0.15	0	70.89
0.16	0	77
0.17	116.96	78.94
0.18	115.95	78.9
0.19	112.17	77.7
0.2	110.39	76.23
0.21	108.55	74.04
0.22	0	69.89
0.23	0	62.21
0.24	0	57.74
0.25	0	60.44
0.26	0	63.25
0.27	0	64.26
0.28	0	64.36
0.29	0	64.64
0.3	0	65.44
0.31	0	66.28
0.32	0	66.77
0.33	0	69.46
0.34	120.51	73.78
0.35	122.93	76.71
0.36	125.01	79
0.37	125.85	80.51
0.38	125.71	81.18
0.39	126.61	81.68
0.4	127.96	82.17
0.41	0	82.18
0.42	0	82.01
0.43	133.29	81.44
0.44	133.94	80.77
0.45	135.2	79.76
0.46	135.7	78.5
0.47	136.3	77.03
0.48	136.37	75.58
0.49	135.76	74.05
0.5	134.82	71.75
0.51	131.38	67.4
0.52	129.83	62.96
0.53	130.03	61.81
0.54	129.66	62
0.55	128.89	62.07
0.56	129.17	62.84
0.57	135.98	68.42
0.58	136.79	73.36
0.59	136.46	75.34
0.6	136.48	76.12
0.61	135.96	76.51
0.62	135.12	76.61
0.63	134.09	76.18
0.64	132.19	74.11
0.65	0	68.56
0.66	0	64.22
0.67	131.22	67.31
0.68	131.48	71.04
0.69	131.27	73.53
0.7	130.05	74.83
0.71	129.04	75.33
0.72	127.79	75.35
0.73	126.64	75.12
0.74	125.3	74.7
0.75	123.72	74.07
0.76	121.92	73.21
0.77	120.54	72.38
0.78	119.62	71.91
0.79	119.69	71.78
0.8	119.86	71.95
0.81	120.29	72.2
0.82	120.5	72.41
0.83	120.76	72.46
0.84	122.13	73.2
0.85	124.01	76.58
0.86	124.11	79.18
0.87	124.52	79.98
0.88	125.02	80.6
0.89	125.39	81.15
0.9	125.01	81.5
0.91	124.23	81.69
0.92	123.48	81.8
0.93	122.25	81.98
0.94	120.84	82.19
0.95	118.25	82.36
0.96	115.91	82.43
0.97	113.09	82.16
0.98	110.07	81.23
0.99	107.29	79.86
1	104.11	78.36
1.01	100.8	76.28
1.02	97.67	72.66
1.03	95.93	68.33
1.04	95.04	64.77
1.05	94.44	61.41
1.06	94.56	58.02
1.07	95.17	54.06
1.08	0	49.4
1.09	0	48.43
1.1	0	53.12
1.11	0	57.45
1.12	0	59.15
1.13	0	60.45
1.14	0	60.91
1.15	0	61.15
1.16	0	60.17
1.17	0	57.85
1.18	0	55.43
1.19	0	52.36
1.2	0	49.07
1.21	0	47.83
1.22	0	47.56
1.23	0	46.26
1.24	0	45.2
1.25	0	43.84
1.26	0	42.76
1.27	0	41.76
1.28	0	39.23
1.29	0	36.81
1.3	0	34.22
1.31	0	37.37
1.32	0	52.2
1.33	0	60
1.34	0	62.47
1.35	0	65.8
1.36	0	67.59
1.37	103.01	67.54
1.38	102.68	66.36
1.39	101.59	64.14
1.4	99.31	61.4
1.41	97.2	58.29
1.42	0	53.59
1.43	0	49.54
1.44	0	52.62
1.45	0	53.19
1.46	0	52.85
1.47	0	54.95
1.48	0	53.78
1.49	0	55.32
1.5	0	58.74
1.51	0	60.9
1.52	0	65.63
1.53	109.81	69.72
1.54	105.82	70.82
1.55	105.05	71.28
1.56	107.65	72.76
1.57	108.64	74.42
1.58	109.53	75.38
1.59	110.48	75.68
1.6	110.92	75.3
1.61	110.45	73.46
1.62	108.3	69.61
1.63	106.62	64.67
1.64	107.17	59.89
1.65	0	57.95
1.66	0	60.05
1.67	0	61.56
1.68	0	62.88
1.69	0	64.08
1.7	0	62.63
1.71	0	60.15
1.72	0	58.36
1.73	0	61.81
1.74	0	68.11
1.75	0	70.82
1.76	100.52	70.52
1.77	97.29	70.22
1.78	94.35	70.36
1.79	91.41	69.42
1.8	88.35	67.32
1.81	87.85	63.57
1.82	0	56.79
1.83	0	48.17
1.84	0	43.09
1.85	0	41.31
1.86	0	39.54
1.87	0	38.4
1.88	0	39.05
1.89	0	43.01
1.9	0	46.24
1.91	0	47
1.92	0	46.82
1.93	0	46.5
1.94	0	45.39
1.95	0	42.68
1.96	0	40.35
1.97	0	38.87
1.98	0	36.28
1.99	0	33.53
2	0	0
2.01	0	0
2.02	0	0
