time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	34.5
0.04	0	34.28
0.05	0	33.47
0.06	0	33.37
0.07	0	33.28
0.08	0	32.77
0.09	0	32.75
0.1	0	32.81
0.11	0	32.17
0.12	0	39.26
0.13	0	49.32
0.14	0	51.19
0.15	0	44.33
0.16	0	33.36
0.17	0	36.92
0.18	0	44.63
0.19	0	50.41
0.2	0	54.15
0.21	0	64.41
0.22	110.94	71.89
0.23	110.83	74.73
0.24	108.33	76
0.25	106.54	76.57
0.26	104.31	76.28
0.27	102.33	75.16
0.28	100.82	72.86
0.29	98.59	69.41
0.3	0	66.27
0.31	0	65.23
0.32	0	64.07
0.33	0	60.86
0.34	0	55.45
0.35	0	49.99
0.36	0	54.26
0.37	0	62.24
0.38	111.13	67.09
0.39	109.57	68.76
0.4	108.45	69.51
0.41	108.98	72.27
0.42	109.43	74.91
0.43	110.09	75.92
0.44	111.64	76.57
0.45	113.42	77.4
0.46	114.74	78.07
0.47	115.65	78.06
0.48	116.01	77.34
0.49	115.77	76.39
0.5	114.93	75.27
0.51	0	72.21
0.52	0	64.69
0.53	0	53.73
0.54	0	52.15
0.55	0	63.97
0.56	0	70.56
0.57	0	74.83
0.58	0	77.37
0.59	0	77.35
0.6	0	76.4
0.61	0	74.05
0.62	0	70.01
0.63	0	64.58
0.64	0	67.47
0.65	0	74.75
0.66	120.76	78.26
0.67	119.76	79.48
0.68	119.13	79.93
0.69	118.45	80.08
0.7	118.18	79.94
0.71	117.94	79.95
0.72	117.42	79.86
0.73	116.84	79.52
0.74	116.35	79.3
0.75	115.57	79.06
0.76	114.57	78.46
0.77	113.57	77.36
0.78	112.44	75.15
0.79	107.53	71.08
0.8	100.26	65.41
0.81	0	59.23
0.82	0	58.43
0.83	0	62.08
0.84	0	63.65
0.85	0	64.07
0.86	0	64.1
0.87	0	63.21
0.88	0	60.08
0.89	0	54.57
0.9	0	54.53
0.91	0	62.41
0.92	108.46	65.94
0.93	107.06	66.55
0.94	105.28	66.46
0.95	104.25	67.76
0.96	101.06	71.48
0.97	99.59	73.77
0.98	99.12	74.95
0.99	98.93	75.67
1	98.55	75.75
1.01	97.8	75.53
1.02	97.81	75.71
1.03	98.01	76.35
1.04	97.76	76.83
1.05	97.44	77.14
1.06	96.91	77.3
1.07	97.12	77.74
1.08	96.92	78.53
1.09	96.91	79.17
1.1	97.01	79.29
1.11	97.81	78.67
1.12	97.76	76.67
1.13	96.5	72.31
1.14	93.89	65.94
1.15	91.96	60.08
1.16	92.97	57.25
1.17	98.65	58.56
1.18	101.29	61.44
1.19	0	63.32
1.2	0	66.54
1.21	0	67.63
1.22	0	61.47
1.23	0	50.11
1.24	0	49.39
1.25	0	55.79
1.26	0	66.94
1.27	0	73.48
1.28	0	76.2
1.29	106.55	77.55
1.3	106.64	78.96
1.31	105.59	80.7
1.32	102.85	81.94
1.33	102.27	82.27
1.34	102.81	82
1.35	103.2	80.93
1.36	103.3	78.78
1.37	103.13	76.01
1.38	101.78	73.12
1.39	101.28	71.97
1.4	102.33	74.25
1.41	101.41	74.52
1.42	95	69.8
1.43	92.72	63.42
1.44	93.79	61.87
1.45	95.56	64.85
1.46	97.05	69.67
1.47	99.17	74
1.48	98.98	76.24
1.49	97.55	76.42
1.5	96.15	75.6
1.51	95.27	73.75
1.52	92.46	69.86
1.53	0	64.18
1.54	0	62.59
1.55	0	65.08
1.56	0	66.88
1.57	0	68.1
1.58	0	66.69
1.59	0	61.76
1.6	0	57.73
1.61	0	54.35
1.62	0	43.42
1.63	0	36.84
1.64	0	54.17
1.65	0	65.51
1.66	0	68.01
1.67	0	69.9
1.68	113.56	74.46
1.69	106.7	76.92
1.7	105.91	77.91
1.71	105.52	77.72
1.72	104.23	76.68
1.73	101.53	74.4
1.74	98.66	72.07
1.75	99.12	72.53
1.76	99.58	73.18
1.77	99.19	72.16
1.78	98.15	70.55
1.79	97.11	69.54
1.8	96.68	68.69
1.81	94.35	67.31
1.82	93.35	64.85
1.83	93.72	64.77
1.84	93.5	67.14
1.85	92.9	68.79
1.86	92.3	69.55
1.87	91.38	69.91
1.88	91.25	70
1.89	91.32	69.83
1.9	91.2	69.47
1.91	91.22	68.95
1.92	91.33	68.57
1.93	91.63	68.49
1.94	91.61	68.52
1.95	92.44	69.08
1.96	93.57	70.54
1.97	95.06	71.85
1.98	95.09	72.5
1.99	94.61	73.08
2	94.52	73.99
2.01	94.68	75.22
2.02	94.34	75.78
2.03	94.1	75.55
2.04	93.72	75.21
2.05	93.17	74.66
2.06	92.73	74.03
2.07	91.95	73.23
2.08	90.74	71.94
2.09	89.1	70.47
2.1	88.06	69.1
2.11	87.31	68.25
2.12	86.84	66.53
2.13	84.7	62.91
2.14	0	57.6
2.15	0	52.62
2.16	0	48.97
2.17	0	45.46
2.18	0	41.57
2.19	0	36.72
2.2	0	34.28
2.21	0	33.4
2.22	0	33.48
2.23	0	33.81
2.24	0	0
2.25	0	0
2.26	0	0
?	?	?
