time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.6
0.05	0	32.4
0.06	0	31.75
0.07	0	32.48
0.08	0	35.53
0.09	0	38.77
0.1	0	41.26
0.11	0	43.8
0.12	0	50.17
0.13	0	62.68
0.14	0	71.57
0.15	105.26	75.66
0.16	107.17	77.62
0.17	107.81	79.13
0.18	107.88	80.35
0.19	108.48	81.09
0.2	109.19	81.45
0.21	110.16	81.62
0.22	111.14	81.22
0.23	111.98	79.55
0.24	111.98	76.48
0.25	110.09	71.82
0.26	0	68.49
0.27	0	70.94
0.28	0	74.09
0.29	0	74.89
0.3	0	71.63
0.31	0	65.36
0.32	0	61.4
0.33	107.89	61.15
0.34	109.66	62.65
0.35	110.01	64.54
0.36	109.57	66.61
0.37	110	68.32
0.38	111.44	69.42
0.39	113.35	70.21
0.4	114.01	70.89
0.41	113.89	71.24
0.42	113.69	71.27
0.43	112.91	71.34
0.44	112.03	71.5
0.45	110.31	71.92
0.46	109.72	72.71
0.47	110.45	73.83
0.48	111.58	75.21
0.49	112.16	76.16
0.5	114.24	76.87
0.51	115.79	77.86
0.52	117.53	78.69
0.53	120.12	78.96
0.54	122.57	79
0.55	125.86	79.17
0.56	127.89	79.53
0.57	129.56	79.61
0.58	131.15	78.99
0.59	131.73	77.68
0.6	129.52	75.94
0.61	122.67	73.24
0.62	0	68.79
0.63	0	62.23
0.64	0	50.51
0.65	0	44.99
0.66	0	46.75
0.67	0	43.38
0.68	0	41.7
0.69	0	42.38
0.7	0	45.36
0.71	0	53.95
0.72	112.97	61.4
0.73	116.16	65.19
0.74	118.61	67.32
0.75	119.54	68.43
0.76	119.78	69.26
0.77	118.93	70.09
0.78	117.76	70.29
0.79	114.85	69.54
0.8	110.94	68.18
0.81	111.01	66.16
0.82	111.61	62.7
0.83	0	55.93
0.84	0	43.12
0.85	0	29.65
0.86	0	29.62
0.87	0	48.06
0.88	0	61.77
0.89	0	68.29
0.9	0	70.13
0.91	0	67.91
0.92	0	63.59
0.93	0	59.33
0.94	0	63.36
0.95	0	72.34
0.96	121.05	77.18
0.97	119.03	79.41
0.98	116.68	80.29
0.99	115.01	80.56
1	114.05	80.51
1.01	112.76	80.31
1.02	111.45	80.16
1.03	110	79.98
1.04	108.65	79.58
1.05	106.77	79.11
1.06	104.84	78.76
1.07	102.31	78.57
1.08	99.49	78.14
1.09	96.21	76.93
1.1	93.15	75.13
1.11	89.46	73.12
1.12	0	70.57
1.13	0	66.13
1.14	0	58.44
1.15	0	47.88
1.16	0	37.69
1.17	0	33.87
1.18	0	40.02
1.19	0	42.2
1.2	0	38.47
1.21	0	34.41
1.22	0	32.06
1.23	0	33.43
1.24	0	46.37
1.25	0	58.38
1.26	0	62.82
1.27	0	63.29
1.28	0	62.73
1.29	0	61.86
1.3	0	60.04
1.31	0	57.3
1.32	0	54.32
1.33	0	52.08
1.34	0	49.93
1.35	0	48.49
1.36	0	47.85
1.37	0	47.39
1.38	0	47.83
1.39	0	48.55
1.4	0	48.1
1.41	0	47.28
1.42	0	46.39
1.43	0	45.82
1.44	0	45.95
1.45	0	45.43
1.46	0	45.27
1.47	0	45.28
1.48	0	45.16
1.49	0	45.72
1.5	0	45.9
1.51	0	45.47
1.52	0	45.1
1.53	0	44.86
1.54	0	44.58
1.55	0	44.6
1.56	0	44.5
1.57	0	44.51
1.58	0	43.88
1.59	0	43.1
1.6	0	42.75
1.61	0	43.28
1.62	0	43.43
1.63	0	43.13
1.64	0	42.57
1.65	0	42.44
1.66	0	41.8
1.67	0	40.95
1.68	0	39.53
1.69	0	38.84
1.7	0	38.91
1.71	0	39.34
1.72	0	39.38
1.73	0	39.21
1.74	0	39.07
1.75	0	38.16
1.76	0	37.01
1.77	0	37.26
1.78	0	36.44
1.79	0	32.13
1.8	0	28.97
1.81	0	30.74
1.82	0	32.22
1.83	0	32.4
1.84	0	0
1.85	0	0
1.86	0	0
