time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	22.37
0.05	0	21.36
0.06	0	24.59
0.07	0	25.34
0.08	0	23.98
0.09	0	23.29
0.1	0	22.47
0.11	0	21.87
0.12	0	34.16
0.13	0	51.57
0.14	0	64.89
0.15	0	73.35
0.16	116.27	77.32
0.17	116.41	78.41
0.18	116.26	78.14
0.19	116.92	76.23
0.2	0	71.19
0.21	0	60.22
0.22	0	42.52
0.23	0	27.65
0.24	0	26.02
0.25	0	33.58
0.26	0	34.78
0.27	0	35.74
0.28	0	51.72
0.29	0	65.14
0.3	0	74.67
0.31	0	79.72
0.32	117.23	81.73
0.33	117.87	82.37
0.34	118.82	82.51
0.35	119.11	82.77
0.36	118.63	83
0.37	118.29	83.14
0.38	118.35	83.55
0.39	118.61	83.66
0.4	118.35	82.81
0.41	118.51	81.18
0.42	118.89	79.35
0.43	119.07	76.78
0.44	0	72.27
0.45	0	63.59
0.46	0	56.36
0.47	112.93	59.16
0.48	112.41	59.75
0.49	109.24	58.03
0.5	0	56.34
0.51	0	55.51
0.52	0	55.91
0.53	114.32	57.34
0.54	117.08	59.54
0.55	122.86	64.37
0.56	125.5	69.79
0.57	124.81	73.37
0.58	123.09	74.85
0.59	121.4	75.44
0.6	119.47	76.2
0.61	117.84	77.05
0.62	116.91	77.78
0.63	116.2	78.27
0.64	115.84	78.64
0.65	116.03	78.98
0.66	116.37	79.1
0.67	116.85	79.04
0.68	117.29	78.82
0.69	117.73	77.98
0.7	118.58	75.92
0.71	119.67	73.2
0.72	119.39	70.48
0.73	114.1	65.66
0.74	0	56.76
0.75	0	47.25
0.76	0	55.03
0.77	0	61.24
0.78	0	60.87
0.79	0	59.7
0.8	0	58.65
0.81	0	56.62
0.82	0	54.75
0.83	0	57.81
0.84	0	65.49
0.85	124.25	70.55
0.86	124.86	73.31
0.87	124.66	74.55
0.88	123.38	74.87
0.89	121.4	74.51
0.9	120.18	73.62
0.91	119.65	72.51
0.92	118.54	70.64
0.93	0	66.37
0.94	0	57.95
0.95	0	47.47
0.96	0	45.84
0.97	0	49.7
0.98	0	51.39
0.99	0	53.48
1	115.21	59.8
1.01	111.53	65.1
1.02	109	67.72
1.03	103.66	67.64
1.04	98.73	65.7
1.05	94.17	63.91
1.06	91.12	62.73
1.07	89.3	61.98
1.08	88.17	60.91
1.09	85.96	58.53
1.1	0	55.58
1.11	0	56.83
1.12	0	59.98
1.13	0	62.1
1.14	0	63.57
1.15	0	63.96
1.16	0	63.5
1.17	0	62.73
1.18	0	63.55
1.19	0	65.19
1.2	0	64.83
1.21	0	63.54
1.22	0	63.74
1.23	0	61.2
1.24	0	55.69
1.25	0	50.94
1.26	0	58.65
1.27	107.89	64.81
1.28	107.75	66.3
1.29	107.58	66.34
1.3	107.15	66.21
1.31	106.62	66.01
1.32	106.78	65.98
1.33	107.35	66.02
1.34	107.53	66.02
1.35	107.3	65.3
1.36	105.83	62.88
1.37	0	58.07
1.38	0	49.72
1.39	0	39.27
1.4	0	32.35
1.41	0	32.23
1.42	0	46.27
1.43	0	53.75
1.44	0	54.65
1.45	0	50.89
1.46	0	56.06
1.47	0	61.26
1.48	106.6	61.68
1.49	105.62	60.17
1.5	105.23	59.05
1.51	105.33	58.5
1.52	104.78	58.09
1.53	103.96	57.67
1.54	102.83	57.18
1.55	101.84	56.75
1.56	100.45	56.45
1.57	99.74	56.36
1.58	99.76	56.59
1.59	99.94	57.35
1.6	100.98	58.81
1.61	101.64	60.64
1.62	102.05	62.25
1.63	102.51	63.49
1.64	103.51	64.61
1.65	103.63	65.4
1.66	103.8	65.75
1.67	103.17	65.39
1.68	103.35	64.32
1.69	102.22	61.99
1.7	0	57
1.71	0	51.23
1.72	0	48.32
1.73	0	48.81
1.74	0	50.99
1.75	101.09	53.51
1.76	101.41	55.54
1.77	101.91	56.79
1.78	101.97	57.25
1.79	101.1	57.04
1.8	99.98	56.33
1.81	98.6	55.26
1.82	0	54.01
1.83	0	52.68
1.84	0	50.26
1.85	0	45.86
1.86	0	39.34
1.87	0	32.95
1.88	0	32.25
1.89	0	39.91
1.9	0	45.04
1.91	0	46.21
1.92	0	46.66
1.93	0	52.37
1.94	0	64.71
1.95	91.12	71.49
1.96	91.29	73.61
1.97	91.47	73.91
1.98	91.45	73.76
1.99	90.11	73.33
2	89.74	72.78
2.01	89.25	72.28
2.02	89.13	72.02
2.03	87.84	71.92
2.04	88.52	72.42
2.05	89.15	71.84
2.06	89.06	71.17
2.07	89.52	71.24
2.08	89.54	71.05
2.09	88.56	69.92
2.1	87.89	67.33
2.11	0	62.91
2.12	0	56.19
2.13	0	49.44
2.14	0	48.84
2.15	0	51.63
2.16	0	54.51
2.17	0	58.15
2.18	0	59.65
2.19	0	58.59
2.2	0	56.68
2.21	0	53.78
2.22	0	48.48
2.23	0	39.16
2.24	0	38.81
2.25	0	49.12
2.26	0	51.56
2.27	0	48.2
2.28	0	46.36
2.29	0	51.73
2.3	0	54.12
2.31	0	51.78
2.32	0	55.94
2.33	0	57.34
2.34	0	51.29
2.35	0	49.51
2.36	0	50.3
2.37	0	44.63
2.38	0	38.83
2.39	0	38.22
2.4	0	38.15
2.41	0	36.89
2.42	0	36.09
2.43	0	36.65
2.44	0	37.58
2.45	0	38.28
2.46	0	36.87
2.47	0	35.79
2.48	0	35.81
2.49	0	35.8
2.5	0	35.67
2.51	0	34.27
2.52	0	32.31
2.53	0	27.89
2.54	0	0
2.55	0	0
2.56	0	0
?	?	?
