time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.03
0.04	0	35.34
0.05	0	36.88
0.06	0	37.35
0.07	0	36.31
0.08	0	35.29
0.09	0	35.57
0.1	0	36.13
0.11	0	36.52
0.12	0	44.8
0.13	0	56.74
0.14	106.54	62.89
0.15	107.28	65.43
0.16	106.71	66.77
0.17	106.08	67.63
0.18	105.92	69.2
0.19	107.73	73.79
0.2	106.01	77.32
0.21	103.71	78.71
0.22	102.69	79.54
0.23	101.72	80.32
0.24	100.71	81.33
0.25	99.87	82.4
0.26	99.5	83.2
0.27	99.33	83.8
0.28	98.7	84.02
0.29	98.15	83.78
0.3	97.3	83.21
0.31	96.46	82.76
0.32	95.42	82.11
0.33	94.58	81.34
0.34	94.35	80.52
0.35	94.5	78.95
0.36	94.91	75.74
0.37	95.39	71.01
0.38	96.48	67.51
0.39	98.94	66
0.4	100.96	65.55
0.41	103.04	66.24
0.42	104.39	68.23
0.43	108.03	70.56
0.44	109.93	72.69
0.45	110.69	74.82
0.46	110.92	76.05
0.47	108.89	75.78
0.48	106.49	72.88
0.49	0	65.86
0.5	0	57.07
0.51	0	53.38
0.52	0	50.65
0.53	0	49.62
0.54	0	59.67
0.55	0	65.71
0.56	0	71.19
0.57	103.51	77.12
0.58	102.49	80.18
0.59	101.96	81.26
0.6	101.64	81.3
0.61	101.2	80.56
0.62	101.59	79.04
0.63	99.29	76.16
0.64	0	71.45
0.65	0	64.63
0.66	0	57.14
0.67	0	54.67
0.68	0	55.7
0.69	0	56.52
0.7	0	57.33
0.71	99.98	58.77
0.72	101.12	60.43
0.73	101.96	61.8
0.74	102.11	62.93
0.75	102.07	63.82
0.76	101.89	64.41
0.77	101.34	64.75
0.78	100.4	64.95
0.79	100.03	65.51
0.8	104.62	69.17
0.81	104.18	74.1
0.82	100.65	76.53
0.83	99.84	78.07
0.84	99.77	79.31
0.85	99.22	79.89
0.86	99.36	80.43
0.87	99.35	80.84
0.88	99.03	81.05
0.89	98.6	81.03
0.9	97.99	81.1
0.91	97.9	81.14
0.92	97.83	80.81
0.93	97.65	80.45
0.94	97.76	80.59
0.95	97.43	80.3
0.96	96.78	79.82
0.97	95.79	79.43
0.98	95.65	78.38
0.99	95.42	76.24
1	94.46	72.25
1.01	93.21	67.24
1.02	93.34	63.23
1.03	93.14	61
1.04	0	58.92
1.05	0	60.08
1.06	0	62.53
1.07	0	57.8
1.08	0	44.46
1.09	0	36.65
1.1	0	40.97
1.11	0	43.15
1.12	0	44.31
1.13	0	54.85
1.14	0	63.49
1.15	92.41	67.7
1.16	98.93	70.3
1.17	102.12	72.34
1.18	102.04	72.87
1.19	101.3	72.44
1.2	99.78	71.32
1.21	97.59	69.22
1.22	97.48	66.57
1.23	98.51	65.76
1.24	99.83	67.55
1.25	97.85	70.41
1.26	96.68	71.71
1.27	96.33	71.76
1.28	96	71.31
1.29	95.85	71.12
1.3	96.73	70.76
1.31	97.67	70.82
1.32	97.95	69.72
1.33	97.53	67.25
1.34	95.31	65.87
1.35	92.5	65.65
1.36	91.66	64.95
1.37	92.47	64.42
1.38	97.67	64.23
1.39	99.3	64.59
1.4	101.43	65.98
1.41	102.44	68.26
1.42	101.92	71.3
1.43	100.71	74.31
1.44	98.87	75.82
1.45	96.7	75.72
1.46	95.4	74.96
1.47	94.5	74.18
1.48	93.37	73.46
1.49	93.06	72.34
1.5	93	69.8
1.51	94.99	66.18
1.52	95.96	65.25
1.53	95.48	64.97
1.54	94.43	64.01
1.55	93.15	62.32
1.56	91.76	60.09
1.57	91.99	61.45
1.58	96.02	67.11
1.59	96.14	69.48
1.6	94.56	70.72
1.61	94.05	71.54
1.62	92.91	70.75
1.63	88.58	67.15
1.64	90.58	62.15
1.65	93.36	61.36
1.66	94.75	62.78
1.67	95.19	64.37
1.68	95.35	65.51
1.69	94.94	66.35
1.7	97.14	68.91
1.71	95.47	71.48
1.72	94.32	72.22
1.73	93.98	72.96
1.74	93.42	73.87
1.75	93.63	75.05
