time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	36
0.04	0	33
0.05	0	30.18
0.06	0	29.75
0.07	0	29.72
0.08	0	30.2
0.09	0	31.11
0.1	0	32.82
0.11	0	31.32
0.12	0	30.57
0.13	0	49.57
0.14	0	62.07
0.15	0	68.42
0.16	123.25	75.07
0.17	125.12	79.38
0.18	126.96	81.42
0.19	126.61	82.99
0.2	126.3	84.26
0.21	126.48	84.78
0.22	126.52	84.52
0.23	126.57	83.24
0.24	126.35	80.77
0.25	125.41	77.73
0.26	122.98	74.3
0.27	118.97	69.23
0.28	111.94	62.05
0.29	0	55.95
0.3	0	61.29
0.31	0	70.76
0.32	0	75.92
0.33	0	78.89
0.34	0	79.75
0.35	0	78.77
0.36	0	78.64
0.37	0	77.73
0.38	0	75.03
0.39	0	72.33
0.4	0	71
0.41	0	69.49
0.42	0	66.98
0.43	0	68.56
0.44	133.6	73.5
0.45	130.75	76.22
0.46	127.72	76.7
0.47	124.78	75.94
0.48	121.44	74.09
0.49	119.87	70.63
0.5	0	64.73
0.51	0	55.75
0.52	0	44.23
0.53	0	34.97
0.54	0	30.87
0.55	0	34.4
0.56	0	40.64
0.57	0	42.27
0.58	0	42.8
0.59	0	48.02
0.6	0	46.54
0.61	0	36.97
0.62	0	38.48
0.63	0	54.93
0.64	0	60.92
0.65	0	65.39
0.66	0	71.35
0.67	0	72.95
0.68	0	71.45
0.69	0	69.55
0.7	111.29	69.72
0.71	112.57	71.43
0.72	112.92	72.12
0.73	111.62	72.86
0.74	110.7	74.59
0.75	109.44	75.59
0.76	107.77	75.42
0.77	106.53	74.84
0.78	105.75	74.13
0.79	104.79	73.24
0.8	103.68	72.53
0.81	102.87	71.69
0.82	102.35	70.93
0.83	102.01	70.19
0.84	101.58	69.25
0.85	99.51	66.65
0.86	98.95	62.77
0.87	98.94	61.22
0.88	97.15	60.32
0.89	96.55	61
0.9	99.23	64.44
0.91	102.95	65.62
0.92	104.97	66.26
0.93	104.96	66.68
0.94	0	67.49
0.95	0	67.83
0.96	0	63.64
0.97	0	55.77
0.98	0	57.86
0.99	0	62.41
1	0	64.57
1.01	0	65.57
1.02	0	66.63
1.03	0	66.87
1.04	0	66.75
1.05	0	65.65
1.06	0	64.25
1.07	0	63.87
1.08	0	62.87
1.09	0	60.8
1.1	0	59.23
1.11	0	56.9
1.12	0	52.92
1.13	0	49.11
1.14	0	46.81
1.15	0	44.64
1.16	0	42.16
1.17	0	41.56
1.18	0	41.01
1.19	0	40.72
1.2	0	39.8
1.21	0	38.5
1.22	0	37.97
1.23	0	37.41
1.24	0	36.64
1.25	0	35.99
1.26	0	34.63
1.27	0	33.92
1.28	0	32.57
1.29	0	32.93
1.3	0	33.8
1.31	0	33.74
1.32	0	34.97
1.33	0	35.47
1.34	0	32.09
1.35	0	30.36
1.36	0	30.36
1.37	0	30.14
1.38	0	30.4
1.39	0	31.02
1.4	0	32.23
1.41	0	32.72
1.42	0	32.73
1.43	0	0
1.44	0	0
1.45	0	0
?	?	?
