time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.82
0.04	0	33.11
0.05	0	32.25
0.06	0	32.46
0.07	0	31.79
0.08	0	31.5
0.09	0	31.81
0.1	0	31.63
0.11	0	32.18
0.12	0	33.51
0.13	0	36.62
0.14	0	45.77
0.15	0	54.06
0.16	0	64.73
0.17	121.46	73.08
0.18	117.28	76.79
0.19	114.1	76.82
0.2	111.06	74.27
0.21	0	69.35
0.22	0	60.49
0.23	0	46.72
0.24	0	39.79
0.25	0	41.08
0.26	0	47.91
0.27	0	63.27
0.28	0	70.37
0.29	0	70.29
0.3	0	67
0.31	0	65.69
0.32	0	64.72
0.33	0	63.12
0.34	0	60.88
0.35	0	66.66
0.36	0	76.92
0.37	125.94	82.27
0.38	124.37	83.98
0.39	123.62	84.07
0.4	123.66	83.6
0.41	124.23	82.96
0.42	125.23	81.96
0.43	125.68	80.45
0.44	123.64	78.17
0.45	123.58	74.51
0.46	0	71.18
0.47	0	65.4
0.48	0	54.74
0.49	0	46.55
0.5	0	47.56
0.51	0	48.8
0.52	0	55.27
0.53	0	64.86
0.54	0	70.24
0.55	0	72.04
0.56	0	72.24
0.57	0	71.53
0.58	0	71.23
0.59	0	71.65
0.6	0	70.41
0.61	0	66.87
0.62	0	63.54
0.63	0	64.27
0.64	0	64.97
0.65	0	69.89
0.66	0	73.16
0.67	0	73.77
0.68	0	76.96
0.69	0	81.26
0.7	0	83.28
0.71	118.49	81.98
0.72	115.98	79.35
0.73	114.28	77.35
0.74	113.73	76.57
0.75	112.45	76.95
0.76	111.65	77.57
0.77	111.9	77.13
0.78	112.8	76.54
0.79	113.39	76.54
0.8	113.49	76.62
0.81	114.03	76.72
0.82	114.08	76.98
0.83	114.02	77.38
0.84	114.36	76.83
0.85	114.15	75.7
0.86	114.42	75.57
0.87	112.59	74.69
0.88	114.68	71.97
0.89	112.98	68.58
0.9	110.22	64.93
0.91	0	65.18
0.92	0	69.9
0.93	0	72.81
0.94	0	74.11
0.95	0	72.98
0.96	0	70.93
0.97	0	71.18
0.98	0	71.59
0.99	0	70.59
1	0	68.96
1.01	0	66.5
1.02	0	63.64
1.03	0	62.45
1.04	0	62.24
1.05	0	61.65
1.06	0	61.1
1.07	0	61.45
1.08	0	62.84
1.09	0	62.69
1.1	0	59.67
1.11	0	62.1
1.12	0	69.14
1.13	0	74.5
1.14	0	76.83
1.15	0	78.62
1.16	0	78.88
1.17	0	78.16
1.18	0	75.75
1.19	0	70.39
1.2	0	60.99
1.21	0	46.38
1.22	0	33.53
1.23	0	40.76
1.24	0	56.63
1.25	0	63.93
1.26	0	63.55
1.27	0	57.27
1.28	0	53.9
1.29	0	58.36
1.3	0	63.28
1.31	134.95	65.34
1.32	135.63	66.26
1.33	135	64.25
1.34	105.45	62.28
1.35	104.43	60.26
1.36	103.43	59.05
1.37	102.53	58.88
1.38	101.62	59.3
1.39	102.23	59.57
1.4	109.94	57.92
1.41	0	53.48
1.42	0	46.27
1.43	0	38.23
1.44	0	44.45
1.45	0	55.15
1.46	0	57.85
1.47	0	54.42
1.48	0	47.33
1.49	0	44.82
1.5	0	44.51
1.51	0	42.06
1.52	0	39.56
1.53	0	37.75
1.54	0	35.24
1.55	0	33.68
1.56	0	33.56
1.57	0	33.24
1.58	0	0
1.59	0	0
1.6	0	0
