time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	21.31
0.05	0	22.68
0.06	0	25.04
0.07	0	29
0.08	0	31.16
0.09	0	29.67
0.1	0	25.77
0.11	0	28.8
0.12	0	43.9
0.13	0	58.03
0.14	0	67.98
0.15	90.59	72.99
0.16	102.58	75.11
0.17	102.34	76.47
0.18	102.55	77.07
0.19	103.35	75.19
0.2	0	70.82
0.21	0	65.82
0.22	0	61.22
0.23	0	59.43
0.24	0	61.59
0.25	0	65.78
0.26	0	69.03
0.27	0	68.74
0.28	0	67.61
0.29	0	68.3
0.3	0	69.02
0.31	0	68.54
0.32	0	68.45
0.33	0	67.81
0.34	0	66.33
0.35	0	64.77
0.36	0	63.02
0.37	115.83	62.77
0.38	112.97	63.75
0.39	111.08	64.04
0.4	108.25	63.82
0.41	103.24	63.35
0.42	97.98	62.86
0.43	0	61.56
0.44	0	59.19
0.45	0	60.27
0.46	0	62.88
0.47	0	64.07
0.48	0	64.25
0.49	0	64.22
0.5	0	63.93
0.51	0	64.11
0.52	0	64.47
0.53	0	64.59
0.54	0	65.65
0.55	0	66.6
0.56	0	66.35
0.57	127.39	69.66
0.58	130.03	75.55
0.59	130.91	79.12
0.6	130.99	80.79
0.61	130.98	81.64
0.62	130.6	81.82
0.63	129.15	82.17
0.64	128.96	82.51
0.65	0	79.89
0.66	0	72.83
0.67	0	63.03
0.68	0	57.31
0.69	0	54.67
0.7	0	53.19
0.71	0	53.32
0.72	0	53.81
0.73	0	54.98
0.74	0	60.86
0.75	0	70.41
0.76	0	75.08
0.77	0	76.17
0.78	125.24	75.32
0.79	122.69	74.36
0.8	119.37	73.84
0.81	117.22	73.22
0.82	114.98	72.12
0.83	113.32	70.17
0.84	112.11	65.77
0.85	0	57.19
0.86	0	51.49
0.87	0	59.48
0.88	114.38	65.89
0.89	115.58	69.29
0.9	115.27	70.98
0.91	114.17	71.94
0.92	112.72	71.77
0.93	111.24	70.83
0.94	110.01	70.18
0.95	108.42	69.31
0.96	106.51	66.93
0.97	104.04	62.81
0.98	104.86	60.52
0.99	104.58	60.68
1	103.78	60.78
1.01	101.76	60.86
1.02	100.41	62.08
1.03	0	65.29
1.04	0	65.55
1.05	0	62.58
1.06	0	59.48
1.07	0	56.37
1.08	0	53.98
1.09	0	52.65
1.1	0	51.74
1.11	0	53.3
1.12	0	57.48
1.13	111.94	63.22
1.14	110.17	68.1
1.15	109.06	70.82
1.16	102.8	71.35
1.17	96.75	69.99
1.18	95.07	69.03
1.19	93.84	68.72
1.2	92.5	68.46
1.21	91.1	68.68
1.22	90.07	69.12
1.23	88.99	69.41
1.24	87.5	69.26
1.25	82.98	69.32
1.26	77.24	69.74
1.27	76.28	69.56
1.28	75.72	69.13
1.29	76.41	68.8
1.3	76.11	69.55
1.31	75.2	71.17
1.32	77.4	72.77
1.33	86.27	74.06
1.34	0	75.63
1.35	0	76.84
1.36	98.1	77.99
1.37	100.63	78.74
1.38	103.53	79.04
1.39	106.18	79.08
1.4	108.1	78.97
1.41	109.83	78.73
1.42	111.11	78.67
1.43	111.57	78.94
1.44	111.52	79.65
1.45	111.53	80.69
1.46	112.21	80.18
1.47	112.97	76.36
1.48	0	68.41
1.49	0	58.84
1.5	0	56.47
1.51	0	56.48
1.52	0	54.98
1.53	0	52.29
1.54	0	47.07
1.55	0	40.29
1.56	0	39.67
1.57	0	41.07
1.58	0	50.2
1.59	0	57.5
1.6	107.11	61.46
1.61	107.16	65.54
1.62	109.28	67.89
1.63	109.98	68.84
1.64	110.29	69.06
1.65	109.6	68.73
1.66	109.02	68.42
1.67	108.81	68.23
1.68	108.81	67.85
1.69	108.55	66.55
1.7	106.21	63
1.71	105.82	61.65
1.72	106.5	65.79
1.73	106.72	68.96
1.74	106.7	69.93
1.75	106.55	70
1.76	106.28	70.13
1.77	106.13	70.16
1.78	105.64	70.16
1.79	105.4	70.57
1.8	105.19	71.39
1.81	107.38	72.9
1.82	107.49	73.97
1.83	104.61	74.25
1.84	104.59	75.43
1.85	105.71	76.86
1.86	105.21	77.28
1.87	104.59	77.21
1.88	104.27	77.78
1.89	103.51	78.46
1.9	102.54	78.67
1.91	101.29	78.53
1.92	100.26	78.38
1.93	98.99	78.15
1.94	97.74	77.94
1.95	95.98	77.81
1.96	93.53	77.43
1.97	90.45	76.59
1.98	87.45	75.3
1.99	84.74	74.09
2	81.92	72.69
2.01	80.21	71.27
2.02	77.95	69.77
2.03	75.85	67.92
2.04	85.53	66.75
2.05	86.03	65.71
2.06	83.71	64.8
2.07	0	64.27
2.08	0	64.33
2.09	0	63.93
2.1	0	62.99
2.11	0	61.49
2.12	0	59.32
2.13	0	56.63
2.14	0	54.72
2.15	0	54.32
2.16	0	51.7
2.17	0	49.88
2.18	0	49.79
2.19	0	49.6
2.2	0	52.48
2.21	0	53.42
2.22	0	54.19
2.23	0	55.18
2.24	0	55.89
2.25	0	56.22
2.26	0	56.93
2.27	0	57.9
2.28	0	58.28
2.29	0	57.95
2.3	0	57.61
2.31	0	56.79
2.32	0	54.5
2.33	0	51.2
2.34	0	48.35
2.35	0	45.93
2.36	0	44.76
2.37	0	44.69
2.38	0	43.8
2.39	0	43.21
2.4	0	42.36
2.41	0	39.72
2.42	0	37.04
2.43	0	35.95
2.44	0	35.7
2.45	0	35.01
2.46	0	34.82
2.47	0	34.86
2.48	0	34.05
2.49	0	33.44
2.5	0	33.22
2.51	0	33.08
2.52	0	32.36
2.53	0	31.51
2.54	0	31.18
2.55	0	0
2.56	0	0
2.57	0	0
