time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.56
0.04	0	28.2
0.05	0	28.19
0.06	0	28.62
0.07	0	28.78
0.08	0	28.33
0.09	0	27.58
0.1	0	28.09
0.11	0	29.63
0.12	0	30.07
0.13	0	33.43
0.14	0	39.05
0.15	0	42.8
0.16	0	43.52
0.17	0	43.26
0.18	0	40.86
0.19	0	46.56
0.2	0	59.38
0.21	0	68.24
0.22	92.39	72.69
0.23	93.02	74.67
0.24	93.4	75.89
0.25	92.88	76.83
0.26	92.39	78.04
0.27	92.5	79.26
0.28	92.89	80.06
0.29	92.75	80.29
0.3	92.7	80.33
0.31	92.28	80.1
0.32	91.75	78.51
0.33	91.17	74.46
0.34	91.55	68.12
0.35	94.06	65.07
0.36	95.23	65.48
0.37	96.07	67.05
0.38	102.02	73.24
0.39	99.73	78.37
0.4	100.09	80.25
0.41	101.17	81.7
0.42	102.02	81.86
0.43	103.45	81.53
0.44	104.84	81.62
0.45	107.1	81.83
0.46	108.65	81.38
0.47	111.19	80.09
0.48	112.94	79.21
0.49	113.16	78.13
0.5	112.46	74.45
0.51	109.7	66.62
0.52	109.86	59.66
0.53	109.68	58.28
0.54	110.22	59.44
0.55	116.52	65.3
0.56	120.33	69.82
0.57	117.97	71.59
0.58	117.77	72.27
0.59	117.04	71.95
0.6	115.19	71.29
0.61	114.59	71.09
0.62	111.81	70.74
0.63	110.62	70.16
0.64	109.99	69.88
0.65	110.03	69.8
0.66	109.95	69.94
0.67	111.3	70.27
0.68	112.16	70.54
0.69	113.57	70.58
0.7	114.1	70.26
0.71	114.54	69.66
0.72	114.38	68.46
0.73	113.91	65.8
0.74	112.92	61.34
0.75	0	57.9
0.76	0	56.22
0.77	0	54.58
0.78	0	56.3
0.79	0	61
0.8	0	64.92
0.81	111.28	68.87
0.82	114.05	72.66
0.83	112.92	75.32
0.84	111.05	76.96
0.85	110.33	77.74
0.86	109.68	77.7
0.87	108.56	76.62
0.88	107.71	73.97
0.89	0	69.67
0.9	0	68.4
0.91	0	69.96
0.92	0	69.82
0.93	0	68.54
0.94	0	65.31
0.95	0	59.28
0.96	0	48.67
0.97	0	33.19
0.98	0	31.77
0.99	0	51.95
1	0	65.34
1.01	0	70.65
1.02	0	74.59
1.03	0	77.95
1.04	0	79.41
1.05	110.27	79.86
1.06	109.55	79.75
1.07	108.01	79.27
1.08	106.8	78.7
1.09	105.16	78.11
1.1	103.67	76.93
1.11	103.4	74.32
1.12	100.18	69.47
1.13	0	65.6
1.14	0	64.02
1.15	0	60.85
1.16	0	57.11
1.17	0	53.69
1.18	0	50.09
1.19	0	51.6
1.2	0	53.8
1.21	0	54.23
1.22	0	54.84
1.23	0	55.66
1.24	0	56.35
1.25	0	57.38
1.26	0	59.83
1.27	0	61.02
1.28	0	65.63
1.29	0	71.73
1.3	110.82	74.37
1.31	113.23	75.4
1.32	114.5	76.09
1.33	114.83	76.77
1.34	115.22	77.17
1.35	115.42	77.87
1.36	115.05	78.97
1.37	114.35	80.39
1.38	114.03	81.74
1.39	113.52	82.47
1.4	111.96	82.37
1.41	110.99	82.4
1.42	109.38	82.72
1.43	106.9	82.74
1.44	104.81	82.5
1.45	102.68	82.02
1.46	99.45	81.68
1.47	95.47	81.5
1.48	91.98	81.39
1.49	88.99	81.4
1.5	86.76	81.77
1.51	85.19	82.55
1.52	84.31	82.81
1.53	83.46	82.18
1.54	82.33	81.22
1.55	85.52	80.98
1.56	0	80.96
1.57	0	79.54
1.58	0	78.71
1.59	0	77.18
1.6	0	74.58
1.61	0	70.16
1.62	0	60.55
1.63	0	44.5
1.64	0	35.1
1.65	0	51.81
1.66	0	61.05
1.67	0	61.76
1.68	0	60.82
1.69	0	67.87
1.7	0	71.3
1.71	0	69.89
1.72	0	69.29
1.73	0	70.61
1.74	0	66.87
1.75	0	63.03
1.76	0	64.61
1.77	0	66.32
1.78	0	66.9
1.79	0	66.66
1.8	0	66.56
1.81	0	66.21
1.82	0	65.57
1.83	0	64.53
1.84	0	62.44
1.85	0	60.23
1.86	0	67.58
1.87	0	73.21
1.88	0	74.27
1.89	0	72.12
1.9	0	67.33
1.91	0	60.07
1.92	0	54.78
1.93	0	53.63
1.94	0	55.59
1.95	0	63.19
1.96	0	69.02
1.97	85.39	72.59
1.98	87.2	76.25
1.99	87.37	78.97
2	85.4	79.33
2.01	85.39	79.51
2.02	84.94	79.86
2.03	84.66	80.12
2.04	84.42	80.71
2.05	84.3	80.93
2.06	84.24	80.28
2.07	84.12	79.4
2.08	83.36	79.62
2.09	83.77	79.94
2.1	82.74	79.91
2.11	81.97	80.06
2.12	81.69	79.16
2.13	81.86	76.45
2.14	82.78	72.92
2.15	84.08	70.9
2.16	84.51	69.6
2.17	84.82	68.59
2.18	85.4	67.89
2.19	83.04	66.04
2.2	82.05	63.03
2.21	0	60.36
2.22	0	57.91
2.23	0	56.33
2.24	0	56.03
2.25	0	55.56
2.26	0	54.07
2.27	0	51.66
2.28	0	49.52
2.29	0	47.68
2.3	0	44.97
2.31	0	42.67
2.32	0	40.81
2.33	0	38.9
2.34	0	37.57
2.35	0	36.23
2.36	0	33.82
2.37	0	0
2.38	0	0
2.39	0	0
