time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	26.17
0.05	0	26.24
0.06	0	24.97
0.07	0	25
0.08	0	26.85
0.09	0	29.17
0.1	0	29.29
0.11	0	27.95
0.12	0	28.76
0.13	0	40.56
0.14	0	52.44
0.15	0	58.2
0.16	0	60.58
0.17	103.79	63.62
0.18	97.63	66.35
0.19	90.97	67.05
0.2	89.9	66.98
0.21	91.33	66.99
0.22	90.06	67.14
0.23	89.06	66.88
0.24	0	64.36
0.25	0	56.57
0.26	0	45.22
0.27	0	53.96
0.28	0	64.76
0.29	99.56	70.43
0.3	92.51	73.59
0.31	88.63	75.01
0.32	88.99	74.67
0.33	89.09	73.62
0.34	89.36	72.88
0.35	89.66	72.71
0.36	89.41	72.98
0.37	89.22	72.4
0.38	88.35	69.73
0.39	87.77	64
0.4	89.49	59.63
0.41	90.36	58.92
0.42	91.29	58.93
0.43	92.54	59
0.44	94.65	59.82
0.45	98.63	66.47
0.46	98.91	72.97
0.47	98.5	75.77
0.48	98.37	76.53
0.49	98.07	76.35
0.5	97.33	75.86
0.51	95.7	75.1
0.52	94.76	73.31
0.53	90.67	69.9
0.54	90.29	65.36
0.55	89.08	61.25
0.56	0	55.85
0.57	0	46.72
0.58	0	31.18
0.59	0	22.33
0.6	0	23.77
0.61	0	29.35
0.62	0	30.73
0.63	0	33.52
0.64	0	46.78
0.65	0	53.32
0.66	0	52.92
0.67	0	53.77
0.68	0	57.78
0.69	0	60.48
0.7	0	63.78
0.71	0	65.24
0.72	0	62.59
0.73	0	64.53
0.74	0	75.76
0.75	100.64	81.02
0.76	99.88	82.05
0.77	97.75	81.68
0.78	95.25	81.2
0.79	93.75	80.91
0.8	93.17	80.44
0.81	92.69	79.46
0.82	92.18	78.8
0.83	92.06	78.36
0.84	92.13	77.47
0.85	92.33	76.54
0.86	92.34	75.94
0.87	91.77	75.5
0.88	91.88	75.12
0.89	91.87	74.56
0.9	91.23	73.38
0.91	90.46	71.01
0.92	88.68	66.1
0.93	0	58.3
0.94	0	58.07
0.95	0	62.49
0.96	0	62.27
0.97	0	59.18
0.98	0	53.97
0.99	0	44.13
1	0	30.96
1.01	0	28.66
1.02	0	30.27
1.03	0	30.07
1.04	0	32.25
1.05	0	36.65
1.06	0	40.73
1.07	0	51.2
1.08	0	64.59
1.09	100.27	72.66
1.1	92.54	77.11
1.11	90.17	79
1.12	89.23	79.26
1.13	88.74	78.67
1.14	87.89	78.02
1.15	88.25	77.91
1.16	88.38	77.95
1.17	88.83	77.78
1.18	89.07	77.32
1.19	88.83	76.77
1.2	88.51	75.57
1.21	88.42	74.17
1.22	88.54	73.11
1.23	88.6	72.02
1.24	89.48	70.79
1.25	91.12	70.27
1.26	91.35	70.55
1.27	91.53	70.65
1.28	91.1	70.64
1.29	90.94	70.75
1.3	91.3	70.78
1.31	91.61	71.03
1.32	91.61	70.96
1.33	91.9	70.7
1.34	92.42	70.37
1.35	93.1	69.19
1.36	93.25	65.91
1.37	92.1	59.21
1.38	0	52.48
1.39	0	52.88
1.4	0	53.97
1.41	0	54.55
1.42	0	56.35
1.43	0	58.1
1.44	0	57.79
1.45	0	57.23
1.46	0	56.69
1.47	0	56.32
1.48	0	56.49
1.49	0	52.56
1.5	0	44.08
1.51	0	34.15
1.52	0	25.03
1.53	0	26.7
1.54	0	37.85
1.55	0	45.96
1.56	0	51.2
1.57	0	54.1
1.58	0	53.98
1.59	0	55.9
1.6	0	62.14
1.61	0	64.63
1.62	93.94	64.08
1.63	91.91	63.29
1.64	89.51	61.53
1.65	88.66	59.95
1.66	85.85	58.3
1.67	0	56.48
1.68	0	59.11
1.69	0	64.25
1.7	0	67.07
1.71	0	67.09
1.72	0	66.31
1.73	0	65.77
1.74	0	65.7
1.75	0	65.69
1.76	0	64.37
1.77	0	61.06
1.78	0	56.05
1.79	0	56.27
1.8	0	65.84
1.81	0	70.14
1.82	101.67	71.7
1.83	100.54	72.3
1.84	98.62	71.68
1.85	96.62	70.75
1.86	95.24	70.13
1.87	94.4	69.6
1.88	94.96	69.17
1.89	95.05	68.67
1.9	94.82	67.64
1.91	93.2	65.77
1.92	90.59	62.87
1.93	89.93	59.84
1.94	0	57.22
1.95	0	54.84
1.96	0	53.41
1.97	0	53.51
1.98	0	54.4
1.99	108.2	58.17
2	107.2	60.14
2.01	106.05	59.7
2.02	105.94	58.51
2.03	106.85	57.65
2.04	107.05	56.79
2.05	107.39	55.69
2.06	0	54.27
2.07	0	52.67
2.08	0	51.16
2.09	0	49.58
2.1	0	47.89
2.11	0	45.77
2.12	0	43.07
2.13	0	39.54
2.14	0	36.13
2.15	0	41.81
2.16	0	48.55
2.17	0	51.37
2.18	0	51.72
2.19	0	51.68
2.2	0	51.56
2.21	0	50.9
2.22	0	50.74
2.23	0	49.51
2.24	0	47.29
2.25	0	44.65
2.26	0	41.47
2.27	0	36.06
2.28	0	32.03
2.29	0	28.29
2.3	0	23.95
2.31	0	23.06
2.32	0	21.87
2.33	0	21.01
2.34	0	21.03
2.35	0	21.27
2.36	0	20.94
2.37	0	20.58
2.38	0	19.88
2.39	0	0
2.4	0	0
2.41	0	0
