time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.9
0.05	0	28.65
0.06	0	28.22
0.07	0	28.41
0.08	0	28.66
0.09	0	28.39
0.1	0	27.82
0.11	0	29.23
0.12	0	31.21
0.13	0	33.1
0.14	0	40.46
0.15	0	42
0.16	0	40.12
0.17	0	37.34
0.18	0	30.28
0.19	0	27.45
0.2	0	33.63
0.21	0	46.28
0.22	0	52.03
0.23	0	56.93
0.24	131.06	65.39
0.25	130.65	69.61
0.26	131.06	71.18
0.27	130.71	71.19
0.28	126.9	69.78
0.29	124.22	66.71
0.3	0	61.93
0.31	0	55.97
0.32	0	49.17
0.33	0	40.51
0.34	0	32.63
0.35	0	34.25
0.36	0	41.15
0.37	0	53.21
0.38	0	60.67
0.39	0	62.73
0.4	0	60.58
0.41	0	60
0.42	0	61.18
0.43	0	64.27
0.44	0	74.29
0.45	128.02	80.17
0.46	129.35	81.78
0.47	130.09	82.21
0.48	129.58	82.21
0.49	128.42	81.22
0.5	127.67	79.33
0.51	127.98	77.29
0.52	129.16	76
0.53	130.43	75.62
0.54	131.6	75.82
0.55	132.43	76.19
0.56	132.47	75.8
0.57	132.18	73.78
0.58	131.84	69.04
0.59	0	59.79
0.6	0	48.94
0.61	0	49.74
0.62	0	59.4
0.63	136.17	67.72
0.64	135.25	72.43
0.65	133.01	73.77
0.66	131.27	73.83
0.67	130.97	74.13
0.68	130.67	74.83
0.69	130.39	75.44
0.7	130.28	75.84
0.71	129.86	76.17
0.72	128.93	76.53
0.73	128.37	76.88
0.74	127.88	76.86
0.75	127.24	76.45
0.76	126.13	75.59
0.77	124.72	74.15
0.78	124.01	71.41
0.79	121.01	66.19
0.8	0	57.3
0.81	0	43.55
0.82	0	29.3
0.83	0	28.64
0.84	0	29.88
0.85	0	31.73
0.86	0	48.26
0.87	0	60.13
0.88	0	63.66
0.89	0	61.13
0.9	0	56.69
0.91	0	56.62
0.92	0	58.01
0.93	0	58.25
0.94	0	58.96
0.95	0	58.57
0.96	0	57.81
0.97	0	66.15
0.98	0	75.55
0.99	132.1	79.35
1	130.33	80.44
1.01	127.58	81.14
1.02	125.54	81.11
1.03	124.43	80.6
1.04	123.67	79.97
1.05	123.19	79.25
1.06	122.78	78.51
1.07	122.34	77.74
1.08	122.89	77.1
1.09	124.36	76.85
1.1	125.69	76.68
1.11	126.26	76.02
1.12	126.85	74.64
1.13	127.99	72.74
1.14	128.07	70.01
1.15	126.9	65.05
1.16	0	59.27
1.17	0	59.53
1.18	0	63.15
1.19	0	65.42
1.2	0	65.12
1.21	0	64.25
1.22	0	64.38
1.23	0	64.29
1.24	0	63.69
1.25	0	63.48
1.26	0	63.62
1.27	0	63.86
1.28	0	64.7
1.29	0	63.52
1.3	0	61.89
1.31	0	61.02
1.32	0	61.34
1.33	0	62.89
1.34	0	64.41
1.35	0	64.17
1.36	0	62.64
1.37	0	60.96
1.38	0	59.4
1.39	0	58.6
1.4	0	66.94
1.41	123.2	73.12
1.42	126.34	75.2
1.43	125.79	76.31
1.44	124.49	77.31
1.45	124.5	77.72
1.46	125.84	77.62
1.47	128.82	77.33
1.48	133.96	76.43
1.49	138.83	74.82
1.5	145.78	72.23
1.51	151	68.7
1.52	155.18	63.22
1.53	158.44	58.43
1.54	0	55.34
1.55	0	49.7
1.56	0	41.43
1.57	0	37.83
1.58	0	35.77
1.59	0	32.44
1.6	0	29.61
1.61	0	29.56
1.62	0	30.28
1.63	0	30.16
1.64	0	28.78
1.65	0	0
1.66	0	0
1.67	0	0
?	?	?
