time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	26.77
0.05	0	26.06
0.06	0	28
0.07	0	28.26
0.08	0	27.21
0.09	0	27.67
0.1	0	28.72
0.11	0	30.99
0.12	0	33.87
0.13	0	42.31
0.14	0	53.37
0.15	0	59.15
0.16	131.04	61.11
0.17	127.16	63.17
0.18	123.01	63.84
0.19	117.33	62.37
0.2	111.69	59.33
0.21	0	55.13
0.22	0	51.68
0.23	0	49.45
0.24	0	49.53
0.25	0	53.97
0.26	0	57.86
0.27	0	57.16
0.28	0	53.4
0.29	0	56.98
0.3	0	66.44
0.31	125.19	73.33
0.32	122.73	77.01
0.33	120.57	79.55
0.34	116.28	80.45
0.35	113.3	80.93
0.36	109.98	82.72
0.37	107.9	83.6
0.38	107.6	82.71
0.39	107.66	81.85
0.4	107.84	81.86
0.41	107.49	81.91
0.42	108.54	81.12
0.43	110.22	79.87
0.44	111.52	77.63
0.45	0	73.04
0.46	0	65.57
0.47	119.61	58.73
0.48	119.28	59.59
0.49	118.24	60.98
0.5	116.15	61.16
0.51	113.75	61.26
0.52	111.83	61.54
0.53	110.64	61.7
0.54	111.03	62.24
0.55	113.44	65.85
0.56	114.46	70.22
0.57	114.85	72.26
0.58	115.43	73.16
0.59	115.79	73.64
0.6	115.81	73.79
0.61	116.17	73.74
0.62	116.59	73.6
0.63	116.59	73.09
0.64	115.4	72
0.65	112.14	69.79
0.66	108.25	65.95
0.67	104.2	60.51
0.68	0	55.16
0.69	0	52.05
0.7	0	49.94
0.71	0	49.5
0.72	0	55.79
0.73	111.9	64.34
0.74	113.37	70.07
0.75	114.28	72.7
0.76	114.56	73.81
0.77	114.77	74.4
0.78	114.54	74.82
0.79	114.03	74.92
0.8	113.26	74.5
0.81	112.39	73.57
0.82	110.24	71.72
0.83	106.02	68.42
0.84	102.37	64.97
0.85	0	63.29
0.86	0	62.9
0.87	0	61.26
0.88	0	59.42
0.89	112.02	61.26
0.9	112.53	63.73
0.91	112.8	65.22
0.92	111.77	66.5
0.93	109.88	67.02
0.94	108.81	66.5
0.95	106.36	65.46
0.96	103.07	64.09
0.97	0	63.22
0.98	0	66.06
0.99	0	70.2
1	0	72.2
1.01	0	72.29
1.02	0	71.21
1.03	0	67.78
1.04	0	62.93
1.05	0	64.8
1.06	116.66	72.19
1.07	111.04	76.35
1.08	107.38	78.44
1.09	106.29	79.26
1.1	105.43	79.38
1.11	104.32	79.22
1.12	102.45	78.57
1.13	100.2	76.53
1.14	0	71.28
1.15	0	61.07
1.16	0	43.66
1.17	0	29.88
1.18	0	31.95
1.19	0	41.12
1.2	0	52.22
1.21	0	57.03
1.22	0	57.28
1.23	0	56.98
1.24	0	57.1
1.25	0	56.91
1.26	0	57.08
1.27	0	60.18
1.28	0	66.17
1.29	99.75	71.28
1.3	96.68	73.67
1.31	94.57	74.14
1.32	92.61	73.96
1.33	91.06	73.48
1.34	90.1	73.26
1.35	89.59	73.57
1.36	89.84	74.08
1.37	90.3	74.44
1.38	90.25	74.68
1.39	89.25	74.68
1.4	88.83	73.88
1.41	89.25	72.21
1.42	89.33	69.95
1.43	89.97	66.75
1.44	91.49	64.29
1.45	92.17	62.18
1.46	92	59.36
1.47	0	56.53
1.48	0	54.34
1.49	0	53.14
1.5	0	51.69
1.51	0	50.62
1.52	0	50.26
1.53	0	49.65
1.54	0	49.19
1.55	0	48.38
1.56	0	47.38
1.57	0	45.37
1.58	0	43.06
1.59	0	42.6
1.6	0	41.02
1.61	0	39.26
1.62	0	39.33
1.63	0	39.65
1.64	0	39.88
1.65	0	0
1.66	0	0
1.67	0	0
?	?	?
