time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.92
0.04	0	31.25
0.05	0	31.84
0.06	0	33.31
0.07	0	34.01
0.08	0	34.04
0.09	0	33.67
0.1	0	32.65
0.11	0	33.82
0.12	0	43.69
0.13	0	56.26
0.14	0	64
0.15	114.1	68.58
0.16	114.66	71.94
0.17	117.98	75.02
0.18	120.72	77.56
0.19	121.66	79.22
0.2	123.03	80.71
0.21	124.99	82.26
0.22	126.88	82.93
0.23	126.69	82.25
0.24	123.42	80.72
0.25	0	77.93
0.26	0	73.43
0.27	0	68.6
0.28	120.37	66.43
0.29	121.41	67.44
0.3	124.56	69.07
0.31	127.84	71.37
0.32	128.8	73.69
0.33	127.26	75.01
0.34	124.69	75.21
0.35	122.74	75.16
0.36	121.59	74.61
0.37	118.73	73.8
0.38	116.98	75.47
0.39	116.38	75.7
0.4	115.88	72.91
0.41	117.59	70.34
0.42	118.66	70.71
0.43	118.34	71.26
0.44	119.94	73.08
0.45	121.23	76.4
0.46	118.47	78.09
0.47	116.11	78.31
0.48	115.92	78.41
0.49	116.24	78.65
0.5	116.04	78.64
0.51	115.74	78.7
0.52	115.99	78.85
0.53	116.2	78.93
0.54	115.85	78.37
0.55	115.98	77.62
0.56	116.34	77.12
0.57	116.6	76.44
0.58	117.49	75.84
0.59	119.26	75.79
0.6	119.53	77.58
0.61	119.03	79.91
0.62	118.68	81.18
0.63	118.22	81.79
0.64	117.77	82.18
0.65	117.6	82.48
0.66	117.95	82.82
0.67	118.16	83.07
0.68	117.9	83.23
0.69	117.54	83.04
0.7	117.33	82.47
0.71	117.08	81.73
0.72	116.52	80.36
0.73	116.05	77.8
0.74	117.22	74.69
0.75	118.02	73.01
0.76	117.11	71.43
0.77	115.26	68.25
0.78	112.99	67.71
0.79	112.54	71.69
0.8	112.87	74.42
0.81	112.65	76.09
0.82	112.2	77.17
0.83	111.89	77.52
0.84	111.69	77.06
0.85	110.73	75.28
0.86	108.52	70.86
0.87	0	62.66
0.88	0	54.57
0.89	0	54.74
0.9	0	54.78
0.91	0	53.87
0.92	0	53.15
0.93	0	53.68
0.94	0	55.39
0.95	0	56.16
0.96	0	55.4
0.97	0	54.09
0.98	0	59.86
0.99	125.13	68.68
1	120.33	72.25
1.01	117.19	72.81
1.02	116.5	72.61
1.03	115.78	72.55
1.04	113.85	72.57
1.05	112.31	72.79
1.06	111.86	73.62
1.07	111.81	75.21
1.08	110.88	75.78
1.09	109.04	74.53
1.1	108.29	73.68
1.11	108.18	73.69
1.12	107.95	73.56
1.13	107.78	73.52
1.14	108.09	73.63
1.15	108.34	74.2
1.16	107.68	74.84
1.17	106.4	75
1.18	105.71	74.76
1.19	105.6	74.52
1.2	105.52	74.37
1.21	105.37	74.22
1.22	105.03	73.81
1.23	104.53	72.97
1.24	103.45	71.1
1.25	102.34	67.77
1.26	106.16	66.66
1.27	108.83	69.28
1.28	108.71	71.66
1.29	108.68	72.66
1.3	108.53	72.97
1.31	108.6	72.83
1.32	108.86	72.14
1.33	108.96	71.27
1.34	109.12	70.6
1.35	108.64	70.32
1.36	107.96	69.97
1.37	107.83	69.59
1.38	107.99	69.63
1.39	108.02	69.6
1.4	107.4	68.91
1.41	105.74	67.34
1.42	102.77	64.7
1.43	0	62.3
1.44	0	63.21
1.45	0	65.85
1.46	0	68.97
1.47	0	71.59
1.48	0	70.5
1.49	0	65.65
1.5	0	57.39
1.51	0	56.51
1.52	0	63.17
1.53	0	65.11
1.54	0	65.42
1.55	0	64.68
1.56	0	62.39
1.57	0	60.98
1.58	0	58.81
1.59	0	58.35
1.6	0	56.15
1.61	0	51.6
1.62	0	47.69
1.63	0	45.82
1.64	0	44.21
1.65	0	44.19
1.66	0	44.68
1.67	0	42.67
1.68	0	40.44
1.69	0	41.65
1.7	0	42.99
1.71	0	0
1.72	0	0
?	?	?
