time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.86
0.04	0	33.74
0.05	0	33.3
0.06	0	32.39
0.07	0	33.44
0.08	0	35.25
0.09	0	35.77
0.1	0	36.99
0.11	0	41.22
0.12	0	53.71
0.13	0	65.95
0.14	0	72.34
0.15	0	74.92
0.16	125.99	76.29
0.17	123.29	77.14
0.18	122.48	78.4
0.19	124.29	79.61
0.2	126.3	80.07
0.21	127.56	80.81
0.22	128.57	81.64
0.23	129.9	81.82
0.24	131.24	81.77
0.25	132.88	81.43
0.26	134.95	80.46
0.27	136.97	79.26
0.28	138.52	78.47
0.29	139.42	77.76
0.3	139.17	75.81
0.31	140.03	72.83
0.32	140.45	71.77
0.33	138.72	70.19
0.34	138.42	67.41
0.35	137.75	65.95
0.36	134.91	64.16
0.37	0	60.29
0.38	0	53.92
0.39	0	46.41
0.4	0	37.7
0.41	0	31.22
0.42	0	29.3
0.43	0	41.44
0.44	0	57.67
0.45	0	65.1
0.46	0	67.27
0.47	0	65.19
0.48	0	62.59
0.49	0	69.95
0.5	134.6	75.05
0.51	129.98	77.15
0.52	127.32	78.57
0.53	125.51	79.69
0.54	124.72	80.5
0.55	124.5	80.95
0.56	124.75	81.06
0.57	124.98	80.96
0.58	125.5	80.92
0.59	125.69	81
0.6	125.37	80.98
0.61	125.21	80.68
0.62	124.92	80.38
0.63	124.53	80.19
0.64	124.3	80.13
0.65	124.19	80.05
0.66	124.06	80
0.67	122.81	79.84
0.68	120.18	79.68
0.69	119.14	81.01
0.7	119.05	83.16
0.71	118.89	84.24
0.72	118.11	83.94
0.73	117.98	83.69
0.74	117.3	84.07
0.75	116.39	84.1
0.76	115.44	83.34
0.77	114.93	82.05
0.78	113.26	80.31
0.79	0	76
0.8	0	65.75
0.81	0	50.37
0.82	0	42.94
0.83	0	37.35
0.84	0	37.81
0.85	0	47.69
0.86	0	53.76
0.87	0	59.37
0.88	0	60.31
0.89	0	59.87
0.9	0	69.38
0.91	0	75.16
0.92	107.17	76.44
0.93	106.91	75.32
0.94	106.98	71.83
0.95	107.08	66.87
0.96	111.42	65.15
0.97	112.94	65.13
0.98	113.95	65.21
0.99	114.44	65.56
1	113.64	66.09
1.01	112.28	66.8
1.02	110.59	68.14
1.03	112.3	70.38
1.04	110.48	71.68
1.05	109.78	71.86
1.06	110.55	71.79
1.07	111.81	71.97
1.08	112.13	72.38
1.09	111.86	72.71
1.1	111.43	72.88
1.11	111.13	73.06
1.12	110.03	73.18
1.13	109.5	73.2
1.14	109.14	73.22
1.15	108.5	73.29
1.16	107.42	73.32
1.17	106.77	73.23
1.18	105.91	73.07
1.19	103.74	72.79
1.2	102.71	72.26
1.21	102	71.42
1.22	100.89	70.28
1.23	99.55	68.96
1.24	97.12	67.55
1.25	96.6	66.04
1.26	94.93	64.77
1.27	0	66.09
1.28	0	70.89
1.29	0	75.34
1.3	0	78.13
1.31	0	78.79
1.32	0	77.62
1.33	0	77.71
1.34	0	79.44
1.35	0	80.23
1.36	0	79.53
1.37	0	78.69
1.38	0	76.08
1.39	0	71.81
1.4	0	67.27
1.41	0	62.56
1.42	0	57.9
1.43	0	53.91
1.44	0	50.66
1.45	0	47.96
1.46	0	46.32
1.47	0	45.79
1.48	0	44.34
1.49	0	43.4
1.5	0	42.97
1.51	0	41.46
1.52	0	40.18
1.53	0	40.54
1.54	0	39.86
1.55	0	38.39
1.56	0	37.87
1.57	0	0
1.58	0	0
1.59	0	0
