time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.43
0.04	0	26.95
0.05	0	25.58
0.06	0	25.31
0.07	0	25.73
0.08	0	29.88
0.09	0	34.21
0.1	0	34.31
0.11	0	32.59
0.12	0	36.67
0.13	0	51.7
0.14	0	60.47
0.15	0	61.91
0.16	0	64.94
0.17	115.63	69.82
0.18	123.72	72.58
0.19	130.23	74.6
0.2	132.2	76.18
0.21	136.9	77.43
0.22	143.37	78.31
0.23	151.15	78.56
0.24	154.31	77.18
0.25	155.47	72.83
0.26	0	64.07
0.27	0	53.33
0.28	0	45.37
0.29	0	35.5
0.3	0	26.68
0.31	0	27.22
0.32	0	45.11
0.33	0	57.04
0.34	0	61.65
0.35	0	62.08
0.36	0	63.92
0.37	0	70.32
0.38	122.9	74.52
0.39	121.05	76.06
0.4	119.15	76.08
0.41	114.98	75.56
0.42	111.81	74.97
0.43	109.9	73.97
0.44	108.65	71.26
0.45	0	65
0.46	0	53.78
0.47	0	41.81
0.48	0	31.94
0.49	0	32.23
0.5	0	44.59
0.51	0	53.87
0.52	0	64.3
0.53	115.23	73.13
0.54	105.71	77.96
0.55	103.24	79.99
0.56	104.84	80.4
0.57	105.01	79.62
0.58	103.32	76.57
0.59	102.04	69.97
0.6	100.98	60.59
0.61	0	53.1
0.62	0	50.17
0.63	0	48.27
0.64	0	49.13
0.65	0	61
0.66	0	69.49
0.67	104.08	75.42
0.68	103.62	79.03
0.69	103.69	80.41
0.7	104.16	81.16
0.71	104.76	81.78
0.72	105.4	81.84
0.73	107.01	81.49
0.74	109.3	81.15
0.75	110.52	80.75
0.76	109.96	80.08
0.77	103.47	79.02
0.78	0	76.57
0.79	0	70.42
0.8	0	63.71
0.81	0	54.6
0.82	0	57.66
0.83	0	63.95
0.84	0	63.76
0.85	101.07	62.02
0.86	101.91	62.59
0.87	102.28	63.28
0.88	102.26	62.59
0.89	102.77	62.28
0.9	104.64	63.73
0.91	106.29	66.49
0.92	106	70.08
0.93	104.39	73.62
0.94	100.98	76.43
0.95	97.31	78.08
0.96	96.42	79.05
0.97	96.88	79.88
0.98	96.77	80.42
0.99	97.02	80.6
1	98.32	80.74
1.01	99.39	80.75
1.02	100.37	80.32
1.03	100.63	78.99
1.04	99.34	76.16
1.05	97.87	71.34
1.06	98.01	66.24
1.07	99.34	63.83
1.08	100.58	63.91
1.09	101.12	66.16
1.1	101.18	70.25
1.11	99.88	74.05
1.12	99.31	75.85
1.13	97.29	75.23
1.14	0	71.73
1.15	0	64.18
1.16	0	51
1.17	0	43.96
1.18	0	46.83
1.19	0	54.11
1.2	0	61.56
1.21	0	64.35
1.22	0	64.66
1.23	0	69.7
1.24	88.49	73.77
1.25	92.52	75.56
1.26	93.75	75.75
1.27	93.68	74.7
1.28	93.73	72.77
1.29	93.01	69.56
1.3	91.76	64.96
1.31	0	62.98
1.32	0	68.82
1.33	0	72.79
1.34	0	72.16
1.35	0	68.17
1.36	0	61.3
1.37	0	49.83
1.38	0	33.37
1.39	0	24.46
1.4	0	32.46
1.41	0	51.39
1.42	0	61.68
1.43	0	64.98
1.44	0	62.38
1.45	0	60.12
1.46	0	59.79
1.47	0	55.31
1.48	0	52.05
1.49	98.53	53.19
1.5	99.47	58.82
1.51	102.3	66.96
1.52	104.35	72.34
1.53	101.73	74.83
1.54	100.2	75.69
1.55	99.73	75.9
1.56	99.7	75.89
1.57	100.08	75.76
1.58	100.16	75.35
1.59	100.33	74.55
1.6	100.77	72.82
1.61	99.73	69.45
1.62	98.59	64.24
1.63	98.48	59.41
1.64	99.14	56.73
1.65	99	54.55
1.66	0	51.69
1.67	0	49.27
1.68	0	49.55
1.69	107.83	55.76
1.7	110.5	64.46
1.71	111.03	70.33
1.72	110.8	73.2
1.73	111.9	74.07
1.74	113.28	74.2
1.75	114.58	73.98
1.76	115.61	73.55
1.77	115.95	72.57
1.78	115.92	70.57
1.79	116.78	67.75
1.8	0	66.26
1.81	0	66.99
1.82	0	69.03
1.83	0	70.57
1.84	0	70.27
1.85	0	69.71
1.86	0	68.36
1.87	0	66.95
1.88	0	63.79
1.89	0	59.54
1.9	0	61.8
1.91	86.37	64.61
1.92	86.55	65.21
1.93	81.12	63.9
1.94	79.05	60.87
1.95	82.25	57.51
1.96	83.09	55.02
1.97	0	53.42
1.98	0	51.56
1.99	0	49.59
2	0	46.13
2.01	0	42.37
2.02	0	41.29
2.03	0	41.14
2.04	0	40.21
2.05	0	38.74
2.06	0	37.11
2.07	0	36
2.08	0	0
2.09	0	0
2.1	0	0
?	?	?
