time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.59
0.05	0	28.15
0.06	0	26.78
0.07	0	29.23
0.08	0	30.73
0.09	0	31.13
0.1	0	31.18
0.11	0	33.18
0.12	0	45.41
0.13	0	56.74
0.14	126.89	62.46
0.15	131.41	66.05
0.16	136.28	69.12
0.17	139.51	71.55
0.18	141.87	73.47
0.19	143.15	75.01
0.2	146.58	76.33
0.21	148.68	77.15
0.22	151.71	77.08
0.23	153.34	76.38
0.24	153.49	75.36
0.25	151.78	73.89
0.26	146.24	71.49
0.27	137.78	68.36
0.28	132.27	66.53
0.29	129.95	67.45
0.3	130.82	70.17
0.31	131.79	73.1
0.32	131.19	75.62
0.33	130	77.19
0.34	128.07	77.01
0.35	125.85	75.79
0.36	123.91	74.86
0.37	121.07	73.27
0.38	117.48	71.2
0.39	117.01	71.74
0.4	117.32	73.55
0.41	117.19	74.13
0.42	116.65	73.03
0.43	116.48	69.81
0.44	0	64.2
0.45	0	62.36
0.46	0	66.28
0.47	0	67.76
0.48	0	67.2
0.49	0	67.03
0.5	0	66.65
0.51	0	66.34
0.52	0	66.82
0.53	0	67.87
0.54	0	67.05
0.55	0	60.72
0.56	0	45.63
0.57	0	46.44
0.58	0	56.69
0.59	0	64.93
0.6	0	73.31
0.61	0	77.58
0.62	113.02	78.66
0.63	111.62	79.23
0.64	110.21	79.48
0.65	108.59	79.74
0.66	107.93	80.18
0.67	107.74	80.31
0.68	107.44	80.07
0.69	106.7	80
0.7	106.15	79.23
0.71	105.94	78.51
0.72	104.69	77.81
0.73	103.05	76.17
0.74	101.69	71.82
0.75	0	64.42
0.76	0	58.28
0.77	105.79	61.02
0.78	105.71	64.37
0.79	102.43	65.01
0.8	101.51	64.1
0.81	105.81	64.11
0.82	105.09	64.61
0.83	105.39	63.72
0.84	102.76	60.88
0.85	0	57.16
0.86	0	59.3
0.87	0	62.44
0.88	0	64.57
0.89	0	68.24
0.9	0	71.73
0.91	0	71.76
0.92	0	68.71
0.93	0	63.02
0.94	0	55.31
0.95	0	42.92
0.96	0	43.49
0.97	0	55.15
0.98	0	60.93
0.99	0	65.16
1	110.26	68.25
1.01	109.87	69.4
1.02	108.74	69.89
1.03	108.26	70
1.04	107.67	69.54
1.05	108.27	68.46
1.06	107.36	67.07
1.07	107.09	65.78
1.08	107.02	63.83
1.09	106.07	60.57
1.1	0	60.14
1.11	0	64.39
1.12	0	66.36
1.13	0	67.92
1.14	0	69.14
1.15	0	69.99
1.16	0	70.32
1.17	0	68.84
1.18	0	67.34
1.19	0	65.96
1.2	0	61.62
1.21	0	52.48
1.22	0	58.54
1.23	0	66.72
1.24	103.77	67.94
1.25	105.49	65.93
1.26	105.6	63.26
1.27	104.79	60.12
1.28	104.3	56.7
1.29	0	52.52
1.3	0	47
1.31	0	45.22
1.32	0	51.68
1.33	0	60.76
1.34	0	66.51
1.35	0	68.51
1.36	0	67.55
1.37	0	63.72
1.38	0	59.05
1.39	0	54.49
1.4	0	53.37
1.41	0	54.09
1.42	0	53.89
1.43	0	54.07
1.44	0	56.02
1.45	0	58.27
1.46	0	60.56
1.47	0	63.43
1.48	0	65.1
1.49	0	64.6
1.5	0	64.11
1.51	0	63.82
1.52	0	64.21
1.53	0	64.41
1.54	0	62.61
1.55	0	58.27
1.56	0	57.6
1.57	0	61.49
1.58	0	62.06
1.59	0	65.74
1.6	0	66.22
1.61	0	67.11
1.62	0	67.05
1.63	0	66.66
1.64	0	65.37
1.65	0	56.67
1.66	0	40.94
1.67	0	33.37
1.68	0	36.95
1.69	0	36.17
1.7	0	29.9
1.71	0	25.98
1.72	0	26.32
1.73	0	27.13
1.74	0	27.23
1.75	0	0
1.76	0	0
1.77	0	0
