time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.49
0.04	0	27.65
0.05	0	27.74
0.06	0	27.41
0.07	0	27.21
0.08	0	26.77
0.09	0	26.63
0.1	0	26.59
0.11	0	33.3
0.12	0	54.63
0.13	0	66.78
0.14	0	70.86
0.15	0	71.86
0.16	129.34	74.85
0.17	129.62	76.64
0.18	130.88	76.76
0.19	132.43	76.62
0.2	134.92	76.21
0.21	136.58	75.26
0.22	139.46	74.25
0.23	140.99	73.31
0.24	141.11	72.2
0.25	137.98	70.51
0.26	133.84	66.51
0.27	0	58.9
0.28	0	51.71
0.29	0	48.79
0.3	0	47.22
0.31	0	45.79
0.32	0	45.41
0.33	0	56.19
0.34	0	69.85
0.35	0	78.94
0.36	114.56	83.12
0.37	114.63	84.23
0.38	114.48	84.12
0.39	114.6	83.72
0.4	114.6	83.37
0.41	114.58	83.02
0.42	115.24	82.64
0.43	115.7	82.2
0.44	115.87	81.61
0.45	116.02	81.11
0.46	115.88	80.63
0.47	115.13	79.96
0.48	114.78	79.46
0.49	114.61	79
0.5	114.56	78.39
0.51	114.5	77.74
0.52	114.18	77.01
0.53	113.11	76.32
0.54	112.02	76.11
0.55	110.74	75.98
0.56	0	75.9
0.57	0	75.37
0.58	0	74.84
0.59	0	75.03
0.6	0	75.25
0.61	0	74.99
0.62	0	72.4
0.63	0	73.95
0.64	0	73.88
0.65	0	74.87
0.66	76.51	74.87
0.67	99.67	75.2
0.68	106.85	75.86
0.69	107.36	76.09
0.7	107.9	75.8
0.71	108.63	75.18
0.72	108.85	74.19
0.73	109.33	72.82
0.74	110.46	71.04
0.75	109.95	67.91
0.76	108.59	62.42
0.77	0	53.23
0.78	0	39.35
0.79	0	29.19
0.8	0	28.31
0.81	0	28.98
0.82	0	28.07
0.83	0	27.12
0.84	0	41.71
0.85	0	55.64
0.86	0	61.24
0.87	0	60.69
0.88	0	59.4
0.89	0	60.31
0.9	0	60.36
0.91	0	59.43
0.92	0	63.07
0.93	0	73.38
0.94	120.41	77.86
0.95	116.97	78.24
0.96	114.32	76.99
0.97	113.64	74.73
0.98	0	69.52
0.99	0	58.61
1	0	40.71
1.01	0	28.29
1.02	0	27.56
1.03	0	38.32
1.04	0	51
1.05	0	55.27
1.06	0	55.73
1.07	0	64.08
1.08	110.91	71.3
1.09	111.22	73.05
1.1	111.01	71.64
1.11	109.29	68.56
1.12	106.75	64.18
1.13	0	61.88
1.14	0	63.94
1.15	0	65.7
1.16	0	66.81
1.17	0	67.51
1.18	0	67.54
1.19	0	65.75
1.2	0	64.12
1.21	0	61.96
1.22	0	55.17
1.23	0	42.53
1.24	0	32.66
1.25	0	37.69
1.26	0	39.64
1.27	0	45.94
1.28	0	54.96
1.29	100.01	59.24
1.3	101.45	60.53
1.31	101.55	60.72
1.32	101.68	60.74
1.33	103.5	63.12
1.34	104.45	70.04
1.35	105.26	74.55
1.36	105.54	76.59
1.37	105.63	77.71
1.38	106.19	77.93
1.39	107	77.72
1.4	107.81	77.93
1.41	108.35	77.75
1.42	109.11	76.55
1.43	109.2	75.05
1.44	109.42	73.74
1.45	109.14	72.16
1.46	0	68.45
1.47	0	61.64
1.48	0	53.37
1.49	0	48.58
1.5	0	46.66
1.51	0	44.97
1.52	0	49
1.53	0	59.38
1.54	0	63.53
1.55	0	64.15
1.56	0	62.15
1.57	0	60.8
1.58	0	61.77
1.59	0	62.65
1.6	0	63.68
1.61	0	63.98
1.62	0	61.93
1.63	0	59.32
1.64	0	59.6
1.65	0	65.09
1.66	100.79	68.4
1.67	100.72	69.26
1.68	100.2	69.31
1.69	99.86	68.81
1.7	99.72	68.17
1.71	98.75	66.19
1.72	0	62.29
1.73	0	55.87
1.74	0	46.01
1.75	0	41.24
1.76	0	45.22
1.77	0	49.89
1.78	0	48.62
1.79	0	38.67
1.8	0	28.72
1.81	0	28.3
1.82	0	41.96
1.83	0	63.07
1.84	0	72.14
1.85	0	74.77
1.86	0	72.44
1.87	0	68.61
1.88	0	66.03
1.89	0	64.92
1.9	0	66.25
1.91	0	66.42
1.92	0	64.95
1.93	0	65.49
1.94	0	71.86
1.95	93.02	74.56
1.96	92.23	72.8
1.97	89.97	69.8
1.98	87.57	67.57
1.99	86.24	65.99
2	0	64.48
2.01	0	63.46
2.02	0	61.92
2.03	0	60.7
2.04	0	59.51
2.05	0	52.01
2.06	0	36.28
2.07	0	28.19
2.08	0	27.75
2.09	0	28.73
2.1	0	29.74
2.11	0	43.13
2.12	0	56.04
2.13	0	60.67
2.14	0	62.07
2.15	0	63.84
2.16	0	69.28
2.17	0	74.75
2.18	0	75.12
2.19	0	72.34
2.2	0	71.35
2.21	0	70.15
2.22	0	67.01
2.23	0	64.98
2.24	0	64.75
2.25	0	64.29
2.26	0	63.34
2.27	0	61.81
2.28	0	60.24
2.29	0	58.51
2.3	0	56.6
2.31	0	55.33
2.32	0	53.58
2.33	0	50.39
2.34	0	48.57
2.35	0	47.45
2.36	0	44.55
2.37	0	40.96
2.38	0	38.93
2.39	0	37.65
2.4	0	36.85
2.41	0	35.45
2.42	0	35.37
2.43	0	35.96
2.44	0	0
2.45	0	0
2.46	0	0
