time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.45
0.05	0	33.49
0.06	0	32.83
0.07	0	30.76
0.08	0	29.06
0.09	0	30.22
0.1	0	30.8
0.11	0	30.63
0.12	0	34.34
0.13	0	45.99
0.14	0	53.9
0.15	0	63.17
0.16	0	70.27
0.17	196.98	73.07
0.18	204.74	74.23
0.19	207.57	75.03
0.2	209.31	75.84
0.21	210.05	76.59
0.22	210.96	77.44
0.23	211.23	78.58
0.24	210.78	79.87
0.25	209.7	80.71
0.26	207.61	80.69
0.27	205.11	79.26
0.28	201.21	75.69
0.29	198.21	69.51
0.3	0	62.01
0.31	0	60.48
0.32	0	64.53
0.33	0	68.27
0.34	0	69.83
0.35	0	70.02
0.36	0	69.89
0.37	0	69.89
0.38	0	69.91
0.39	0	70.73
0.4	0	71.05
0.41	0	70.65
0.42	0	69.62
0.43	0	69.16
0.44	0	76.62
0.45	212.71	82.74
0.46	210.29	84.92
0.47	208.65	85.58
0.48	208.28	86.29
0.49	208.28	86.73
0.5	207.67	86.68
0.51	207.46	86.35
0.52	207.66	85.82
0.53	207.24	85.22
0.54	205.8	84.61
0.55	202.89	83.58
0.56	195.61	80.88
0.57	188.11	79.28
0.58	184.74	81.59
0.59	180.61	82.49
0.6	174.17	82.35
0.61	167.21	82.14
0.62	161.9	81.89
0.63	157.44	81.15
0.64	153.13	79.74
0.65	148.5	77.52
0.66	143.32	73.51
0.67	140.2	66.24
0.68	0	54.21
0.69	0	46.81
0.7	0	55.35
0.71	0	65.03
0.72	0	70.04
0.73	128.78	71.4
0.74	136.79	72.57
0.75	137.26	72.79
0.76	134.67	71.31
0.77	135.34	67.64
0.78	139.11	62.98
0.79	138.68	61.68
0.8	138.05	61
0.81	137.83	59.18
0.82	0	56.43
0.83	0	52.79
0.84	0	48.26
0.85	0	55.29
0.86	0	63.93
0.87	0	69.26
0.88	156.33	73.57
0.89	156.71	76.26
0.9	156.98	77.2
0.91	158.53	77.25
0.92	161.31	77.05
0.93	164.61	76.67
0.94	167.49	75.71
0.95	169.47	74.17
0.96	171.2	72.98
0.97	172.6	72.63
0.98	172.76	72.69
0.99	171.94	73.44
1	170.53	74.42
1.01	168.12	74.93
1.02	164.59	74.98
1.03	160.79	74.71
1.04	156.83	73.17
1.05	154.66	68.28
1.06	0	59.16
1.07	0	54.21
1.08	0	57.74
1.09	0	63.38
1.1	160.25	69.29
1.11	162.66	73.75
1.12	165.33	76.79
1.13	168.02	78.72
1.14	169.28	79.99
1.15	169.71	79.8
1.16	169.13	77.61
1.17	167.31	74.09
1.18	167.46	69.62
1.19	169.38	67.83
1.2	170.06	69.36
1.21	168.25	70.05
1.22	165.79	68.87
1.23	160.93	66.07
1.24	155.53	61.62
1.25	0	58.47
1.26	0	58.64
1.27	0	59.25
1.28	0	59.01
1.29	0	58.35
1.3	0	58.81
1.31	0	67.83
1.32	0	76.14
1.33	156.9	80.1
1.34	148.67	81.6
1.35	144.48	81.28
1.36	141.79	80.59
1.37	140.23	80.31
1.38	139.07	79.98
1.39	138.16	78.97
1.4	136.31	77.1
1.41	133.39	75.07
1.42	130.25	73.38
1.43	127.38	72.17
1.44	125.36	71.68
1.45	124.18	71.61
1.46	123.62	71.8
1.47	123.59	71.71
1.48	123.78	70.71
1.49	0	67.24
1.5	0	62.07
1.51	0	64.03
1.52	0	68.81
1.53	0	71.45
1.54	0	73.66
1.55	0	75.34
1.56	0	75.94
1.57	0	76.02
1.58	0	76.12
1.59	0	74.46
1.6	0	71.83
1.61	0	67.23
1.62	0	66.9
1.63	148.04	72.55
1.64	141.12	75.54
1.65	135.77	77.07
1.66	132.84	77.34
1.67	130.44	76.89
1.68	128.52	77.21
1.69	127.34	78.5
1.7	126.61	79.72
1.71	125.79	80.25
1.72	124.45	79.95
1.73	123.27	78.78
1.74	122.91	76.25
1.75	0	71.45
1.76	0	62.69
1.77	0	54.02
1.78	0	55.72
1.79	0	57.66
1.8	0	58.37
1.81	0	58.76
1.82	0	58.68
1.83	0	58.99
1.84	0	59.35
1.85	0	58.76
1.86	0	56.81
1.87	0	54.84
1.88	0	54.05
1.89	0	53.45
1.9	0	53.05
1.91	0	52.41
1.92	0	50.97
1.93	0	48.13
1.94	0	45.98
1.95	0	44.13
1.96	0	42.1
1.97	0	41.85
1.98	0	41.39
1.99	0	40.13
2	0	38.11
2.01	0	36.38
2.02	0	37.27
2.03	0	37.95
2.04	0	0
2.05	0	0
2.06	0	0
