time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	23.18
0.04	0	22.85
0.05	0	22.94
0.06	0	23.43
0.07	0	22.84
0.08	0	23.11
0.09	0	24.69
0.1	0	28.29
0.11	0	33.64
0.12	0	38.63
0.13	0	43.89
0.14	0	48.93
0.15	0	51.26
0.16	0	51.68
0.17	0	51.78
0.18	0	59.59
0.19	0	70.57
0.2	106.13	75.66
0.21	107.95	77.26
0.22	109.25	78.22
0.23	109.01	78.98
0.24	108.6	79.4
0.25	108.27	79.51
0.26	107.42	79.5
0.27	106.33	79.4
0.28	104.88	78.76
0.29	102.78	77.26
0.3	100.71	75.28
0.31	98.86	72.29
0.32	94.18	69.3
0.33	95.38	67.8
0.34	101.56	68.16
0.35	108.64	68.94
0.36	111.59	70.09
0.37	115.32	72.34
0.38	117.9	76.76
0.39	118.15	80.23
0.4	116.16	82
0.41	114.95	82.15
0.42	115.9	81.07
0.43	117.08	80.19
0.44	117.65	79.84
0.45	117.76	79.6
0.46	117.66	79.33
0.47	117.18	78.82
0.48	116.29	77.3
0.49	115.47	73.85
0.5	115.21	69.13
0.51	114.85	67.02
0.52	113.56	66.36
0.53	112.03	65.67
0.54	110.1	64.79
0.55	106.91	63.07
0.56	0	59.74
0.57	0	54.82
0.58	0	51.93
0.59	0	58.69
0.6	0	65.69
0.61	0	68.86
0.62	0	68.14
0.63	0	63.7
0.64	0	55.74
0.65	0	44.7
0.66	0	31.24
0.67	0	23.03
0.68	0	34.52
0.69	0	53.37
0.7	0	62.17
0.71	0	63.87
0.72	0	63.14
0.73	0	61.91
0.74	0	59.75
0.75	0	64.2
0.76	111.74	69.19
0.77	107.32	70.86
0.78	102.82	71.83
0.79	100.07	72.54
0.8	98.07	72.37
0.81	97.01	70.37
0.82	96.69	66.54
0.83	97.41	64.64
0.84	97.26	64.77
0.85	96.48	64.63
0.86	95.62	64.51
0.87	96.19	65.43
0.88	95.22	67.27
0.89	94.12	67.85
0.9	0	66.3
0.91	0	61.03
0.92	0	51.33
0.93	0	46.14
0.94	0	41.76
0.95	0	38.18
0.96	0	51.24
0.97	0	62.86
0.98	0	66.21
0.99	0	63.05
1	0	63.07
1.01	108.73	70.89
1.02	109.07	75.53
1.03	104.93	77.35
1.04	102.29	77.99
1.05	102.35	78.46
1.06	102.75	78.45
1.07	103.32	77.93
1.08	103.6	77.27
1.09	103.81	76.88
1.1	103.9	76.57
1.11	104.16	76.06
1.12	104.54	75.34
1.13	104.33	74.42
1.14	103.39	72.46
1.15	102.27	69
1.16	101.14	65.22
1.17	100.43	62.68
1.18	100.84	62.46
1.19	102.96	64.82
1.2	105.26	68.05
1.21	106.64	71.34
1.22	107.37	74.44
1.23	106.91	76.13
1.24	105.54	76.64
1.25	104.07	76.9
1.26	103.2	76.6
1.27	102.55	76.14
1.28	101.85	75.85
1.29	101.14	75.7
1.3	100.56	75.74
1.31	100.27	76.1
1.32	99.94	76.76
1.33	99.18	77.78
1.34	97.56	78.25
1.35	95.97	76.91
1.36	93.9	73.78
1.37	0	68.42
1.38	0	60.28
1.39	0	52.98
1.4	0	52.71
1.41	0	55.68
1.42	0	59.5
1.43	0	61.09
1.44	0	61.17
1.45	0	62.3
1.46	0	64.45
1.47	0	65.5
1.48	0	64.3
1.49	0	61.11
1.5	0	57.67
1.51	0	57.27
1.52	0	61.34
1.53	0	60.74
1.54	0	53.4
1.55	0	40.32
1.56	0	28.93
1.57	0	26.83
1.58	0	28.33
1.59	0	37.81
1.6	0	50.01
1.61	0	56.08
1.62	0	58.19
1.63	0	57.76
1.64	0	59.8
1.65	123.24	69.36
1.66	108.48	75.57
1.67	99.75	77.53
1.68	97.57	77.73
1.69	95.49	78.2
1.7	92.82	79.11
1.71	89.87	79.78
1.72	87.98	80.27
1.73	86.87	80.77
1.74	90.59	81.05
1.75	0	81.32
1.76	0	80.91
1.77	0	81.04
1.78	0	79.14
1.79	0	77.36
1.8	0	78.12
1.81	0	76.46
1.82	0	77.69
1.83	0	74.03
1.84	0	69.19
1.85	0	68.78
1.86	0	65.21
1.87	0	66.28
1.88	0	66.59
1.89	0	64.17
1.9	0	61.56
1.91	0	59.7
1.92	0	59.36
1.93	0	53.79
1.94	0	49.83
1.95	0	52.28
1.96	0	54.82
1.97	0	56.26
1.98	0	56.13
1.99	0	55.33
2	0	54.88
2.01	0	54.86
2.02	0	54.39
2.03	0	53.89
2.04	0	53.63
2.05	0	53.26
2.06	0	53.18
2.07	0	51.66
2.08	0	48.49
2.09	0	45.38
2.1	0	42.54
2.11	0	40.72
2.12	0	39.6
2.13	0	39.61
2.14	0	39.63
2.15	0	39.06
2.16	0	38.22
2.17	0	37.76
2.18	0	37.11
2.19	0	34.81
2.2	0	0
2.21	0	0
2.22	0	0
?	?	?
