time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.27
0.04	0	34.66
0.05	0	34.95
0.06	0	35.45
0.07	0	35.63
0.08	0	36.74
0.09	0	37.55
0.1	0	38.33
0.11	0	39.72
0.12	0	50.76
0.13	0	63.49
0.14	114.7	70.63
0.15	115.41	73.5
0.16	115.9	73.96
0.17	116.13	73.22
0.18	115.18	71.82
0.19	0	70.51
0.2	0	71.68
0.21	0	74.9
0.22	0	76.54
0.23	0	76.9
0.24	0	76.63
0.25	0	75.36
0.26	0	72.95
0.27	0	67.18
0.28	0	55.17
0.29	0	39.64
0.3	0	44.49
0.31	0	63.03
0.32	0	70.36
0.33	0	70.91
0.34	0	70.03
0.35	0	69.06
0.36	0	70.13
0.37	0	77.13
0.38	0	80.96
0.39	109.1	82.05
0.4	107.21	82.64
0.41	105.8	83.12
0.42	105.5	83.51
0.43	105.6	83.67
0.44	105.33	83.74
0.45	103.76	83.51
0.46	101.17	82.64
0.47	100.56	80.54
0.48	0	78.58
0.49	0	77.15
0.5	0	73.05
0.51	0	70.62
0.52	0	70.06
0.53	0	72.04
0.54	87.02	73.31
0.55	100.87	74.15
0.56	99.31	75.73
0.57	99.13	77.23
0.58	101.21	78.44
0.59	103.07	78.38
0.6	103.89	77.37
0.61	102.53	75.73
0.62	0	71.72
0.63	0	62.92
0.64	0	49.88
0.65	0	45.61
0.66	0	59.31
0.67	0	67.69
0.68	0	72.02
0.69	0	74.84
0.7	0	74.56
0.71	0	73.05
0.72	0	71.91
0.73	0	70
0.74	0	67.5
0.75	0	64.2
0.76	0	66.13
0.77	118.27	74.91
0.78	103.35	79.7
0.79	99.79	81.48
0.8	98.71	80.97
0.81	95.24	78.52
0.82	93.94	75.39
0.83	89.09	71.57
0.84	0	64.39
0.85	0	54.05
0.86	0	49.7
0.87	0	59.41
0.88	0	65.4
0.89	0	64.64
0.9	0	65.64
0.91	0	74.58
0.92	96.49	78.79
0.93	93.68	78.96
0.94	91.66	77.84
0.95	90.14	76.6
0.96	89.07	74.97
0.97	88.3	73.45
0.98	87.79	72.38
0.99	88.64	71.88
1	89.66	71.91
1.01	89.74	72.32
1.02	89.59	72.91
1.03	90.31	73.48
1.04	92.04	74.37
1.05	93.96	75.82
1.06	96.06	77.83
1.07	97.15	79.47
1.08	97.85	79.91
1.09	98.68	80.15
1.1	99.47	80.92
1.11	99.72	81.04
1.12	99.96	80.36
1.13	101.49	79.88
1.14	102.86	79.65
1.15	103.81	79.55
1.16	103.87	79.94
1.17	103.71	80.39
1.18	103.41	80.75
1.19	102.88	80.87
1.2	101.5	81.11
1.21	101.39	81.32
1.22	101.12	81.32
1.23	100.43	80.58
1.24	99.91	78.68
1.25	97.32	75.31
1.26	93.53	70.57
1.27	89.89	64.93
1.28	0	58.89
1.29	0	58.61
1.3	0	63.03
1.31	0	63.4
1.32	0	63
1.33	0	62.79
1.34	0	63.45
1.35	95.42	65.59
1.36	93.56	67.91
1.37	93.17	69.69
1.38	92.98	70.43
1.39	92.28	70.92
1.4	91.27	71.1
1.41	89.79	70.78
1.42	89.15	70.41
1.43	89.06	70.16
1.44	87	70.23
1.45	86.6	70.04
1.46	85.84	68.59
1.47	89.11	68.24
1.48	0	67.84
1.49	0	65.47
1.5	0	63.68
1.51	0	59.58
1.52	0	51.38
1.53	0	40
1.54	0	32.77
1.55	0	33.77
1.56	0	35.9
1.57	0	35.98
1.58	0	36.96
1.59	0	45.09
1.6	0	52.95
1.61	0	56.93
1.62	0	58.68
1.63	0	57.42
1.64	0	55.69
1.65	0	56.06
1.66	0	56.19
1.67	0	55.25
1.68	0	54.9
1.69	0	54.25
1.7	0	53.48
1.71	0	52.12
1.72	0	50
1.73	0	47.65
1.74	0	46.73
1.75	0	45.27
1.76	0	44.05
1.77	0	43.85
1.78	0	42.93
1.79	0	42.38
1.8	0	0
1.81	0	0
1.82	0	0
