time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	36.05
0.05	0	34.75
0.06	0	35.02
0.07	0	36.54
0.08	0	37.99
0.09	0	39.66
0.1	0	39.85
0.11	0	37.92
0.12	0	46.4
0.13	0	57.36
0.14	0	60.56
0.15	0	64.19
0.16	0	71.83
0.17	0	74.92
0.18	0	74.27
0.19	0	73
0.2	0	70.07
0.21	0	63.82
0.22	0	55.58
0.23	0	52.88
0.24	0	55.53
0.25	0	57.12
0.26	0	56.78
0.27	0	55.01
0.28	0	53.92
0.29	0	53.36
0.3	0	54.95
0.31	0	63.96
0.32	108.78	73.22
0.33	107.67	78.01
0.34	105.22	79.6
0.35	105.94	79.67
0.36	105.67	79.83
0.37	105.62	80.39
0.38	105.99	80.7
0.39	106.78	80.51
0.4	108.14	79.99
0.41	109.54	78.86
0.42	109.87	76.47
0.43	109.87	73.5
0.44	109.84	71.94
0.45	108.92	71.69
0.46	108.1	71.48
0.47	107.3	71.12
0.48	106.96	70.83
0.49	107.13	72.54
0.5	110.55	77.01
0.51	109.86	79.52
0.52	109.84	80.6
0.53	111.19	81.39
0.54	112.23	81.68
0.55	112.7	81.8
0.56	114.03	82.02
0.57	111.48	81.17
0.58	0	78.41
0.59	0	73.56
0.6	0	62.35
0.61	0	45.3
0.62	0	49
0.63	0	60.6
0.64	0	62.79
0.65	0	63.86
0.66	0	68.42
0.67	0	69.18
0.68	0	66.21
0.69	0	62.7
0.7	0	60.97
0.71	0	67.32
0.72	111.68	73.53
0.73	107.16	75.93
0.74	104.44	76.83
0.75	103.5	77
0.76	103	77.99
0.77	102.1	79.68
0.78	100.97	80.3
0.79	99.94	80.19
0.8	99.52	80.36
0.81	98.68	80.27
0.82	97.14	79.48
0.83	96.64	78.4
0.84	96.67	77.23
0.85	96.43	76.11
0.86	96.66	74.82
0.87	97.2	72.92
0.88	97.75	70.58
0.89	97.63	68.87
0.9	96.51	67.9
0.91	95.68	67.2
0.92	95.07	66.89
0.93	94.93	67.19
0.94	96.18	70.13
0.95	94.83	74.33
0.96	93.83	76.15
0.97	93.82	76.46
0.98	93.62	76.04
0.99	93.79	74.78
1	94.53	72.21
1.01	92.31	68.04
1.02	90.92	63.41
1.03	90.06	63.87
1.04	90.04	66.94
1.05	91.2	70.25
1.06	90.95	73.74
1.07	90.32	74.94
1.08	88.39	72.59
1.09	86.59	67.37
1.1	86.92	64.92
1.11	87.32	64.8
1.12	86.65	64.75
1.13	86.99	64.81
1.14	87.28	65.03
1.15	87.82	65.11
1.16	88.35	65.3
1.17	89.5	66.1
1.18	90.19	69.08
1.19	89.92	71.09
1.2	89.99	71.54
1.21	91.04	72.13
1.22	92.27	72.8
1.23	93.15	72.93
1.24	93.94	72.87
1.25	94.44	73.46
1.26	95.22	74.3
1.27	96.3	74.78
1.28	97.41	74.93
1.29	99.15	75.32
1.3	101.06	76.15
1.31	102.6	76.99
1.32	103.4	77.64
1.33	103.82	77.71
1.34	104.02	77.17
1.35	103.94	77.04
1.36	104.33	76.61
1.37	105.87	75.68
1.38	106.81	75.26
1.39	107.55	74.85
1.4	107.71	74.77
1.41	107.6	74.82
1.42	107.21	74.59
1.43	106.99	74.31
1.44	106.83	74.09
1.45	106.21	72.95
1.46	104.98	70.4
1.47	105.14	68.22
1.48	105.87	67.58
1.49	106.36	67.14
1.5	106.12	66.64
1.51	105.62	64.86
1.52	104.7	61.77
1.53	0	58.32
1.54	0	54.63
1.55	0	50.23
1.56	0	45.87
1.57	0	55.94
1.58	0	63.48
1.59	0	66.62
1.6	0	68.01
1.61	0	64.25
1.62	0	59.87
1.63	0	66.47
1.64	92.41	74.37
1.65	92.52	78.15
1.66	93.17	79.73
1.67	93.27	80.41
1.68	93.75	80.88
1.69	94.24	81.29
1.7	94.68	81.54
1.71	95.23	81.56
1.72	96.18	81.37
1.73	97.36	81.48
1.74	98.71	81.68
1.75	100.39	81.35
1.76	101.31	80.81
1.77	100.61	79.68
1.78	0	75.87
1.79	103.92	72.02
1.8	104.29	74.24
1.81	103.52	76.7
1.82	103.87	77.84
1.83	104.34	77.85
1.84	104.11	77.43
1.85	102.91	76.85
1.86	0	74.6
1.87	0	68.4
1.88	0	58.77
1.89	0	55.13
1.9	0	53.51
1.91	0	53.87
1.92	0	54.3
1.93	0	54.8
1.94	0	54.46
1.95	0	53.39
1.96	0	54.35
1.97	0	62.34
1.98	0	70.68
1.99	100.46	76.96
2	99.22	79.24
2.01	97.26	79.05
2.02	95.88	78.35
2.03	93.83	77.36
2.04	91.96	76.92
2.05	90.62	76.73
2.06	89.35	76.41
2.07	88.33	76.24
2.08	86.69	76.31
2.09	85.06	76.26
2.1	83.9	76.2
2.11	83.07	76.1
2.12	82.34	75.74
2.13	82.08	74.82
2.14	82.11	74.02
2.15	81.59	73.64
2.16	81.92	71
2.17	82.91	67.47
2.18	80.67	63.43
2.19	79.97	59.91
2.2	0	57.13
2.21	0	53.46
2.22	0	52.04
2.23	0	51.64
2.24	0	50.29
2.25	0	48.35
2.26	0	48.38
2.27	0	49.4
2.28	0	47.83
2.29	0	0
2.3	0	0
2.31	0	0
?	?	?
