time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	25.69
0.05	0	25.68
0.06	0	25.2
0.07	0	26.33
0.08	0	27.33
0.09	0	26.54
0.1	0	25.94
0.11	0	25.21
0.12	0	26.83
0.13	0	35.58
0.14	0	45.36
0.15	0	54.54
0.16	0	61.35
0.17	0	66.22
0.18	0	69.87
0.19	0	71.89
0.2	0	72.63
0.21	0	72.69
0.22	0	70.92
0.23	0	67.48
0.24	0	70.64
0.25	0	75.89
0.26	0	78.62
0.27	133.2	80.03
0.28	132.75	80.78
0.29	131.13	80.86
0.3	129	80.92
0.31	127.49	81.18
0.32	126.15	81.13
0.33	125.17	80.36
0.34	123.91	78.48
0.35	122.81	75.39
0.36	120.47	70.6
0.37	118.95	65.14
0.38	120.33	65.82
0.39	122.49	69.23
0.4	123.32	71.91
0.41	123.17	72.77
0.42	122.88	72.39
0.43	123.13	71.97
0.44	124.2	71.79
0.45	123.49	71.1
0.46	122.24	68.98
0.47	121.43	65.07
0.48	0	57.58
0.49	0	43.66
0.5	0	30.36
0.51	0	25.75
0.52	0	39.26
0.53	0	57.23
0.54	0	65.02
0.55	0	66.79
0.56	0	66.1
0.57	0	64.77
0.58	0	62.93
0.59	164.63	64.29
0.6	156.72	69.72
0.61	153.88	73.59
0.62	153.42	75.37
0.63	153	75.47
0.64	152.85	75.05
0.65	154.14	74.69
0.66	155.36	73.67
0.67	155.73	70.32
0.68	0	62.24
0.69	0	56.8
0.7	0	61.41
0.71	0	66.81
0.72	0	70.9
0.73	0	72.17
0.74	0	71.89
0.75	0	71.08
0.76	0	68.69
0.77	177.97	69.58
0.78	172.96	73.11
0.79	169.67	74.46
0.8	167.65	73.77
0.81	165.27	71.32
0.82	163.53	67.33
0.83	163.08	65.22
0.84	162.84	65.2
0.85	163.2	65.16
0.86	163.88	64.78
0.87	163.12	63.51
0.88	159.94	61.61
0.89	0	63.69
0.9	0	67.27
0.91	0	69.83
0.92	0	71.37
0.93	0	72.18
0.94	0	73.31
0.95	0	74.16
0.96	0	73.6
0.97	0	71.34
0.98	0	68.32
0.99	177.5	73.26
1	175.52	78.62
1.01	170.28	81.07
1.02	166.09	81.97
1.03	163.99	81.46
1.04	164.11	80.78
1.05	165	80.72
1.06	165.5	80.75
1.07	165.81	80.67
1.08	166.42	80.55
1.09	167.43	80.43
1.1	168.29	79.68
1.11	168.39	76.62
1.12	171.06	69.76
1.13	177.35	64.37
1.14	180.01	62.86
1.15	183.88	61.5
1.16	185.62	60.15
1.17	187.37	59.05
1.18	0	58.2
1.19	0	57.17
1.2	0	55.67
1.21	0	53.66
1.22	0	50.94
1.23	0	47.47
1.24	0	44.32
1.25	0	42.27
1.26	0	41.11
1.27	0	40.49
1.28	0	39.79
1.29	0	38.53
1.3	0	37.81
1.31	0	37.26
1.32	0	36.59
1.33	0	36.58
1.34	0	36.59
1.35	0	36.01
1.36	0	35.73
1.37	0	35.8
1.38	0	35.08
1.39	0	0
1.4	0	0
1.41	0	0
