time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	36.23
0.04	0	33.42
0.05	0	31.38
0.06	0	31.2
0.07	0	31.01
0.08	0	31.04
0.09	0	30.32
0.1	0	29.57
0.11	0	29.46
0.12	0	38.13
0.13	0	52.35
0.14	0	58.33
0.15	0	58.47
0.16	0	63.16
0.17	0	70.5
0.18	122.26	75.24
0.19	123.39	77.65
0.2	125.13	78.89
0.21	126.81	79.07
0.22	128.78	78.93
0.23	130.48	78.29
0.24	132.94	78.24
0.25	136.05	78.73
0.26	138.17	79.03
0.27	139.36	79.53
0.28	139.87	80.44
0.29	139.67	80.93
0.3	139.74	79.19
0.31	140.49	74.28
0.32	140.69	70.92
0.33	139.56	73.86
0.34	138.09	76.63
0.35	137.08	77.78
0.36	136.72	77.83
0.37	135.63	77.47
0.38	134.24	76.84
0.39	134.03	76.5
0.4	134.62	76.23
0.41	132.32	75.53
0.42	130.25	74.88
0.43	129.15	73.6
0.44	125.05	70.91
0.45	121.96	70.34
0.46	120.93	72.85
0.47	120.56	75.33
0.48	119.62	76.82
0.49	118.54	77.29
0.5	118.07	76.23
0.51	115.68	72.41
0.52	108.43	64.93
0.53	0	55.84
0.54	0	52.55
0.55	0	58.86
0.56	100.8	68.71
0.57	105.12	75.18
0.58	109.68	79.08
0.59	106.53	80.32
0.6	103.44	79.32
0.61	102.1	77.82
0.62	101.56	76.83
0.63	0	74.41
0.64	0	66.59
0.65	0	54.2
0.66	0	51.71
0.67	0	54.81
0.68	0	56.26
0.69	0	59.68
0.7	83.73	62.32
0.71	91.78	65.34
0.72	100.34	68.33
0.73	102.35	70.22
0.74	104.89	71.93
0.75	106.44	73.5
0.76	107.8	73.99
0.77	109.65	74.23
0.78	110.88	74.89
0.79	111.29	74.87
0.8	111.66	75.33
0.81	111.51	76.26
0.82	110.44	77.08
0.83	109.27	78.01
0.84	108.33	78.93
0.85	107.32	79
0.86	105.2	77.99
0.87	103.32	77
0.88	102.22	76.8
0.89	100.87	76.23
0.9	100.1	75.55
0.91	99.42	75.11
0.92	99.01	75.03
0.93	98.43	77.1
0.94	0	80.17
0.95	91.28	81.25
0.96	90.69	79.93
0.97	89.79	77.38
0.98	89.19	75.64
0.99	89.36	74.44
1	88.37	74.49
1.01	86.43	74.31
1.02	85.73	73.13
1.03	85.33	73.41
1.04	83.72	74.68
1.05	83.41	74.13
1.06	84.06	73.09
1.07	83.72	71.57
1.08	84.08	70.54
1.09	83.96	71.38
1.1	83.43	72.95
1.11	83.63	73.48
1.12	84.05	72.52
1.13	83.26	70.06
1.14	0	67.2
1.15	0	65.59
1.16	0	66.06
1.17	0	68.13
1.18	0	68.21
1.19	0	68.3
1.2	0	66.81
1.21	0	64.69
1.22	81.39	65.76
1.23	81.38	65.51
1.24	0	63.51
1.25	0	62.6
1.26	0	60.97
1.27	0	53.36
1.28	0	52.51
1.29	0	60.55
1.3	0	63.86
1.31	105.24	63.76
1.32	97.42	64.61
1.33	94.16	67.78
1.34	98.72	73.28
1.35	98.5	77.22
1.36	98.25	79.2
1.37	98.3	79.87
1.38	98.23	80.14
1.39	98.14	80.02
1.4	98.34	79.17
1.41	98.4	77.85
1.42	98.31	76.61
1.43	98.21	75.78
1.44	97.88	74.52
1.45	96.17	71.53
1.46	0	65.09
1.47	0	57.98
1.48	0	58.12
1.49	0	59.27
1.5	0	59.06
1.51	0	55
1.52	0	45.31
1.53	0	33.95
1.54	0	43.75
1.55	0	53.27
1.56	0	56.06
1.57	0	58.15
1.58	0	63.38
1.59	0	68.84
1.6	92.44	69.22
1.61	90.13	65.44
1.62	87.71	61.75
1.63	86.59	60.43
1.64	84.52	59.73
1.65	83.24	58.79
1.66	0	57.08
1.67	0	54.29
1.68	0	50.02
1.69	0	47.07
1.7	0	53.1
1.71	0	60.47
1.72	0	63.25
1.73	84.75	63.36
1.74	86.46	62.57
1.75	87.24	60.74
1.76	0	57.27
1.77	0	50.72
1.78	0	42.93
1.79	0	38.57
1.8	0	29.78
1.81	0	26.59
1.82	0	28.66
1.83	0	29.09
1.84	0	32.05
1.85	0	48.45
1.86	0	59.87
1.87	0	64.94
1.88	0	65.96
1.89	0	65.04
1.9	0	65
1.91	0	70.02
1.92	0	75.44
1.93	82.83	78.4
1.94	79.15	78.55
1.95	75.37	76.38
1.96	79.73	74.39
1.97	80.68	73.97
1.98	0	73.5
1.99	0	71.64
2	0	72.06
2.01	0	72.3
2.02	0	67.23
2.03	0	67.57
2.04	0	69.35
2.05	0	65.9
2.06	0	60.17
2.07	0	56.45
2.08	0	57.93
2.09	0	59.86
2.1	0	60.48
2.11	0	60.83
2.12	0	60.67
2.13	0	60.48
2.14	0	60.99
2.15	0	60.6
2.16	0	59.74
2.17	0	59.17
2.18	0	57.8
2.19	0	56.82
2.2	0	56.49
2.21	0	55.09
2.22	0	51.82
2.23	0	49.4
2.24	0	47.31
2.25	0	47.89
2.26	0	47.71
2.27	0	46.54
2.28	0	45.85
2.29	0	44.53
2.3	0	43.69
2.31	0	42.39
2.32	0	40.76
2.33	0	38.99
2.34	0	38.01
2.35	0	36.66
2.36	0	34.91
2.37	0	34.23
2.38	0	0
2.39	0	0
2.4	0	0
