time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.48
0.05	0	26.29
0.06	0	25.35
0.07	0	24.86
0.08	0	24.64
0.09	0	26.94
0.1	0	32.51
0.11	0	36.75
0.12	0	40.46
0.13	0	44.76
0.14	0	49.77
0.15	0	53.1
0.16	0	57.92
0.17	149.51	65.48
0.18	150.24	68.53
0.19	151.41	69.09
0.2	152.11	69.54
0.21	149.43	70.53
0.22	148.05	72.26
0.23	147.82	74.16
0.24	147.57	76.17
0.25	147.65	78.37
0.26	146.64	79.71
0.27	145.27	79.57
0.28	144.39	79.02
0.29	143.6	78.33
0.3	142.98	76.72
0.31	142.09	73.25
0.32	0	65.75
0.33	0	52.04
0.34	0	44.67
0.35	0	44.18
0.36	0	48.5
0.37	0	54.68
0.38	149.24	58.81
0.39	148.76	61.78
0.4	150.07	66.59
0.41	150.57	70.91
0.42	152.93	73.51
0.43	156.6	75.47
0.44	160.72	77.28
0.45	163.69	78.22
0.46	166.06	77.68
0.47	167.05	75.54
0.48	164.49	71.31
0.49	161.29	65.8
0.5	160.88	61.92
0.51	162.06	61.26
0.52	164.22	63.98
0.53	165.98	68.08
0.54	166.37	72.01
0.55	164.74	75.24
0.56	161.51	77.32
0.57	157.12	77.9
0.58	152.74	77.08
0.59	146.77	74.28
0.6	139.99	68.32
0.61	0	59.12
0.62	0	55.1
0.63	0	55.72
0.64	0	54.2
0.65	0	52.96
0.66	0	52.89
0.67	0	52.84
0.68	0	53.85
0.69	0	55.76
0.7	0	56.62
0.71	0	59.74
0.72	173.48	70.76
0.73	166.42	78.09
0.74	161.69	80.67
0.75	160.52	81.96
0.76	159.98	83.55
0.77	158.69	84.76
0.78	156.87	85.24
0.79	156.07	85.15
0.8	156.08	84.71
0.81	156.25	83.77
0.82	156.44	81.99
0.83	156.13	78.74
0.84	154.08	72.68
0.85	0	61.51
0.86	0	43.72
0.87	0	28.01
0.88	0	25.06
0.89	0	26.52
0.9	0	27.53
0.91	0	33.92
0.92	0	41.84
0.93	0	49.63
0.94	0	54.25
0.95	0	54.52
0.96	0	60.33
0.97	0	68.66
0.98	0	70.82
0.99	0	67.51
1	0	58.82
1.01	0	46.46
1.02	0	38.35
1.03	0	30.67
1.04	0	37
1.05	0	51.28
1.06	0	58.77
1.07	0	62.23
1.08	0	63.43
1.09	0	62.27
1.1	0	65.04
1.11	154.14	73.02
1.12	148.45	76.54
1.13	147.79	77.34
1.14	148.68	77.19
1.15	148.95	76.69
1.16	148.27	75.81
1.17	145.88	74.04
1.18	142.15	70.69
1.19	134.35	64.38
1.2	0	54.65
1.21	0	48.56
1.22	0	44.14
1.23	0	51.78
1.24	0	59.56
1.25	0	58.67
1.26	0	54
1.27	0	57.44
1.28	0	66.51
1.29	144.07	70.21
1.3	137.96	70.22
1.31	135.26	69.53
1.32	134.59	69.73
1.33	134.24	70.51
1.34	134.18	71.49
1.35	133.61	72.39
1.36	132.9	73.01
1.37	132.4	73.37
1.38	131.68	73.69
1.39	131.24	73.86
1.4	130.31	73.62
1.41	130.47	73.03
1.42	130.2	72.09
1.43	129.47	70.64
1.44	129.52	69.43
1.45	129.87	69.24
1.46	130.43	69.61
1.47	130.89	69.94
1.48	130.89	70.08
1.49	130.66	70.29
1.5	129.5	70.8
1.51	128.5	71.26
1.52	127.43	71.34
1.53	126.68	70.9
1.54	126.52	70.13
1.55	126.3	69.14
1.56	125.94	67.36
1.57	122.1	63.76
1.58	0	57.72
1.59	0	49.05
1.6	0	39.71
1.61	0	35.94
1.62	0	37.64
1.63	0	53.01
1.64	0	63.13
1.65	0	66.23
1.66	0	62.16
1.67	0	55.47
1.68	0	54.46
1.69	0	62.18
1.7	0	71.13
1.71	137.83	75.19
1.72	134.86	76.83
1.73	131.73	78.03
1.74	130.17	78.6
1.75	129.87	78.56
1.76	129.85	78.21
1.77	130.14	77.94
1.78	131.28	77.55
1.79	132.24	76.47
1.8	134.5	74.46
1.81	137.8	72.27
1.82	138.23	70.07
1.83	135.07	66.27
1.84	0	62.79
1.85	0	64.82
1.86	0	68.15
1.87	0	68.75
1.88	0	68.75
1.89	0	69.41
1.9	0	69.9
1.91	0	69.14
1.92	0	68.02
1.93	0	65.5
1.94	0	60.85
1.95	0	54.48
1.96	0	47.14
1.97	0	45.79
1.98	0	56.01
1.99	0	63.73
2	0	65.39
2.01	0	65.92
2.02	123.72	71.08
2.03	122.32	74.1
2.04	119.03	74.86
2.05	115.23	74.46
2.06	112.7	73.89
2.07	109.33	72.03
2.08	0	67.34
2.09	0	61.03
2.1	0	57.14
2.11	0	58.22
2.12	116.54	62.41
2.13	119.37	67.42
2.14	119.51	72.2
2.15	116.38	74.55
2.16	114.21	75.26
2.17	112.8	75.17
2.18	112.07	74.61
2.19	112.09	74.33
2.2	112.02	74.22
2.21	111.02	73.96
2.22	110.43	73.37
2.23	110.14	72.48
2.24	109.79	70.99
2.25	110.44	68.25
2.26	0	63.84
2.27	0	57.6
2.28	0	51.68
2.29	0	47.42
2.3	0	45.08
2.31	0	45.25
2.32	0	44.8
2.33	0	43.72
2.34	0	42.2
2.35	0	40.62
2.36	0	39.61
2.37	0	38.03
2.38	0	37.06
2.39	0	0
2.4	0	0
2.41	0	0
