time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	39.05
0.05	0	38.63
0.06	0	38.58
0.07	0	38.38
0.08	0	38.02
0.09	0	38.13
0.1	0	38.46
0.11	0	38.35
0.12	0	38.06
0.13	0	39.2
0.14	0	40.4
0.15	0	38.84
0.16	0	37.97
0.17	0	37.92
0.18	0	37.63
0.19	0	36.87
0.2	0	38.51
0.21	0	48.53
0.22	0	58.44
0.23	142.08	63.85
0.24	137.78	66.38
0.25	136.2	69.76
0.26	138.96	76.05
0.27	136.04	79.43
0.28	132.15	80.01
0.29	130.14	80.49
0.3	129.28	80.11
0.31	128.09	79.38
0.32	127.34	79.14
0.33	126.21	78.41
0.34	124.58	76.38
0.35	122.51	72.73
0.36	120.91	67.99
0.37	120.18	65.18
0.38	122.61	67.41
0.39	125.93	72.43
0.4	127.59	75.89
0.41	127.33	77.31
0.42	126.13	77.41
0.43	124.37	77.14
0.44	122.27	76.49
0.45	118.21	74.31
0.46	115.27	70.33
0.47	0	64.46
0.48	0	56.51
0.49	0	48.55
0.5	0	56.05
0.51	0	65.93
0.52	0	72.89
0.53	0	76.99
0.54	0	78.12
0.55	0	77.44
0.56	0	75.52
0.57	0	72.89
0.58	0	68.61
0.59	0	71.36
0.6	147.93	79.16
0.61	146.96	82.81
0.62	144.71	83.65
0.63	143	82.96
0.64	141.92	82.21
0.65	141.41	81.64
0.66	141.17	80.75
0.67	142.38	79.06
0.68	143.5	77.26
0.69	142.86	75.59
0.7	0	72.78
0.71	0	69.87
0.72	0	72.41
0.73	0	75.2
0.74	0	76.12
0.75	0	76.24
0.76	0	76.02
0.77	0	75.1
0.78	0	71.24
0.79	0	63.96
0.8	0	62.74
0.81	0	70.21
0.82	160.14	74.57
0.83	153.86	75.23
0.84	147.07	73.46
0.85	143.24	70.15
0.86	141.26	67.94
0.87	138.87	67.48
0.88	136.38	67.39
0.89	134.59	67.94
0.9	133.57	69.93
0.91	133.88	73
0.92	133.31	75.51
0.93	131.84	76.29
0.94	130.23	75.89
0.95	128.62	75.47
0.96	127.3	75.3
0.97	126.39	74.94
0.98	124.72	74.17
0.99	123.13	73
1	122.37	71.82
1.01	121.39	71.09
1.02	120.9	70.73
1.03	121.56	71.23
1.04	123.46	73.21
1.05	124.47	75.75
1.06	124.8	77.22
1.07	124.42	78.38
1.08	123.48	79.27
1.09	123.13	78.81
1.1	123.39	77.66
1.11	123.63	77.14
1.12	123.4	76.54
1.13	124.15	75.91
1.14	123.7	76.02
1.15	123.37	75.99
1.16	123.23	75.83
1.17	122.31	75.61
1.18	121.91	75.27
1.19	121.29	74.73
1.2	120.37	73.09
1.21	119.69	69.77
1.22	119.45	65.28
1.23	118.5	63.22
1.24	117.49	62.58
1.25	116.05	62.02
1.26	114.8	61.34
1.27	113.92	61.53
1.28	111.68	60.93
1.29	0	57.68
1.3	0	53.72
1.31	0	53.02
1.32	0	64.08
1.33	0	71.84
1.34	0	72.31
1.35	0	67.35
1.36	0	64.19
1.37	0	64.7
1.38	0	66.44
1.39	0	70.85
1.4	124.75	76.49
1.41	123.16	79.29
1.42	120.89	79.65
1.43	119.27	79.33
1.44	117.88	79.93
1.45	115.83	80.49
1.46	113.62	80.11
1.47	112.43	79.33
1.48	111.36	79.33
1.49	110.18	78.77
1.5	109.36	77.48
1.51	108.57	75.66
1.52	108.69	74.15
1.53	109.08	73.49
1.54	108.9	73.23
1.55	108.81	72.88
1.56	108.42	72.26
1.57	108.3	70.92
1.58	108.71	69.87
1.59	108.81	69.18
1.6	108.35	68.74
1.61	107.79	67.82
1.62	0	66.53
1.63	0	63.84
1.64	0	54.5
1.65	0	48.3
1.66	0	60.63
1.67	0	64.93
1.68	0	62.18
1.69	0	56.52
1.7	0	54.04
1.71	0	52.39
1.72	0	48.63
1.73	0	44.85
1.74	0	40.91
1.75	0	37.87
1.76	0	36.57
1.77	0	36.03
1.78	0	36.81
1.79	0	37.54
1.8	0	36.96
1.81	0	0
1.82	0	0
1.83	0	0
?	?	?
